country, availability
Algeria,yes
Angola,yes
Benin,yes
Botswana,yes
Burkina Faso,yes
Burundi,yes
Cameroon,yes
Cape Verde,yes
Chad,yes
Comoros,yes
Côte d'Ivoire,yes
Djibouti,yes
Egypt,yes
Equatorial Guinea,yes
Eswatini,yes
Gabon,yes
Gambia,yes
Ghana,yes
Guinea,yes
Guinea-Bissau,yes
Kenya,yes
Lesotho,yes
Liberia,yes
Madagascar,yes
Malawi,yes
Mali,yes
Mauritania,yes
Mauritius,yes
Morocco,yes
Mozambique,yes
Namibia,yes
Niger,yes
Nigeria,yes
Rwanda,yes
São Tomé and Príncipe,yes
Senegal,yes
Seychelles,yes
Sierra Leone,yes
South Africa,yes
Tanzania,yes
Togo,yes
Tunisia,yes
Uganda,yes
Zambia,yes
Zimbabwe,yes
Armenia,yes
Azerbaijan,yes
Bahrain,yes
Bangladesh,yes
Bhutan,yes
Brunei Darussalam,yes
Cambodia,yes
Georgia,yes
Hong Kong,yes
India,yes
Indonesia,yes
Israel,yes
Japan,yes
Jordan,yes
Kuwait,yes
Kyrgyzstan,yes
Lao People's Democratic Republic,yes
Lebanon,yes
Macao,yes
Malaysia,yes
Maldives,yes
Mongolia,yes
Nepal,yes
Oman,yes
Pakistan,yes
Palestine,yes
Philippines,yes
Qatar,yes
Saudi Arabia,yes
Singapore,yes
South Korea,yes
Sri Lanka,yes
Taiwan,yes
Thailand,yes
Timor-Leste,yes
United Arab Emirates,yes
Uzbekistan,yes
Vietnam,yes
Andorra,yes
Austria,yes
Belgium,yes
Bulgaria,yes
Cyprus,yes
Czech Republic,yes
Denmark,yes
Estonia,yes
Finland,yes
France,yes
Germany,yes
Greece,yes
Hungary,yes
Iceland,yes
Ireland,yes
Italy,yes
Latvia,yes
Liechtenstein,yes
Lithuania,yes
Luxembourg,yes
Malta,yes
Monaco,yes
Netherlands,yes
Norway,yes
Poland,yes
Portugal,yes
Romania,yes
Slovakia,yes
Spain,yes
Sweden,yes
Switzerland,yes
Turkey,yes
United Kingdom,yes
Russia,yes
Belarus,yes
Kazakhstan,yes
Moldova,yes
Ukraine,yes
Albania,yes
Bosnia,yes
Croatia,yes
Montenegro,yes
North Macedonia,yes
San Marino,yes
Serbia,yes
Slovenia,yes
Kosovo,yes
Antigua and Barbuda,yes
Bahamas,yes
Barbados,yes
Belize,yes
Canada,yes
Costa Rica,yes
Curaçao,yes
Dominica,yes
Dominican Republic,yes
El Salvador,yes
Grenada,yes
Guatemala,yes
Haiti,yes
Honduras,yes
Jamaica,yes
Mexico,yes
Nicaragua,yes
Panama,yes
St. Kitts and Nevis,yes
St. Lucia,yes
St. Vincent and the Grenadines,yes
Trinidad and Tobago,yes
United States,yes
Argentina,yes
Bolivia,yes
Brazil,yes
Chile,yes
Colombia,yes
Ecuador,yes
Guyana,yes
Paraguay,yes
Peru,yes
Suriname,yes
Uruguay,yes
Australia,yes
Fiji,yes
Kiribati,yes
Marshall Islands,yes
Micronesia,yes
Nauru,yes
New Zealand,yes
Palau,yes
Papua New Guinea,yes
Samoa,yes
Solomon Islands,yes
Tonga,yes
Tuvalu,yes
Vanuatu
