song,date,streams
Peaches (feat. Daniel Caesar & Giveon) by Justin Bieber,20210401,7540770
Peaches (feat. Daniel Caesar & Giveon) by Justin Bieber,20210402,7638571
Peaches (feat. Daniel Caesar & Giveon) by Justin Bieber,20210403,7627275
Peaches (feat. Daniel Caesar & Giveon) by Justin Bieber,20210404,6931781
Peaches (feat. Daniel Caesar & Giveon) by Justin Bieber,20210405,7313467
Peaches (feat. Daniel Caesar & Giveon) by Justin Bieber,20210406,7614056
Peaches (feat. Daniel Caesar & Giveon) by Justin Bieber,20210407,7591462
Peaches (feat. Daniel Caesar & Giveon) by Justin Bieber,20210408,7640515
Peaches (feat. Daniel Caesar & Giveon) by Justin Bieber,20210409,8020169
Peaches (feat. Daniel Caesar & Giveon) by Justin Bieber,20210410,7843885
Peaches (feat. Daniel Caesar & Giveon) by Justin Bieber,20210411,6814173
Peaches (feat. Daniel Caesar & Giveon) by Justin Bieber,20210412,7180892
Peaches (feat. Daniel Caesar & Giveon) by Justin Bieber,20210413,7136440
Peaches (feat. Daniel Caesar & Giveon) by Justin Bieber,20210414,7078626
Peaches (feat. Daniel Caesar & Giveon) by Justin Bieber,20210415,7085358
Peaches (feat. Daniel Caesar & Giveon) by Justin Bieber,20210416,7502447
Peaches (feat. Daniel Caesar & Giveon) by Justin Bieber,20210417,7457305
Peaches (feat. Daniel Caesar & Giveon) by Justin Bieber,20210418,6449363
Peaches (feat. Daniel Caesar & Giveon) by Justin Bieber,20210419,6700645
Peaches (feat. Daniel Caesar & Giveon) by Justin Bieber,20210420,6721212
Peaches (feat. Daniel Caesar & Giveon) by Justin Bieber,20210421,6533605
Peaches (feat. Daniel Caesar & Giveon) by Justin Bieber,20210422,6500585
Peaches (feat. Daniel Caesar & Giveon) by Justin Bieber,20210423,7016883
Peaches (feat. Daniel Caesar & Giveon) by Justin Bieber,20210424,7036818
Peaches (feat. Daniel Caesar & Giveon) by Justin Bieber,20210425,5945783
Peaches (feat. Daniel Caesar & Giveon) by Justin Bieber,20210426,6164032
Peaches (feat. Daniel Caesar & Giveon) by Justin Bieber,20210427,6156984
Peaches (feat. Daniel Caesar & Giveon) by Justin Bieber,20210428,6072231
Peaches (feat. Daniel Caesar & Giveon) by Justin Bieber,20210429,6004467
Peaches (feat. Daniel Caesar & Giveon) by Justin Bieber,20210430,6537850
