Position,"Track Name",Artist,Streams,URL
1,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",10795,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
2,"MONTERO (Call Me By Your Name)","Lil Nas X",10478,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
3,"Astronaut In The Ocean","Masked Wolf",8374,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
4,"Kiss Me More (feat. SZA)","Doja Cat",6770,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
5,"Levitating (feat. DaBaby)","Dua Lipa",6400,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
6,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",6279,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
7,"Heartbreak Anniversary",Giveon,6081,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
8,"Leave The Door Open","Bruno Mars",6013,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
9,RAPSTAR,"Polo G",6007,https://open.spotify.com/track/43PGPuHIlVOc04jrZVh9L6
10,Runaway,AURORA,5577,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6
