,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"L-Gante: Bzrp Music Sessions, Vol.38",Bizarrap,377188,https://open.spotify.com/track/1Crj1zkRMpsEjb9NOR6Zof
2,WACHA,KHEA,375132,https://open.spotify.com/track/5RmSunLqeDqNWww8LWhAiK
3,"Además de Mí - Remix",Rusherking,354623,https://open.spotify.com/track/7I8L3vYCLThw2FDrE6LuzE
4,Fiel,"Los Legendarios",288009,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
5,"Ella No Es Tuya - Remix","Rochy RD",251131,https://open.spotify.com/track/5YYW3yRktprLRr47WK219Y
6,Bandido,"Myke Towers",239197,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
7,Acaramelao,"Maria Becerra",226850,https://open.spotify.com/track/4fipVdNyG6zx7nxuqHScsy
8,"L-Gante Rkt","Papu DJ",206223,https://open.spotify.com/track/4A9u8OrzFYbxdjiydkNdUi
9,"Baila Conmigo (with Rauw Alejandro)","Selena Gomez",184576,https://open.spotify.com/track/079Ey5uxL04AKPQgVQwx5h
10,911,Sech,179023,https://open.spotify.com/track/2TksvaRivgAEj780DgRB73
11,"LA NOCHE DE ANOCHE","Bad Bunny",178023,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
12,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",176258,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
13,"Hecha Pa' Mi",Boza,168420,https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx
14,Animal,"Maria Becerra",151823,https://open.spotify.com/track/3OXxCquI8i14EigwILaLx9
15,DÁKITI,"Bad Bunny",146284,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
16,Reloj,"Rauw Alejandro",141800,https://open.spotify.com/track/4loQgPwJHocL3dFwLfjb1J
17,Pistola,L-Gante,135639,https://open.spotify.com/track/2OEVXCvrzJfpZaIPwsR99i
18,"Si Me Tomo Una Cerveza",Migrantes,132304,https://open.spotify.com/track/3lCbsHaN1wCxyDzcNN2x4N
19,telepatía,"Kali Uchis",127775,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
20,Am,"Nio Garcia",126099,https://open.spotify.com/track/2dNhNlpZAtV4lwAFW45LIv
21,BEBÉ,Camilo,116530,https://open.spotify.com/track/3Zf4GutWZ7Hv3wsVQsSQPs
22,Confiesalo,"Maria Becerra",115033,https://open.spotify.com/track/1jtkP2Vj67mcBTXJgIOZsW
23,"Machu Picchu",Camilo,113524,https://open.spotify.com/track/6RV9pRLIQiXm3qTGeyQluf
24,Verte,"Nicki Nicole",113419,https://open.spotify.com/track/2mMZAd3ol9wGI2WJl4XJCF
25,"La Nota","Manuel Turizo",110915,https://open.spotify.com/track/5VzNsUnLmYcRfRfxpQsusa
26,BICHOTA,"KAROL G",109317,https://open.spotify.com/track/1WvrDdouh6C51In1SdATbq
27,"Ponte Pa' Mi","Justin Quiles",105707,https://open.spotify.com/track/4C6BlqqMwjFzOXzqpTeoWR
28,"Te Mentiria","Luck Ra",105337,https://open.spotify.com/track/5MOF8J0yJVHdKE3gRgpM6r
29,Explícito,"Myke Towers",100821,https://open.spotify.com/track/6qraVL4IJaIj0IuEexYJNa
30,"Chico Estrella",Duki,98916,https://open.spotify.com/track/1VYaM9VSix6jth7nXiHvo2
31,Bésame,"El Reja",97707,https://open.spotify.com/track/5uD4fcXch2qE5LYeyDipA1
32,"Chica Ideal","Sebastian Yatra",96770,https://open.spotify.com/track/21N4Buj4xsyLb218lYle61
33,"No Toque Mi Naik","Nicki Nicole",93559,https://open.spotify.com/track/0TBbNYzmtCfN5cpZSCVNIz
34,Polvo,"Nicky Jam",93272,https://open.spotify.com/track/68mrW6gXHgupgSiDHgaDi5
35,"No Te Enamores - Remix",Milly,93265,https://open.spotify.com/track/2mM3gZ0BbPwPPMelbA8vgt
36,"Una Locura",Ozuna,92995,https://open.spotify.com/track/5y7DaS3jAc9eZzcSOoUIwU
37,"Nathy Peluso: Bzrp Music Sessions, Vol. 36",Bizarrap,92840,https://open.spotify.com/track/78SeXVRJ7KCqVmOwTiFjnI
38,"MONTERO (Call Me By Your Name)","Lil Nas X",92483,https://open.spotify.com/track/3BZEcbdtXQSo7OrvKRJ6mb
39,"Tinty Nasty",L-Gante,92357,https://open.spotify.com/track/1e0NatUVfOD9xRgeXSedrl
40,"Tan Enamorados",CNCO,88359,https://open.spotify.com/track/1yc7ERfIzFxPP1E0OFRvp0
41,PROBLEMA,"Daddy Yankee",85514,https://open.spotify.com/track/2dl5K2ScW7jYhAhuem06cm
42,"Travesuras - Remix","Nio Garcia",84855,https://open.spotify.com/track/0VWLId2RwPCno9s1cJm2Vy
43,"Mi Niña",Wisin,80111,https://open.spotify.com/track/2bgcUk2A3jjKbCJ7KPquTi
44,"Malianteo 420",L-Gante,79511,https://open.spotify.com/track/6NKrW1a2OYNwAXuN4MgwXi
45,Hawái,Maluma,77548,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
46,"TE MUDASTE","Bad Bunny",74524,https://open.spotify.com/track/5RubKOuDoPn5Kj5TLVxSxY
47,Titubeo,L-Gante,72131,https://open.spotify.com/track/23UX82uDIfCUUneRfzDTD5
48,"La Tóxica",Farruko,71988,https://open.spotify.com/track/15OjBeqNX3bShsGYQbteRv
49,"Ropa Cara",Camilo,71519,https://open.spotify.com/track/2zY1iTaEgs8ROkkWtWLe7l
50,"Barrio Prendido","The La Planta",70428,https://open.spotify.com/track/2I3qA0KslRCxFTfZnPyDhf
51,"EL MAKINON","KAROL G",69189,https://open.spotify.com/track/2FSGUA0gFgGeQdprjtGM2M
52,TURRA,Cazzu,67720,https://open.spotify.com/track/4w3R0drhPCc7zeO2OtBV8r
53,"En Tu Cuerpo - Remix",Lyanno,67539,https://open.spotify.com/track/3dEtfTtCXWW7N8WQ9FD29z
54,DELITO,"Nathy Peluso",65848,https://open.spotify.com/track/0K3dGPXHVALEqW8EEQGc3T
55,"Parce (feat. Justin Quiles)",Maluma,63914,https://open.spotify.com/track/4RJz8NfIe09gpKMiRUWKhJ
56,"Vida de Rico",Camilo,63123,https://open.spotify.com/track/4nTduFjaTmGysc9WKNuCcs
57,"Tattoo - Remix with Camilo","Rauw Alejandro",61151,https://open.spotify.com/track/4G3PTss3mU33Tau7t4KbwE
58,"De Cora <3","Rauw Alejandro",60828,https://open.spotify.com/track/22Sh5dlwbERqJAq1fZk5b2
59,"Levitating (feat. DaBaby)","Dua Lipa",60751,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
60,"El Mismo Aire","La K'onga",59973,https://open.spotify.com/track/7onMf0QvWgRba2MRxG27yj
61,"Relación - Remix",Sech,59376,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl
62,"Watermelon Sugar","Harry Styles",57456,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
