Position,"Track Name",Artist,Streams,URL
1,"MONTERO (Call Me By Your Name)","Lil Nas X",43577,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
2,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",32401,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
3,"Wellerman - Sea Shanty / 220 KID x Billen Ted Remix","Nathan Evans",32065,https://open.spotify.com/track/3iw6V4LH7yPj1ESORX9RIN
4,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,30765,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
5,"Cover Me In Sunshine",P!nk,29337,https://open.spotify.com/track/6Tio0ZoDeSQnI7EBAqWer2
6,"Astronaut In The Ocean","Masked Wolf",27391,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
7,"Frag mich nicht","Miksu / Macloud",25593,https://open.spotify.com/track/5ZIFzmhVJRO3tRwtBXrPXh
8,"Liege wieder wach",Jamule,23010,https://open.spotify.com/track/0ZqL6UhrqydZE4DaXvCMeT
9,"The Business",Tiësto,22186,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
10,"Your Love (9PM)",ATB,19448,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
