,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"MONTERO (Call Me By Your Name)","Lil Nas X",232471,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
2,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",221169,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
3,"Heat Waves","Glass Animals",216056,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
4,RAPSTAR,"Polo G",197533,https://open.spotify.com/track/43PGPuHIlVOc04jrZVh9L6
5,"Astronaut In The Ocean","Masked Wolf",187010,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
6,"Kiss Me More (feat. SZA)","Doja Cat",186544,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
7,"deja vu","Olivia Rodrigo",166915,https://open.spotify.com/track/61KpQadow081I2AsbeLcsb
8,"WITHOUT YOU","The Kid LAROI",159161,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
9,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,152888,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
10,"The Business",Tiësto,152448,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
11,"drivers license","Olivia Rodrigo",139938,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
12,"Levitating (feat. DaBaby)","Dua Lipa",133215,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
13,"Cover Me In Sunshine",P!nk,127877,https://open.spotify.com/track/6Tio0ZoDeSQnI7EBAqWer2
14,"Heartbreak Anniversary",Giveon,126399,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
15,"Leave The Door Open","Bruno Mars",123906,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
16,"Goosebumps - Remix","Travis Scott",122866,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
17,Up,"Cardi B",114516,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
18,"Your Love (9PM)",ATB,111180,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
19,"Hold On","Justin Bieber",108893,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
20,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",107834,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
21,Body,"Russ Millions",101366,https://open.spotify.com/track/3CVb6hkMrlF7eHhXi5B3PZ
22,"Calling My Phone","Lil Tjay",101364,https://open.spotify.com/track/3J8EOeKLTLXORtWPpOU5bE
23,"Blinding Lights","The Weeknd",92886,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
24,"Mood (feat. iann dior)",24kGoldn,90265,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
25,"The Thrill","Wiz Khalifa",88310,https://open.spotify.com/track/4wqzOaLxiCRy2Et8tRyNSX
26,"Head & Heart (feat. MNEK)","Joel Corry",83348,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
27,"SO DONE","The Kid LAROI",83239,https://open.spotify.com/track/2gqWRRCXnma9L8xQ1RdemQ
28,BED,"Joel Corry",82484,https://open.spotify.com/track/0siYMEsGrzzzlWLXK5zJfS
29,Streets,"Doja Cat",82450,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
30,"Dreams - 2004 Remaster","Fleetwood Mac",81706,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
31,"Someone You Loved","Lewis Capaldi",77114,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
32,"Paradise (feat. Dermot Kennedy)",MEDUZA,75060,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
33,"Save Your Tears","The Weeknd",74495,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
34,Anyone,"Justin Bieber",73242,https://open.spotify.com/track/2WnAKZefdRHxtBEkRjFOHC
35,Runaway,AURORA,72907,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6
36,"We're Good","Dua Lipa",72429,https://open.spotify.com/track/1diS6nkxMQc3wwC4G1j0bh
37,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",72353,https://open.spotify.com/track/6fRxMU4LWwyaSSowV441IU
38,Arcade,"Duncan Laurence",72104,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
39,"Fly Away","Tones And I",71600,https://open.spotify.com/track/5ri4zqtWhG07hIuNNDWP76
40,"Good Days",SZA,70782,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
41,"Mr. Brightside","The Killers",70376,https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B
42,"Martin & Gina","Polo G",69804,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ
43,"Watermelon Sugar","Harry Styles",69679,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
44,"My Head & My Heart","Ava Max",69289,https://open.spotify.com/track/1KixkQVDUHggZMU9dUobgm
45,Bang!,AJR,66707,https://open.spotify.com/track/5FQPpxOXsvkMN6v18gtpwY
46,"WAP (feat. Megan Thee Stallion)","Cardi B",66536,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
47,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",65706,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
48,"Holy (feat. Chance The Rapper)","Justin Bieber",63458,https://open.spotify.com/track/6Xgq7MvZiet0hVi3KaDSgJ
49,"What You Know Bout Love","Pop Smoke",60646,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
50,"you broke me first","Tate McRae",59623,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
51,"What Other People Say","Sam Fischer",58507,https://open.spotify.com/track/2h9TDNEXRhcDIV3fsoEVq9
52,"Best Friend (feat. Doja Cat)",Saweetie,57356,https://open.spotify.com/track/20BOju91NaEFK5Py4VJ2pp
53,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,57341,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
54,"Dance Monkey","Tones And I",56812,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
55,"Mr. Perfectly Fine (Taylor’s Version) (From The Vault)","Taylor Swift",56344,https://open.spotify.com/track/2CYVETnhM9aytqrazYYwrK
56,"Don't Start Now","Dua Lipa",54910,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
57,Rasputin,Majestic,54167,https://open.spotify.com/track/0b18g3G5spr4ZCkz7Y6Q0Q
58,"Lasting Lover",Sigala,53497,https://open.spotify.com/track/0DmAvNCAK08oCi7miSZUIY
59,"Love Songs Ain't for Us (feat. Keith Urban)","Amy Shark",53442,https://open.spotify.com/track/5s6pQWa3WI2hqe8bYa8Ai9
60,"Talking to the Moon","Bruno Mars",51835,https://open.spotify.com/track/161DnLWsx1i3u1JT05lzqU
61,Shallow,"Lady Gaga",51441,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
62,Circles,"Post Malone",49967,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
63,"Say You Won't Let Go","James Arthur",49884,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
64,positions,"Ariana Grande",49794,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
