Position,"Track Name",Artist,Streams,URL
1,"MONTERO (Call Me By Your Name)","Lil Nas X",85372,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
2,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,71439,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
3,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",61445,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
4,"The Business",Tiësto,50641,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
5,"Astronaut In The Ocean","Masked Wolf",48731,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
6,"Wellerman - Sea Shanty / 220 KID x Billen Ted Remix","Nathan Evans",45457,https://open.spotify.com/track/3iw6V4LH7yPj1ESORX9RIN
7,"WITHOUT YOU","The Kid LAROI",40032,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
8,"Save Your Tears","The Weeknd",37089,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
9,"Your Love (9PM)",ATB,36186,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
10,"drivers license","Olivia Rodrigo",35857,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
