Position,"Track Name",Artist,Streams,URL
1,"MONTERO (Call Me By Your Name)","Lil Nas X",10017,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
2,"Astronaut In The Ocean","Masked Wolf",6638,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
3,Up,"Cardi B",3612,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
4,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",3488,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
5,Изкушение,"ToTo H",3269,https://open.spotify.com/track/6Fz0IEZ0qHeu3cEbRDqSnU
6,"Levitating (feat. DaBaby)","Dua Lipa",3229,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
7,"Kiss Me More (feat. SZA)","Doja Cat",3151,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
8,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",2959,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
9,RAPSTAR,"Polo G",2952,https://open.spotify.com/track/43PGPuHIlVOc04jrZVh9L6
10,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,2923,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
