Position,"Track Name",Artist,Streams,URL
1,"Botella Tras Botella","Gera MX",71779,https://open.spotify.com/track/2MnLkFqY9Rpg9s3Zv6ZJdK
2,"Pareja Del Año","Sebastian Yatra",32343,https://open.spotify.com/track/2rCbl9naJYhaxjLsfx88uM
3,Fiel,"Los Legendarios",28906,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
4,Am,"Nio Garcia",22860,https://open.spotify.com/track/2dNhNlpZAtV4lwAFW45LIv
5,Bandido,"Myke Towers",18390,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
6,DÁKITI,"Bad Bunny",17503,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
7,"EL MAKINON","KAROL G",17321,https://open.spotify.com/track/2FSGUA0gFgGeQdprjtGM2M
8,911,Sech,16293,https://open.spotify.com/track/2p2Q23iaaPSEa1tI6TsCVX
9,"LA NOCHE DE ANOCHE","Bad Bunny",15336,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
10,"Pa' Olvidarme De Ella","Piso 21",14391,https://open.spotify.com/track/3lR4O0vtkhCAvVEUEWUL0S
11,"Aquí Abajo","Christian Nodal",14058,https://open.spotify.com/track/16ONd70tvWAaLIc6hcLzaG
12,"Baila Conmigo (with Rauw Alejandro)","Selena Gomez",13435,https://open.spotify.com/track/079Ey5uxL04AKPQgVQwx5h
13,"Hecha Pa' Mi",Boza,12692,https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx
14,Reloj,"Rauw Alejandro",11992,https://open.spotify.com/track/4loQgPwJHocL3dFwLfjb1J
15,telepatía,"Kali Uchis",11508,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
16,"Ella No Es Tuya - Remix","Rochy RD",11468,https://open.spotify.com/track/5YYW3yRktprLRr47WK219Y
17,"L-Gante: Bzrp Music Sessions, Vol.38",Bizarrap,10865,https://open.spotify.com/track/1Crj1zkRMpsEjb9NOR6Zof
18,"MONTERO (Call Me By Your Name)","Lil Nas X",10489,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
