Position,"Track Name",Artist,Streams,URL
1,"Batom de Cereja - Ao Vivo","Israel & Rodolffo",1606834,https://open.spotify.com/track/2MZQAvsA7aZDssppBLRxYp
2,"Volta Bebê, Volta Neném","Dj Guuga",1324341,https://open.spotify.com/track/4wQUopWk9Ed7Ng5qpKN5qd
3,"Disco Arranhado - Funk Remix",Malu,1205154,https://open.spotify.com/track/2Gjt4rUHBUH0rMKpBg0hF4
4,"Liberdade (Quando o Grave Bate Forte)",Alok,1131939,https://open.spotify.com/track/2QLbRVzixE282JSQjBz2DG
5,"Tapão Na Raba","Raí Saia Rodada",1074245,https://open.spotify.com/track/58pgi1RpcU2fVJsxhm7BIr
6,"Facas - Ao Vivo","Diego & Victor Hugo",1038526,https://open.spotify.com/track/1ere9b9vDw2N3m9d4uiXxa
7,"Quero Ver é Me Esquecer (feat. Jorge) - Ao Vivo","Os Barões Da Pisadinha",975395,https://open.spotify.com/track/2SUPbyD77tJuOUbqbxct6l
8,"Ele É Ele, Eu Sou Eu","Wesley Safadão",975213,https://open.spotify.com/track/7EWXP47VlXKO3r7mNxuWHw
9,Paradigmas,"Jorge & Mateus",914453,https://open.spotify.com/track/17UfXrL7Run3GyZJW4uRjC
10,"Não Pode Se Apaixonar","Xand Avião",833863,https://open.spotify.com/track/1HoapWs5KcMzs8QYdgg9Kt
11,"Vida Louca","Mc Poze do Rodo",778011,https://open.spotify.com/track/7IG7laqVpcvIIULrwWP5SA
12,"Coração Na Cama - Ao Vivo","Hugo & Guilherme",769817,https://open.spotify.com/track/2nZj5YymF54qhAu7RneVP6
13,"Esquema Preferido (feat. Tarcísio do Acordeon)","DJ Ivis",753867,https://open.spotify.com/track/0e6NlGJxYlHvAN8SKxad7N
14,"Lance Individual","Jorge & Mateus",714162,https://open.spotify.com/track/000RW47rhEkSqjgTrZx7YX
15,"Só Não Divulga","Fernando & Sorocaba",696247,https://open.spotify.com/track/3HquWF2pZmWYu3WAEP9Heb
16,"Foi Pá Pum","Simone & Simaria",659729,https://open.spotify.com/track/1Cqg0nJOZRyvltkof8tjqA
17,"Só de Sacanagem - Ao Vivo","Israel & Rodolffo",650295,https://open.spotify.com/track/40zJaB3z53PGaxIkYyieBP
18,"FALA MAL DE MIM","PEDRO SAMPAIO",633858,https://open.spotify.com/track/5glMxRMRHGBRj6bydBjoPM
19,"É Problema","Matheus & Kauan",625667,https://open.spotify.com/track/5gTgQBtNP08fUijxpEgmzF
20,Acaso,"Vitor Fernandes",622418,https://open.spotify.com/track/4Ls13Ag4SWnniiX4QLRltL
21,"Alô Ambev (Segue Sua Vida) - Ao Vivo","Zé Neto & Cristiano",615813,https://open.spotify.com/track/5m5aY6S9ttfIG157xli2Rs
22,"Troca de Calçada","Marília Mendonça",613319,https://open.spotify.com/track/4AAIAVjSyiq1N7SXKkwXZe
23,"Deixa de Onda (Porra Nenhuma)",DENNIS,608640,https://open.spotify.com/track/0DlHQxrVijRqVUfuS6PKaY
24,"Preta do Cabelo Cacheado","Th CDM",597997,https://open.spotify.com/track/3lJ8BcGM1ROQ1ufneU3Qya
