Position,"Track Name",Artist,Streams,URL
1,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",282818,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
2,"MONTERO (Call Me By Your Name)","Lil Nas X",278391,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
3,RAPSTAR,"Polo G",262907,https://open.spotify.com/track/43PGPuHIlVOc04jrZVh9L6
4,"Kiss Me More (feat. SZA)","Doja Cat",208397,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
5,"Astronaut In The Ocean","Masked Wolf",197491,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
6,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",191955,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
7,"Levitating (feat. DaBaby)","Dua Lipa",184139,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
8,"deja vu","Olivia Rodrigo",138179,https://open.spotify.com/track/61KpQadow081I2AsbeLcsb
9,"Solid (feat. Drake)","Young Stoner Life",120822,https://open.spotify.com/track/6rTInqW3YECMkQsBEHw4sd
10,"Leave The Door Open","Bruno Mars",114711,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
11,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",112720,https://open.spotify.com/track/6fRxMU4LWwyaSSowV441IU
12,"The Business",Tiësto,110587,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
13,"Goosebumps - Remix","Travis Scott",110060,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
14,"Mood (feat. iann dior)",24kGoldn,108735,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
15,"Hold On","Justin Bieber",106232,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
16,"drivers license","Olivia Rodrigo",106191,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
17,Up,"Cardi B",106069,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
18,"Heartbreak Anniversary",Giveon,105439,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
19,"WITHOUT YOU","The Kid LAROI",103670,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
20,"Blinding Lights","The Weeknd",96967,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
21,"Calling My Phone","Lil Tjay",95830,https://open.spotify.com/track/3J8EOeKLTLXORtWPpOU5bE
22,"Heat Waves","Glass Animals",94625,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
23,"Best Friend (feat. Doja Cat)",Saweetie,88516,https://open.spotify.com/track/20BOju91NaEFK5Py4VJ2pp
24,"Save Your Tears","The Weeknd",88240,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
25,"Wants and Needs (feat. Lil Baby)",Drake,84631,https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b
26,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,83400,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
27,"What’s Next",Drake,82950,https://open.spotify.com/track/3aQem4jVGdhtg116TmJnHz
28,Runaway,AURORA,78334,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6
29,"Headshot (feat. Polo G & Fivio Foreign)","Lil Tjay",77710,https://open.spotify.com/track/4eNOLmx8r2IJAVKvBBL1jv
30,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,75591,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
31,"My Head & My Heart","Ava Max",72786,https://open.spotify.com/track/1KixkQVDUHggZMU9dUobgm
32,Anyone,"Justin Bieber",72271,https://open.spotify.com/track/2WnAKZefdRHxtBEkRjFOHC
33,"Roses - Imanbek Remix","SAINt JHN",70847,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
34,"Someone You Loved","Lewis Capaldi",70801,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
35,Meaningless,"Charlotte Cardin",70706,https://open.spotify.com/track/2E6QMP1mJcyD319Izd5mIK
36,"Watermelon Sugar","Harry Styles",70066,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
37,"Martin & Gina","Polo G",69147,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ
38,"Anyone Who Loves Me","Charlotte Cardin",69053,https://open.spotify.com/track/2AK96stPEvMLwVWrIo37zo
39,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",68433,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
40,Streets,"Doja Cat",68325,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
41,"Run It Up (feat. Offset & Moneybagg Yo)","Lil Tjay",68266,https://open.spotify.com/track/1dg3qy5DjoJodawfOCgrTP
42,"Holy (feat. Chance The Rapper)","Justin Bieber",68216,https://open.spotify.com/track/6Xgq7MvZiet0hVi3KaDSgJ
43,"Paradise (feat. Dermot Kennedy)",MEDUZA,65960,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
44,"Good Days",SZA,65603,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
45,telepatía,"Kali Uchis",64230,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
46,You,Regard,62632,https://open.spotify.com/track/2cc8Sw1OnCuA5bV8nqWqpE
47,"Dance Monkey","Tones And I",62292,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
48,"What You Know Bout Love","Pop Smoke",61463,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
49,Arcade,"Duncan Laurence",61153,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
50,"As I Am (feat. Khalid)","Justin Bieber",58440,https://open.spotify.com/track/6F2r4HgpJnvKDmkN6JEN6J
51,"my ex's best friend (with blackbear)","Machine Gun Kelly",57727,https://open.spotify.com/track/7kDUspsoYfLkWnZR7qwHZl
52,"Passive Aggressive","Charlotte Cardin",55865,https://open.spotify.com/track/3HRehpr20yQMkx2VPxBzSB
53,"Forever After All","Luke Combs",55838,https://open.spotify.com/track/6IBcOGPsniK3Pso1wHIhew
54,"We're Good","Dua Lipa",55836,https://open.spotify.com/track/1diS6nkxMQc3wwC4G1j0bh
55,"Dreams - 2004 Remaster","Fleetwood Mac",55797,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
56,Whoopty,CJ,55635,https://open.spotify.com/track/1t9WgS8FN0534tLBRwbaxO
57,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",54723,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
58,"Laugh Now Cry Later (feat. Lil Durk)",Drake,54675,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
59,"Don't Start Now","Dua Lipa",53834,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
60,Circles,"Post Malone",53805,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
61,"Head & Heart (feat. MNEK)","Joel Corry",52958,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
62,"Sad Girl","Charlotte Cardin",52722,https://open.spotify.com/track/3uoNlHCGA9Vlpcs49KtIqc
63,"WAP (feat. Megan Thee Stallion)","Cardi B",52163,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
64,"Savage Love (Laxed - Siren Beat)","Jawsh 685",51850,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
65,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",51808,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
66,"Your Love (9PM)",ATB,51638,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
67,"Therefore I Am","Billie Eilish",51638,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha
68,Bang!,AJR,51584,https://open.spotify.com/track/5FQPpxOXsvkMN6v18gtpwY
69,"Cover Me In Sunshine",P!nk,50594,https://open.spotify.com/track/6Tio0ZoDeSQnI7EBAqWer2
70,Daddy,"Charlotte Cardin",50235,https://open.spotify.com/track/4NuHkMJ4V4MKv0U9GuVvPJ
71,Phoenix,"Charlotte Cardin",50077,https://open.spotify.com/track/7fKAIzuijKu4BxDFjnp6Js
72,"GIRL LIKE ME","Black Eyed Peas",49990,https://open.spotify.com/track/2vBET2pmrQqafaS6zIaYta
73,"Hell Of A View","Eric Church",49796,https://open.spotify.com/track/4mXGooManGPH6xAWRAtRJU
74,"you broke me first","Tate McRae",49508,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
75,"Before You Go","Lewis Capaldi",49252,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
76,positions,"Ariana Grande",48671,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
77,Shallow,"Lady Gaga",48473,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
78,"shots in the dark (with Trippie Redd)","iann dior",48402,https://open.spotify.com/track/03m2VS3eYqKwbHvEykTYl5
79,"4 Da Gang (with Roddy Ricch)","42 Dugg",48263,https://open.spotify.com/track/4KIkADzoVm3A10E9qyjsQ5
80,"Don't Stop Believin'",Journey,48052,https://open.spotify.com/track/4bHsxqR3GMrXTxEPLuK5ue
81,"Be Like That - feat. Swae Lee & Khalid","Kane Brown",47998,https://open.spotify.com/track/5f1joOtoMeyppIcJGZQvqJ
82,"Come & Go (with Marshmello)","Juice WRLD",47540,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG
83,"Sweater Weather","The Neighbourhood",47252,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
84,"Back In Blood (feat. Lil Durk)","Pooh Shiesty",47222,https://open.spotify.com/track/7FGdjbZ32vMybPuP0IuE7d
85,"Whats Poppin (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix] - Bonus Track","Jack Harlow",47106,https://open.spotify.com/track/0ZLuW8uOXdFNWcI40C0OC2
86,"Blueberry Faygo","Lil Mosey",47056,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
87,"Talking to the Moon","Bruno Mars",46500,https://open.spotify.com/track/161DnLWsx1i3u1JT05lzqU
88,Ski,"Young Stoner Life",46216,https://open.spotify.com/track/6755DFiZ7CWe2WMdTGW5C1
89,"POPSTAR (feat. Drake)","DJ Khaled",46207,https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq
90,"Met Him Last Night (feat. Ariana Grande)","Demi Lovato",45269,https://open.spotify.com/track/4yyX2Iu4xJjW9xMvBZKSBi
91,"Lucid Dreams","Juice WRLD",44894,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
92,"Sex To Me","Charlotte Cardin",44886,https://open.spotify.com/track/5VYxtmyTV8ZSMLLt6PMyYu
93,"Wishing Well","Juice WRLD",44440,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv
94,"The Box","Roddy Ricch",44420,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
95,"Lonely (with benny blanco)","Justin Bieber",44351,https://open.spotify.com/track/3S8jK1mGzQi24ilFb45DAZ
96,"Spicy (feat. Post Malone)","Ty Dolla $ign",44106,https://open.spotify.com/track/5IUtvfNvOyVYZUa6AJFrnP
97,"Mr. Perfectly Fine (Taylor’s Version) (From The Vault)","Taylor Swift",44005,https://open.spotify.com/track/2CYVETnhM9aytqrazYYwrK
98,Dior,"Pop Smoke",43975,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
99,34+35,"Ariana Grande",42145,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
100,"Come Through (feat. Chris Brown)",H.E.R.,42103,https://open.spotify.com/track/3krZxyBsWEHfEfJegYaWTd
101,"Shottas (Lala)","Moneybagg Yo",42031,https://open.spotify.com/track/2Ox2c1WEJDeQCHTXPE3YKM
102,"Like Gold (feat. Stephen Puth)","Loud Luxury",42031,https://open.spotify.com/track/2u4wau7fhAHSCMedjS3VDY
103,"Follow You","Imagine Dragons",41874,https://open.spotify.com/track/7FdUvDkaE24o3FPIWTvzv2
104,DÁKITI,"Bad Bunny",41575,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
105,"10,000 Hours (with Justin Bieber)","Dan + Shay",41561,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
106,goosebumps,"Travis Scott",41479,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
107,"Glad You Exist","Dan + Shay",41222,https://open.spotify.com/track/472vIK1ldetTxRxG3ovaiY
108,"Breaking Me",Topic,41201,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
109,"Good Girl","Charlotte Cardin",41185,https://open.spotify.com/track/1AzHjOFBLK6RkYUZws5KAr
110,Dynamite,BTS,40975,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
111,"Dancing In The Moonlight (feat. NEIMY)",Jubël,40739,https://open.spotify.com/track/4GSDkZt7GcmzBWmsMcpaVO
112,"If the World Was Ending - feat. Julia Michaels","JP Saxe",40664,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
113,"Cupid's Chokehold / Breakfast in America","Gym Class Heroes",40472,https://open.spotify.com/track/2Lhdl74nwwVGOE2Gv35QuK
114,"Hotel California - 2013 Remaster",Eagles,40335,https://open.spotify.com/track/40riOy7x9W7GXjyGp4pjAv
115,"Hello (feat. A Boogie Wit da Hoodie)","Pop Smoke",39698,https://open.spotify.com/track/2r6OAV3WsYtXuXjvJ1lIDi
116,"Godzilla (feat. Juice WRLD)",Eminem,39641,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
117,"Big Gangsta","Kevin Gates",39632,https://open.spotify.com/track/03ERnTvSV5fy8WAyvA4uNP
118,"The Good Ones","Gabby Barrett",39605,https://open.spotify.com/track/3hLuHKzG1cmlRpq53ZVWd8
119,"Mood Swings (feat. Lil Tjay)","Pop Smoke",39273,https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm
120,Memories,"Maroon 5",39092,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
121,"death bed (coffee for your head)",Powfu,39010,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
122,"Sweet Home Alabama","Lynyrd Skynyrd",38987,https://open.spotify.com/track/7e89621JPkKaeDSTQ3avtg
123,"Slumber Party (feat. Princess Nokia)",Ashnikko,38877,https://open.spotify.com/track/11ZulcYY4lowvcQm4oe3VJ
124,"Prisoner (feat. Dua Lipa)","Miley Cyrus",38774,https://open.spotify.com/track/2Oycxb8QbPkpHTo8ZrmG0B
125,HOLIDAY,"Lil Nas X",38740,https://open.spotify.com/track/6zFMeegAMYQo0mt8rXtrli
126,"One Too Many","Keith Urban",38708,https://open.spotify.com/track/3X7H1FAiWAW937WvsFeMhe
127,"All Girls Are The Same","Juice WRLD",38694,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
128,"Tennessee Whiskey","Chris Stapleton",38654,https://open.spotify.com/track/3fqwjXwUGN6vbzIwvyFMhx
129,"Monster (Shawn Mendes & Justin Bieber)","Shawn Mendes",38268,https://open.spotify.com/track/1HbA4N1MiOsPthALesGFR1
130,Robbery,"Juice WRLD",38185,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
131,"Life Is Good (feat. Drake)",Future,37905,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3
132,Señorita,"Shawn Mendes",37893,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
133,"Say You Won't Let Go","James Arthur",37823,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
134,"Put Your Records On","Ritt Momney",37787,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9
135,"No Role Modelz","J. Cole",37303,https://open.spotify.com/track/62vpWI1CHwFy7tMIcSStl8
136,XOXO,"Charlotte Cardin",37211,https://open.spotify.com/track/4kNQo4Leej6aBFDBmhXZga
137,"hot girl bummer",blackbear,37043,https://open.spotify.com/track/2mt1IqcFyY1zmYZT8Q3xw9
138,21,"Polo G",36859,https://open.spotify.com/track/3JKgcAa7r07ocVWcV8bS0H
139,"Mr. Brightside","The Killers",36848,https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B
140,"bad guy","Billie Eilish",36771,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
141,"Cloud 9","Beach Bunny",36751,https://open.spotify.com/track/6vFsBXYczYsP0H3lgunZOm
142,"Bohemian Rhapsody - Remastered 2011",Queen,36736,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
143,Perfect,"Ed Sheeran",36644,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
144,"Rocket Man (I Think It's Going To Be A Long, Long Time)","Elton John",36539,https://open.spotify.com/track/3gdewACMIVMEWVbyb8O9sY
145,"Wagon Wheel","Darius Rucker",36201,https://open.spotify.com/track/3xdjjKMcMOFgo1eQrfbogM
146,"Gone Are The Days (feat. James Gillespie)",Kygo,36126,https://open.spotify.com/track/4olrSI30e4RN11Cz2SQgEv
