,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Fiel,"Los Legendarios",367486,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
2,Am,"Nio Garcia",284277,https://open.spotify.com/track/2dNhNlpZAtV4lwAFW45LIv
3,"Pareja Del Año","Sebastian Yatra",258347,https://open.spotify.com/track/2rCbl9naJYhaxjLsfx88uM
4,911,Sech,230942,https://open.spotify.com/track/2p2Q23iaaPSEa1tI6TsCVX
5,Bandido,"Myke Towers",215856,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
6,DÁKITI,"Bad Bunny",190690,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
7,"EL MAKINON","KAROL G",187152,https://open.spotify.com/track/2FSGUA0gFgGeQdprjtGM2M
8,Explícito,"Myke Towers",168155,https://open.spotify.com/track/6qraVL4IJaIj0IuEexYJNa
9,"LA NOCHE DE ANOCHE","Bad Bunny",154745,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
10,"Ella No Es Tuya - Remix","Rochy RD",146694,https://open.spotify.com/track/5YYW3yRktprLRr47WK219Y
11,"No Te Enamores - Remix",Milly,143057,https://open.spotify.com/track/2mM3gZ0BbPwPPMelbA8vgt
12,"Hecha Pa' Mi",Boza,142687,https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx
13,"Juju Juju","El Futuro Fuera De Orbita",134588,https://open.spotify.com/track/1Ymx1Q7EXkxd7FwKypAQ6o
14,"Baila Conmigo (with Rauw Alejandro)","Selena Gomez",132011,https://open.spotify.com/track/079Ey5uxL04AKPQgVQwx5h
15,Reloj,"Rauw Alejandro",126499,https://open.spotify.com/track/4loQgPwJHocL3dFwLfjb1J
16,Skyline,Ak4:20,124426,https://open.spotify.com/track/3ymRYcYHxXMmyvCaKcJ46k
17,"Travesuras - Remix","Nio Garcia",118719,https://open.spotify.com/track/0VWLId2RwPCno9s1cJm2Vy
18,"TE MUDASTE","Bad Bunny",113520,https://open.spotify.com/track/5RubKOuDoPn5Kj5TLVxSxY
19,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",110475,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
20,"Fan de Tus Fotos","Nicky Jam",109435,https://open.spotify.com/track/1mauYRwbpoGQX6itP2FAJC
21,"Siempre Fine",Ak4:20,109390,https://open.spotify.com/track/1C91EF0FrgTMat91LnsiUh
22,Polvo,"Nicky Jam",106664,https://open.spotify.com/track/68mrW6gXHgupgSiDHgaDi5
23,"La Nota","Manuel Turizo",106552,https://open.spotify.com/track/5VzNsUnLmYcRfRfxpQsusa
24,telepatía,"Kali Uchis",101752,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
25,"EL PONY","Daddy Yankee",101593,https://open.spotify.com/track/3ymdUMzgylwrSfpxdlCUWV
26,"Ponte Pa' Mi","Justin Quiles",99393,https://open.spotify.com/track/4C6BlqqMwjFzOXzqpTeoWR
27,"Mi Niña",Wisin,98760,https://open.spotify.com/track/2bgcUk2A3jjKbCJ7KPquTi
28,"Me Fije","Alex Rose",96105,https://open.spotify.com/track/6Et5KimMg3IXwD6lJPGmQw
29,"Christian Dior","Jhay Cortez",90615,https://open.spotify.com/track/4jOBQxq4Ffd8DDrsN4wPOR
30,"Machu Picchu",Camilo,90483,https://open.spotify.com/track/6RV9pRLIQiXm3qTGeyQluf
31,PROBLEMA,"Daddy Yankee",89855,https://open.spotify.com/track/2dl5K2ScW7jYhAhuem06cm
32,"Leave The Door Open","Bruno Mars",89369,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
33,"Botella Tras Botella","Gera MX",88729,https://open.spotify.com/track/2MnLkFqY9Rpg9s3Zv6ZJdK
34,"Hasta Abajo","Kevin Roldan",88389,https://open.spotify.com/track/4PEfJZpVjdclfzZ9XO8uDw
35,LEYENDAS,"KAROL G",88253,https://open.spotify.com/track/5vQy9fwVJTeLsaX9IOpCcp
36,Aloha,Maluma,87928,https://open.spotify.com/track/5RAIMjdrCEjpjaR5tBATXU
37,"Una Locura",Ozuna,85893,https://open.spotify.com/track/5y7DaS3jAc9eZzcSOoUIwU
38,"L-Gante: Bzrp Music Sessions, Vol.38",Bizarrap,83395,https://open.spotify.com/track/1Crj1zkRMpsEjb9NOR6Zof
39,"Mala Costumbre","Manuel Turizo",82110,https://open.spotify.com/track/09WuqcTbf8iMRn8W4N8xBX
40,BICHOTA,"KAROL G",79211,https://open.spotify.com/track/1WvrDdouh6C51In1SdATbq
41,"MONTERO (Call Me By Your Name)","Lil Nas X",77425,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
42,"Rata Tan Tan",Ak4:20,75783,https://open.spotify.com/track/7wWqLiOmDfjGTwrz95niTD
43,"Blinding Lights","The Weeknd",75710,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
44,LOCATION,"KAROL G",74758,https://open.spotify.com/track/478g4LSkyMB1PMkVOVmIaE
45,"Si Me Tomo Una Cerveza",Migrantes,71536,https://open.spotify.com/track/3lCbsHaN1wCxyDzcNN2x4N
46,"De Cora <3","Rauw Alejandro",71513,https://open.spotify.com/track/22Sh5dlwbERqJAq1fZk5b2
47,"La Tóxica",Farruko,70873,https://open.spotify.com/track/15OjBeqNX3bShsGYQbteRv
48,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",67264,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
49,Religiosa,"Paloma Mami",62472,https://open.spotify.com/track/33IHBjSXpamVSajAQ3wSER
50,Hawái,Maluma,60862,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
51,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",60406,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
52,"La Curiosidad (feat. Dj Nelson, Jhay Cortez, Lunay & Kendo Kaponi) - Blue Grand Prix Remix","Jay Wheeler",60305,https://open.spotify.com/track/7LE1K0lZyRFZjSlrnm7lfD
53,"Cuando Sera",Mora,58326,https://open.spotify.com/track/1UmZpd5navRsg2ukqCKJjc
54,"Levitating (feat. DaBaby)","Dua Lipa",56579,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
55,"CÓMO SE SIENTE - Remix","Jhay Cortez",55851,https://open.spotify.com/track/2tFwfmceQa1Y6nRPhYbEtC
56,"La Curiosidad","Jay Wheeler",55640,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
57,BEBÉ,Camilo,55259,https://open.spotify.com/track/3Zf4GutWZ7Hv3wsVQsSQPs
