,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Fiel,"Los Legendarios",124687,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
2,Am,"Nio Garcia",110391,https://open.spotify.com/track/2dNhNlpZAtV4lwAFW45LIv
3,"Botella Tras Botella","Gera MX",91063,https://open.spotify.com/track/2MnLkFqY9Rpg9s3Zv6ZJdK
4,"EL MAKINON","KAROL G",90620,https://open.spotify.com/track/2FSGUA0gFgGeQdprjtGM2M
5,DÁKITI,"Bad Bunny",86082,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
6,Bandido,"Myke Towers",84618,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
7,911,Sech,81670,https://open.spotify.com/track/2p2Q23iaaPSEa1tI6TsCVX
8,"Pareja Del Año","Sebastian Yatra",73020,https://open.spotify.com/track/2rCbl9naJYhaxjLsfx88uM
9,"LA NOCHE DE ANOCHE","Bad Bunny",72171,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
10,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",60438,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
11,Reloj,"Rauw Alejandro",58236,https://open.spotify.com/track/4loQgPwJHocL3dFwLfjb1J
12,telepatía,"Kali Uchis",58004,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
13,CHIMBITA,Feid,57750,https://open.spotify.com/track/5xwjEzvJ2OSdnHlzusKNYA
14,Poblado,Crissin,57016,https://open.spotify.com/track/7xT1n5JKpB0bMPh6FL589e
15,"La Nota","Manuel Turizo",54659,https://open.spotify.com/track/5VzNsUnLmYcRfRfxpQsusa
16,"Ella No Es Tuya - Remix","Rochy RD",52591,https://open.spotify.com/track/5YYW3yRktprLRr47WK219Y
17,"Hecha Pa' Mi",Boza,51500,https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx
18,Hawái,Maluma,51203,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
19,"Una Locura",Ozuna,50537,https://open.spotify.com/track/5y7DaS3jAc9eZzcSOoUIwU
20,"MONTERO (Call Me By Your Name)","Lil Nas X",50466,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
21,BICHOTA,"KAROL G",47523,https://open.spotify.com/track/1WvrDdouh6C51In1SdATbq
22,Aloha,Maluma,47504,https://open.spotify.com/track/5RAIMjdrCEjpjaR5tBATXU
