,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Botella Tras Botella","Gera MX",70992,https://open.spotify.com/track/2MnLkFqY9Rpg9s3Zv6ZJdK
2,Fiel,"Los Legendarios",37825,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
3,Bandido,"Myke Towers",28000,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
4,911,Sech,27866,https://open.spotify.com/track/2p2Q23iaaPSEa1tI6TsCVX
5,Am,"Nio Garcia",27503,https://open.spotify.com/track/2dNhNlpZAtV4lwAFW45LIv
6,DÁKITI,"Bad Bunny",26099,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
7,"EL MAKINON","KAROL G",25374,https://open.spotify.com/track/2FSGUA0gFgGeQdprjtGM2M
8,"LA NOCHE DE ANOCHE","Bad Bunny",21083,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
9,"Aquí Abajo","Christian Nodal",20228,https://open.spotify.com/track/16ONd70tvWAaLIc6hcLzaG
10,"Hecha Pa' Mi",Boza,19399,https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx
11,"MONTERO (Call Me By Your Name)","Lil Nas X",18952,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
12,"Ella No Es Tuya - Remix","Rochy RD",18853,https://open.spotify.com/track/5YYW3yRktprLRr47WK219Y
13,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",18390,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
14,Reloj,"Rauw Alejandro",16629,https://open.spotify.com/track/4loQgPwJHocL3dFwLfjb1J
15,"Pa' Olvidarme De Ella","Piso 21",16441,https://open.spotify.com/track/3lR4O0vtkhCAvVEUEWUL0S
16,telepatía,"Kali Uchis",16284,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
17,"Pareja Del Año","Sebastian Yatra",15962,https://open.spotify.com/track/2rCbl9naJYhaxjLsfx88uM
18,"No Te Enamores - Remix",Milly,15489,https://open.spotify.com/track/2mM3gZ0BbPwPPMelbA8vgt
19,"Dime Cómo Quieres","Christian Nodal",15374,https://open.spotify.com/track/4jcxBTrNvyqMJdMDyyjdYV
20,"Chica Ideal","Sebastian Yatra",15147,https://open.spotify.com/track/21N4Buj4xsyLb218lYle61
21,Hawái,Maluma,15036,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
22,BICHOTA,"KAROL G",14229,https://open.spotify.com/track/1WvrDdouh6C51In1SdATbq
23,"La Tóxica",Farruko,13774,https://open.spotify.com/track/15OjBeqNX3bShsGYQbteRv
24,"La Nota","Manuel Turizo",13720,https://open.spotify.com/track/5VzNsUnLmYcRfRfxpQsusa
25,"Hasta Abajo","Kevin Roldan",12993,https://open.spotify.com/track/4PEfJZpVjdclfzZ9XO8uDw
26,"De Los Besos Que Te Di","Christian Nodal",12972,https://open.spotify.com/track/1qfoq1qvZT7VwDVeekCJ97
27,"Mi Niña",Wisin,12934,https://open.spotify.com/track/2bgcUk2A3jjKbCJ7KPquTi
28,"La Curiosidad","Jay Wheeler",12478,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
29,"Levitating (feat. DaBaby)","Dua Lipa",11715,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
30,"Machu Picchu",Camilo,11640,https://open.spotify.com/track/6RV9pRLIQiXm3qTGeyQluf
31,"TE MUDASTE","Bad Bunny",11562,https://open.spotify.com/track/5RubKOuDoPn5Kj5TLVxSxY
32,"No Te Contaron Mal","Christian Nodal",11524,https://open.spotify.com/track/7hbk4BaF66O09R1gq0bKwj
33,"Baila Conmigo (with Rauw Alejandro)","Selena Gomez",11371,https://open.spotify.com/track/079Ey5uxL04AKPQgVQwx5h
34,"Leave The Door Open","Bruno Mars",10868,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
35,BEBÉ,Camilo,10813,https://open.spotify.com/track/3Zf4GutWZ7Hv3wsVQsSQPs
36,Aloha,Maluma,10788,https://open.spotify.com/track/5RAIMjdrCEjpjaR5tBATXU
37,"Nace Un Borracho","Christian Nodal",10577,https://open.spotify.com/track/6SnO4yCCYtz2rffMpEAlro
38,"Parce (feat. Justin Quiles)",Maluma,10539,https://open.spotify.com/track/4RJz8NfIe09gpKMiRUWKhJ
39,LOCATION,"KAROL G",10337,https://open.spotify.com/track/478g4LSkyMB1PMkVOVmIaE
40,"Una Locura",Ozuna,10322,https://open.spotify.com/track/5y7DaS3jAc9eZzcSOoUIwU
41,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",9996,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
42,"Vida de Rico",Camilo,9893,https://open.spotify.com/track/4nTduFjaTmGysc9WKNuCcs
43,"Blinding Lights","The Weeknd",9801,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
44,"Tattoo - Remix with Camilo","Rauw Alejandro",9570,https://open.spotify.com/track/4G3PTss3mU33Tau7t4KbwE
45,"Astronaut In The Ocean","Masked Wolf",9445,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
46,"BOOKER T","Bad Bunny",9355,https://open.spotify.com/track/26w9NTiE9NGjW1ZvIOd1So
47,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",9297,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
48,Despeinada,Ozuna,9247,https://open.spotify.com/track/0JAZWvvqttGFm4UMDsPQXC
49,"Se Me Olvidó","Christian Nodal",8924,https://open.spotify.com/track/7paFC3FEu1WtPVP4Do6VZN
50,"La Mitad",Camilo,8770,https://open.spotify.com/track/63Zaf8Rci6eOUPqDQ4fUFx
51,"Mi Cuarto","Jerry Di",8739,https://open.spotify.com/track/6fmQjRuo7XvRFCK2qex5hQ
52,"Relación - Remix",Sech,8410,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl
53,"Save Your Tears","The Weeknd",8091,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
54,Runaway,AURORA,8016,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6
55,"MÍRENME AHORA","Myke Towers",7966,https://open.spotify.com/track/1QigNNcv8c5X2iL294bZev
56,Probablemente,"Christian Nodal",7731,https://open.spotify.com/track/4prmUBle7TtAeeUgCnsc3Z
57,"Heartbreak Anniversary",Giveon,7554,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
58,"LA CANCIÓN","J Balvin",7532,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
59,Jeans,"Justin Quiles",7308,https://open.spotify.com/track/3GtnId3Cm1Xa6joCj08nzW
60,"Fan de Tus Fotos","Nicky Jam",7306,https://open.spotify.com/track/1mauYRwbpoGQX6itP2FAJC
61,"Ay, DiOs Mío!","KAROL G",7202,https://open.spotify.com/track/1beTDCe7sT7fzm8WIKXicz
62,"Don't Start Now","Dua Lipa",7106,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
63,"Agua de Jamaica",Maluma,6976,https://open.spotify.com/track/41BzKiCrKpUQHS3TP0jmdr
64,AYAYAY!,"Christian Nodal",6957,https://open.spotify.com/track/7iQc2DabEtzp60faOO9EmN
65,"Adiós Amor","Christian Nodal",6943,https://open.spotify.com/track/63bmZnBN1CiJ9sA4qTEe8y
66,"Además de Mí - Remix",Rusherking,6934,https://open.spotify.com/track/7I8L3vYCLThw2FDrE6LuzE
67,Polvo,"Nicky Jam",6818,https://open.spotify.com/track/68mrW6gXHgupgSiDHgaDi5
68,Explícito,"Myke Towers",6775,https://open.spotify.com/track/6qraVL4IJaIj0IuEexYJNa
69,Tusa,"KAROL G",6746,https://open.spotify.com/track/0dKg2vGC1hFqcK5LGTaKzX
70,"CÓMO SE SIENTE - Remix","Jhay Cortez",6714,https://open.spotify.com/track/2tFwfmceQa1Y6nRPhYbEtC
71,"PIN PIN","Myke Towers",6672,https://open.spotify.com/track/51tMYALx6Lkrte41DoWIPq
72,"La Forma en Que Me Miras","Super Yei",6645,https://open.spotify.com/track/57Ba26w9eoXx8BBUNgRNLV
73,"Más De La Una","Piso 21",6461,https://open.spotify.com/track/00szcRmgqJGtqrfIUYkM1h
74,"Kiss Me More (feat. SZA)","Doja Cat",6411,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
75,"Amor Tóxico","Christian Nodal",6375,https://open.spotify.com/track/5LPlvbxA6bJQHvUW12Mr22
76,"La Jeepeta - Remix","Nio Garcia",6321,https://open.spotify.com/track/6bvfJf4KjonPMuPfGfy3S2
77,Millones,Camilo,6273,https://open.spotify.com/track/3YAnNBdk0uHyakXXzMbNJq
78,"drivers license","Olivia Rodrigo",6268,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
79,"En Tu Cuerpo - Remix",Lyanno,6242,https://open.spotify.com/track/3dEtfTtCXWW7N8WQ9FD29z
80,"No Me Conoce - Remix","Jhay Cortez",6222,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
81,"Hasta Que Me Olvides","Luis Miguel",6186,https://open.spotify.com/track/6vPAmoERUMRoTZaCCSWQ12
