Position,"Track Name",Artist,Streams,URL
1,"MONTERO (Call Me By Your Name)","Lil Nas X",28240,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
2,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,24523,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
3,"Astronaut In The Ocean","Masked Wolf",21258,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
4,"The Business",Tiësto,16902,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
5,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",16431,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
6,"Blinding Lights","The Weeknd",14166,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
7,"All We Got (feat. KIDDO)","Robin Schulz",13857,https://open.spotify.com/track/1iAyJBksvAI6DQEnzv8l1E
8,"Mood (feat. iann dior)",24kGoldn,13069,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
9,"Head & Heart (feat. MNEK)","Joel Corry",12961,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
10,"Cover Me In Sunshine",P!nk,12499,https://open.spotify.com/track/6Tio0ZoDeSQnI7EBAqWer2
