Position,"Track Name",Artist,Streams,URL
1,"Liege wieder wach",Jamule,493740,https://open.spotify.com/track/0ZqL6UhrqydZE4DaXvCMeT
2,"MONTERO (Call Me By Your Name)","Lil Nas X",488593,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
3,"Frag mich nicht","Miksu / Macloud",485852,https://open.spotify.com/track/5ZIFzmhVJRO3tRwtBXrPXh
4,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,454290,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
5,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",402010,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
6,Madonna,Bausa,378396,https://open.spotify.com/track/6a3kNt1UlUOapDKmEr3JzZ
7,"Leere Hände (feat. Sido & Samra)",SANTOS,374646,https://open.spotify.com/track/5QEqzFV7R8KSSCJa37tfvs
8,"Allein sein","Mario Novembre",371359,https://open.spotify.com/track/11NFxVnEwPDz4LjIyKazxV
9,"Astronaut In The Ocean","Masked Wolf",344445,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
10,"Wellerman - Sea Shanty / 220 KID x Billen Ted Remix","Nathan Evans",328870,https://open.spotify.com/track/3iw6V4LH7yPj1ESORX9RIN
