,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",86451,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
2,Buongiorno,KIDD,73934,https://open.spotify.com/track/4vAReYtMpAAFK6cyTE8WkZ
3,"MONTERO (Call Me By Your Name)","Lil Nas X",73106,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
4,RAPSTAR,"Polo G",57794,https://open.spotify.com/track/43PGPuHIlVOc04jrZVh9L6
5,"No Love","Benny Jamz",55992,https://open.spotify.com/track/5hRBAiCf0A4yQc2Mh3uOYY
6,MCQUEEN,RH,54618,https://open.spotify.com/track/29s2dhQ00vpr6eTI00Kc77
7,"Kiss Me More (feat. SZA)","Doja Cat",52469,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
8,"Hold On","Justin Bieber",48409,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
9,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,46517,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
10,"Wawa (feat. B.O.C)","Benny Jamz",44654,https://open.spotify.com/track/5rexOvEwNWcOsa2OKPXpRC
11,Vibes,NODE,44611,https://open.spotify.com/track/696pTNllVLM7EK9wMIuYdJ
12,"The Business",Tiësto,44348,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
13,"Levitating (feat. DaBaby)","Dua Lipa",43621,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
14,"Ingen Over",ICEKIID,43014,https://open.spotify.com/track/0i0Hc3bNrhoLjBNFH7U92N
15,Stjernerne,"Lord Siva",41325,https://open.spotify.com/track/6bGEf1NKIcpuqlo4BfLy7V
16,"Fly Away","Tones And I",40532,https://open.spotify.com/track/5ri4zqtWhG07hIuNNDWP76
17,"Your Love (9PM)",ATB,38160,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
18,"drivers license","Olivia Rodrigo",37644,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
19,"Wellerman - Sea Shanty / 220 KID x Billen Ted Remix","Nathan Evans",37083,https://open.spotify.com/track/3iw6V4LH7yPj1ESORX9RIN
20,"Astronaut In The Ocean","Masked Wolf",36903,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
21,"Du Gør Det Godt (feat. Johnson & HEDEGAARD)",Basim,36745,https://open.spotify.com/track/1DlHOKshj1ITeV7GlI8ciV
