Position,"Track Name",Artist,Streams,URL
1,Fiel,"Los Legendarios",26938,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
2,"La Mamá de la Mamá","El Alfa",22148,https://open.spotify.com/track/2L95U6syP0bV3fkYYOzmiW
3,911,Sech,18870,https://open.spotify.com/track/2p2Q23iaaPSEa1tI6TsCVX
4,Bandido,"Myke Towers",17934,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
5,DÁKITI,"Bad Bunny",17525,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
6,"EL MAKINON","KAROL G",16488,https://open.spotify.com/track/2FSGUA0gFgGeQdprjtGM2M
7,"LA NOCHE DE ANOCHE","Bad Bunny",16404,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
8,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",12594,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
9,Explícito,"Myke Towers",12455,https://open.spotify.com/track/6qraVL4IJaIj0IuEexYJNa
10,"Ella No Es Tuya - Remix","Rochy RD",12367,https://open.spotify.com/track/5YYW3yRktprLRr47WK219Y
