,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Botella Tras Botella","Gera MX",81094,https://open.spotify.com/track/2MnLkFqY9Rpg9s3Zv6ZJdK
2,"Pareja Del Año","Sebastian Yatra",49513,https://open.spotify.com/track/2rCbl9naJYhaxjLsfx88uM
3,Fiel,"Los Legendarios",48788,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
4,Am,"Nio Garcia",43967,https://open.spotify.com/track/2dNhNlpZAtV4lwAFW45LIv
5,DÁKITI,"Bad Bunny",32279,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
6,Bandido,"Myke Towers",32157,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
7,"EL MAKINON","KAROL G",32111,https://open.spotify.com/track/2FSGUA0gFgGeQdprjtGM2M
8,911,Sech,29176,https://open.spotify.com/track/2p2Q23iaaPSEa1tI6TsCVX
9,"LA NOCHE DE ANOCHE","Bad Bunny",27828,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
10,"Hecha Pa' Mi",Boza,20154,https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx
11,"Ella No Es Tuya - Remix","Rochy RD",19803,https://open.spotify.com/track/5YYW3yRktprLRr47WK219Y
12,"Baila Conmigo (with Rauw Alejandro)","Selena Gomez",19697,https://open.spotify.com/track/079Ey5uxL04AKPQgVQwx5h
13,telepatía,"Kali Uchis",19677,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
14,Reloj,"Rauw Alejandro",19364,https://open.spotify.com/track/4loQgPwJHocL3dFwLfjb1J
15,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",18743,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
16,"TE MUDASTE","Bad Bunny",17823,https://open.spotify.com/track/5RubKOuDoPn5Kj5TLVxSxY
17,BICHOTA,"KAROL G",17563,https://open.spotify.com/track/1WvrDdouh6C51In1SdATbq
18,"La Nota","Manuel Turizo",16467,https://open.spotify.com/track/5VzNsUnLmYcRfRfxpQsusa
19,"Chica Ideal","Sebastian Yatra",16259,https://open.spotify.com/track/21N4Buj4xsyLb218lYle61
20,Hawái,Maluma,16188,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
21,"MONTERO (Call Me By Your Name)","Lil Nas X",15224,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
22,"Pa' Olvidarme De Ella","Piso 21",14816,https://open.spotify.com/track/3lR4O0vtkhCAvVEUEWUL0S
23,Aloha,Maluma,14777,https://open.spotify.com/track/5RAIMjdrCEjpjaR5tBATXU
24,"Machu Picchu",Camilo,14703,https://open.spotify.com/track/6RV9pRLIQiXm3qTGeyQluf
25,"No Te Enamores - Remix",Milly,14446,https://open.spotify.com/track/2mM3gZ0BbPwPPMelbA8vgt
26,"La Curiosidad","Jay Wheeler",14076,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
27,"Mi Niña",Wisin,13834,https://open.spotify.com/track/2bgcUk2A3jjKbCJ7KPquTi
28,"Levitating (feat. DaBaby)","Dua Lipa",13771,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
29,LOCATION,"KAROL G",13715,https://open.spotify.com/track/478g4LSkyMB1PMkVOVmIaE
30,"Fan de Tus Fotos","Nicky Jam",13710,https://open.spotify.com/track/1mauYRwbpoGQX6itP2FAJC
31,"Hasta Abajo","Kevin Roldan",13363,https://open.spotify.com/track/4PEfJZpVjdclfzZ9XO8uDw
32,"Aquí Abajo","Christian Nodal",13263,https://open.spotify.com/track/16ONd70tvWAaLIc6hcLzaG
33,Explícito,"Myke Towers",13197,https://open.spotify.com/track/6qraVL4IJaIj0IuEexYJNa
34,"Parce (feat. Justin Quiles)",Maluma,12929,https://open.spotify.com/track/4RJz8NfIe09gpKMiRUWKhJ
35,BEBÉ,Camilo,12403,https://open.spotify.com/track/3Zf4GutWZ7Hv3wsVQsSQPs
36,"L-Gante Rkt","Papu DJ",12255,https://open.spotify.com/track/4A9u8OrzFYbxdjiydkNdUi
37,"Blinding Lights","The Weeknd",12252,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
38,"Travesuras - Remix","Nio Garcia",12169,https://open.spotify.com/track/0VWLId2RwPCno9s1cJm2Vy
39,PROBLEMA,"Daddy Yankee",11744,https://open.spotify.com/track/2dl5K2ScW7jYhAhuem06cm
40,"Una Locura",Ozuna,11647,https://open.spotify.com/track/5y7DaS3jAc9eZzcSOoUIwU
41,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",11632,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
42,"La Tóxica",Farruko,11548,https://open.spotify.com/track/15OjBeqNX3bShsGYQbteRv
43,"LA CANCIÓN","J Balvin",11382,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
44,"Tu Veneno","J Balvin",11350,https://open.spotify.com/track/5KFHrrBMyGj5MhVbZMM3ts
45,"EL BARCO","KAROL G",11338,https://open.spotify.com/track/0MT6qJd7wKlWjH7tP7oWHi
46,"Mala Costumbre","Manuel Turizo",11179,https://open.spotify.com/track/09WuqcTbf8iMRn8W4N8xBX
47,"Leave The Door Open","Bruno Mars",11007,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
48,"Canción Bonita","Carlos Vives",10982,https://open.spotify.com/track/5iF33sXejXwfTuidVHMll0
49,"Vida de Rico",Camilo,10405,https://open.spotify.com/track/4nTduFjaTmGysc9WKNuCcs
50,"Save Your Tears","The Weeknd",10169,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
51,"Ponte Pa' Mi","Justin Quiles",10090,https://open.spotify.com/track/4C6BlqqMwjFzOXzqpTeoWR
52,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",10070,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
53,"Agua de Jamaica",Maluma,9905,https://open.spotify.com/track/41BzKiCrKpUQHS3TP0jmdr
54,Polvo,"Nicky Jam",9862,https://open.spotify.com/track/68mrW6gXHgupgSiDHgaDi5
55,"Relación - Remix",Sech,9662,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl
56,"Otra Noche Sin Ti","J Balvin",9617,https://open.spotify.com/track/2CdTLdDjwZdVcm0bresVWx
57,Millones,Camilo,9533,https://open.spotify.com/track/3YAnNBdk0uHyakXXzMbNJq
58,"Amor en Coma","Manuel Turizo",9253,https://open.spotify.com/track/0kRU83ecI57Iw1kPTeUwK5
59,"Tattoo - Remix with Camilo","Rauw Alejandro",9208,https://open.spotify.com/track/4G3PTss3mU33Tau7t4KbwE
60,"Don't Start Now","Dua Lipa",8755,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
61,"Más De La Una","Piso 21",8687,https://open.spotify.com/track/00szcRmgqJGtqrfIUYkM1h
62,"Se Te Nota (with Guaynaa)","Lele Pons",8641,https://open.spotify.com/track/11EnQRgRMJwMAesfkB5pnu
63,"Hasta Que Me Olvides","Luis Miguel",8493,https://open.spotify.com/track/6vPAmoERUMRoTZaCCSWQ12
64,Despeinada,Ozuna,8435,https://open.spotify.com/track/0JAZWvvqttGFm4UMDsPQXC
65,512,Mora,8332,https://open.spotify.com/track/5jzEwSyyymBlf1fa1o39T2
66,"CÓMO SE SIENTE - Remix","Jhay Cortez",8220,https://open.spotify.com/track/2tFwfmceQa1Y6nRPhYbEtC
67,"Si Estuviésemos Juntos","Bad Bunny",8212,https://open.spotify.com/track/35wvL50xvKpCHEJPxLOLPI
68,"BOOKER T","Bad Bunny",8006,https://open.spotify.com/track/26w9NTiE9NGjW1ZvIOd1So
69,"No Te Contaron Mal","Christian Nodal",7851,https://open.spotify.com/track/7hbk4BaF66O09R1gq0bKwj
70,"L-Gante: Bzrp Music Sessions, Vol.38",Bizarrap,7832,https://open.spotify.com/track/1Crj1zkRMpsEjb9NOR6Zof
71,Procura,"ChiChi Peralta",7787,https://open.spotify.com/track/2q9udNV9NK0BL3q9p6TLxf
72,"Ay, DiOs Mío!","KAROL G",7672,https://open.spotify.com/track/1beTDCe7sT7fzm8WIKXicz
73,"No Me Conoce - Remix","Jhay Cortez",7593,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
74,"HACIENDO QUE ME AMAS","Bad Bunny",7505,https://open.spotify.com/track/26QApq0cuO9brJigr0C0W4
75,Jeans,"Justin Quiles",7489,https://open.spotify.com/track/3GtnId3Cm1Xa6joCj08nzW
76,"EL PONY","Daddy Yankee",7472,https://open.spotify.com/track/3ymdUMzgylwrSfpxdlCUWV
77,"Ropa Cara",Camilo,7472,https://open.spotify.com/track/2zY1iTaEgs8ROkkWtWLe7l
78,"La Jeepeta - Remix","Nio Garcia",7442,https://open.spotify.com/track/6bvfJf4KjonPMuPfGfy3S2
79,"De Los Besos Que Te Di","Christian Nodal",7151,https://open.spotify.com/track/1qfoq1qvZT7VwDVeekCJ97
80,"Fuentes de Ortiz","Ed Maverick",7098,https://open.spotify.com/track/0akyEssGRVHstqCSWXusJL
81,"Watermelon Sugar","Harry Styles",7091,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
82,"Tan Enamorados",CNCO,7071,https://open.spotify.com/track/1yc7ERfIzFxPP1E0OFRvp0
83,Dynamite,BTS,7009,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
84,Callaita,"Bad Bunny",6975,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
85,"Si Veo a Tu Mamá","Bad Bunny",6972,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
86,"Tan Bonita","Piso 21",6963,https://open.spotify.com/track/6mm3K0yWp6uzfOMuipM9Zh
87,Levitating,"Dua Lipa",6938,https://open.spotify.com/track/39LLxExYz6ewLAcYrzQQyP
88,"A Tu Merced","Bad Bunny",6884,https://open.spotify.com/track/4r9jkMEnArtWGH2rL2FZl0
89,"Miedito o Qué? (feat. KAROL G)","Ovy On The Drums",6828,https://open.spotify.com/track/7MoZgM6AsQaZw14WnKopuy
90,"La Forma en Que Me Miras","Super Yei",6817,https://open.spotify.com/track/57Ba26w9eoXx8BBUNgRNLV
91,"drivers license","Olivia Rodrigo",6782,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
92,"Ahora Te Puedes Marchar","Luis Miguel",6764,https://open.spotify.com/track/1uKjQoh8JZj9ryuYRhpd7E
93,Caraluna,Bacilos,6760,https://open.spotify.com/track/7DhYjNLksXZhbRQeheAums
94,Tusa,"KAROL G",6749,https://open.spotify.com/track/0dKg2vGC1hFqcK5LGTaKzX
95,"Me Rehúso","Danny Ocean",6725,https://open.spotify.com/track/6ifUES3keWjwXgae8pXI3o
96,"La Santa","Bad Bunny",6721,https://open.spotify.com/track/69vlMrzHwATKzupwNcUPyK
97,Runaway,AURORA,6672,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6
98,"Vámonos a Marte","Kevin Kaarl",6662,https://open.spotify.com/track/2TzkIzgzIHhewMxyh1u4hh
99,"La Curiosidad (feat. Dj Nelson, Jhay Cortez, Lunay & Kendo Kaponi) - Blue Grand Prix Remix","Jay Wheeler",6639,https://open.spotify.com/track/7LE1K0lZyRFZjSlrnm7lfD
100,Vete,"Bad Bunny",6550,https://open.spotify.com/track/2n7ohqg1s68ToAHh4u9mcW
101,"Mi Cuarto","Jerry Di",6520,https://open.spotify.com/track/6fmQjRuo7XvRFCK2qex5hQ
102,Safaera,"Bad Bunny",6312,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
103,"La Mitad",Camilo,6305,https://open.spotify.com/track/63Zaf8Rci6eOUPqDQ4fUFx
104,"Además de Mí - Remix",Rusherking,6296,https://open.spotify.com/track/7I8L3vYCLThw2FDrE6LuzE
105,"Dime Cómo Quieres","Christian Nodal",6259,https://open.spotify.com/track/4jcxBTrNvyqMJdMDyyjdYV
106,"Christian Dior","Jhay Cortez",6229,https://open.spotify.com/track/4jOBQxq4Ffd8DDrsN4wPOR
107,"Quiéreme Mientras Se Pueda","Manuel Turizo",6171,https://open.spotify.com/track/1WH3iquIQXnSPwUzlROT8R
108,Favorito,Camilo,6142,https://open.spotify.com/track/0jT8Nl0shPS8115is0wD2Q
109,"Si Me Tomo Una Cerveza",Migrantes,6111,https://open.spotify.com/track/3lCbsHaN1wCxyDzcNN2x4N
110,LEYENDAS,"KAROL G",6031,https://open.spotify.com/track/5vQy9fwVJTeLsaX9IOpCcp
111,"PIN PIN","Myke Towers",6025,https://open.spotify.com/track/51tMYALx6Lkrte41DoWIPq
112,"La Incondicional","Luis Miguel",6001,https://open.spotify.com/track/6F9yAYUaNbUhdlQyt5uZ3b
113,"Heartbreak Anniversary",Giveon,5991,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
114,"De Vuelta Pa' La Vuelta","Daddy Yankee",5942,https://open.spotify.com/track/7AUhck1sPy11OExQmDDx4P
115,Nada,"Cali Y El Dandee",5898,https://open.spotify.com/track/4K8cyoCDovlc4FvtUr2Hfx
116,"Hola - Remix",Dalex,5895,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
