Position,"Track Name",Artist,Streams,URL
1,"MONTERO (Call Me By Your Name)","Lil Nas X",6041,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
2,"Astronaut In The Ocean","Masked Wolf",4160,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
3,"tundnud nii",Villemdrillem,3487,https://open.spotify.com/track/5LQX1fQ3OvDX3m5RPt2oxc
4,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",3353,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
5,"Kiss Me More (feat. SZA)","Doja Cat",3349,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
6,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,2936,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
7,sinuta,Villemdrillem,2921,https://open.spotify.com/track/2uidblX0S0um4EIitnbBAU
8,RAPSTAR,"Polo G",2607,https://open.spotify.com/track/43PGPuHIlVOc04jrZVh9L6
9,"Levitating (feat. DaBaby)","Dua Lipa",2592,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
10,"Heat Waves","Glass Animals",2256,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
11,drill(em),Villemdrillem,2248,https://open.spotify.com/track/7B6xsg2lB7QYDMrBfYqWQx
12,Universum,Nublu,2146,https://open.spotify.com/track/7IoTZnck9r11NCj5M0QG81
13,Runaway,AURORA,2142,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6
14,"The Business",Tiësto,2082,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
15,Paraadna,Nublu,2078,https://open.spotify.com/track/5VEZQNZWsZaKb1Y2jB8SWJ
16,"Wellerman - Sea Shanty / 220 KID x Billen Ted Remix","Nathan Evans",2056,https://open.spotify.com/track/3iw6V4LH7yPj1ESORX9RIN
17,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",2031,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
18,"Blinding Lights","The Weeknd",1982,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
19,"Save Your Tears","The Weeknd",1958,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
20,Doomino,"Liis Lemsalu",1930,https://open.spotify.com/track/06HOLlh8Sh5jHptg37zMSz
21,"Your Love (9PM)",ATB,1885,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
22,"drivers license","Olivia Rodrigo",1835,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
23,"Leave The Door Open","Bruno Mars",1777,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
24,Streets,"Doja Cat",1769,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
25,parajumper,Villemdrillem,1742,https://open.spotify.com/track/5LmsZ6qiPuBoR2wwWQXgJq
26,"Another Love","Tom Odell",1736,https://open.spotify.com/track/7jtQIBanIiJOMS6RyCx6jZ
27,"magus melanhoolia - remix",Villemdrillem,1731,https://open.spotify.com/track/6jq5fhcxfFD6hPGeoI3hVT
28,"deja vu","Olivia Rodrigo",1690,https://open.spotify.com/track/61KpQadow081I2AsbeLcsb
29,"WITHOUT YOU","The Kid LAROI",1596,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
30,võluväel,Villemdrillem,1584,https://open.spotify.com/track/6ocdQF24lhgwUapztCPoIo
31,"Tee mis sa tahad",Smilers,1580,https://open.spotify.com/track/6vzXc5nsa0JTMfAtWrZkIN
32,spikker,Villemdrillem,1571,https://open.spotify.com/track/7F3iUJL95scLs0L82Jfc2y
33,"loodus ja hobused",5MIINUST,1569,https://open.spotify.com/track/0rWtmMYqgd9pqRvqKf5bYw
34,"Sweater Weather","The Neighbourhood",1552,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
35,"Paradise (feat. Dermot Kennedy)",MEDUZA,1550,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
36,Tamburiin,Nublu,1540,https://open.spotify.com/track/3TKhfQOOHtA7QNtoju4cXn
37,"Magus melanhoolia","Jüri Pootsmann",1517,https://open.spotify.com/track/1Ae5AcTlKsTEpksomr4oDK
38,"Mood (feat. iann dior)",24kGoldn,1512,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
39,Arcade,"Duncan Laurence",1511,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
40,Up,"Cardi B",1503,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
41,HOLIDAY,"Lil Nas X",1496,https://open.spotify.com/track/6zFMeegAMYQo0mt8rXtrli
42,"Goosebumps - Remix","Travis Scott",1488,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
43,Aluspükse,5MIINUST,1488,https://open.spotify.com/track/2xtLPeeUmIzM1hFw2qeH4U
44,telepatía,"Kali Uchis",1453,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
45,"miski pole igavene freestyle",Villemdrillem,1430,https://open.spotify.com/track/7ry5vQaAjmBuiq3Y8IdGfg
46,"soolane värska",Villemdrillem,1402,https://open.spotify.com/track/6e8woXAZJO7CNxahQ35dQR
47,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",1343,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
48,"Peo lõpp",5MIINUST,1342,https://open.spotify.com/track/3s8MM2twymVva7oi9EP5GX
49,1-2,Nublu,1298,https://open.spotify.com/track/3smz3AIUQuXZGHri0m2xHu
