,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"أسياد الصوت",Wegz,12026,https://open.spotify.com/track/42nkGZLFa7PF2Hut7f7sxk
2,CTRL,"Marwan Pablo",10313,https://open.spotify.com/track/2lj1RNDztkIsyzhAX2soEa
3,Ghaba,"Marwan Pablo",8709,https://open.spotify.com/track/4Zpg4neFtdTJJF4wsrTJRa
4,"MONTERO (Call Me By Your Name)","Lil Nas X",7532,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
5,"Astronaut In The Ocean","Masked Wolf",6497,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
6,"Msh Fair",Wegz,5211,https://open.spotify.com/track/1JdRPaDFswfqCpAhBPKqUw
7,Don,"Marwan Pablo",5022,https://open.spotify.com/track/4bjdKuJEtkr8IEwBiqyxAq
8,"متغاظ عارفك يلا مننا متغاظ","Mostafa el Degwy",4845,https://open.spotify.com/track/0sRMA5RMTncLpfZ6Uk9Wi1
9,Runaway,AURORA,4582,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6
10,"El Hob Fein","Marwan Pablo",4440,https://open.spotify.com/track/60Gq23sQOFobysukKlK6fb
11,"Atary (Full Version)","Marwan Pablo",4352,https://open.spotify.com/track/082HYgmGx9V6hG5tpwwpp7
12,Hustla,Wegz,3662,https://open.spotify.com/track/26x46Jk6rpcfkT8xttvUCc
13,ثرثرة,Lege-Cy,3491,https://open.spotify.com/track/1PN1vuSWAW9mlIZSgFrQ7y
14,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",3441,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
15,"Hetta Tanya",Ruby,3437,https://open.spotify.com/track/5zn9ZT7dKnRX5fnYvb3loq
16,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",3359,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
17,Dawla,3enba,3296,https://open.spotify.com/track/5BedaQpN3d92CLUVewl94E
18,Arcade,"Duncan Laurence",3257,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
19,الغسالة,Wegz,3089,https://open.spotify.com/track/7JAPo0o6KfpKdZiGLoRCNh
20,Fokak,"Double Zuksh",3088,https://open.spotify.com/track/3VLykmyUx8XKraa9SWQgKO
21,Free,"Marwan Pablo",2960,https://open.spotify.com/track/6vRHVF61iN8TnMdoFBoE8f
22,Denamet,Molotof,2880,https://open.spotify.com/track/3NCZRSMdqwo5jpRdgcZxEV
23,"دورك جي",Wegz,2807,https://open.spotify.com/track/56nsR8Td7CWVCQIGjznu4L
24,"اندال اندال","Ahmed Moza",2774,https://open.spotify.com/track/6RpPYyGGMyDL9xfRcQfffj
25,Sindbad,"Marwan Pablo",2760,https://open.spotify.com/track/5xDaIms5HB1DTj5keH6sJc
26,"Levitating (feat. DaBaby)","Dua Lipa",2625,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
27,"واحد وعشرين",Wegz,2624,https://open.spotify.com/track/7pBr36brGBNxCk3JahhyHb
28,"انا في حاجه هتجنني",7l2olo,2479,https://open.spotify.com/track/326wv1lze9tMWa8u4XUdaW
29,"Mahragan Embaba Khat Ahmar","Mido Gad",2478,https://open.spotify.com/track/4b4aSVwWBnwMiSwU62mIUr
30,"Meen Fe Dol","Ahmed Kamel",2463,https://open.spotify.com/track/63uctqlwCI5AxXYmpTVO2Z
31,"Abu Mecca","Marwan Pablo",2415,https://open.spotify.com/track/0kRVLXoBrU3IaKGUknzzJs
32,"Ma 3Alena",Shahyn,2413,https://open.spotify.com/track/104MRaGd2mXgZigqpsMK7o
33,"Fady Shewaya","Hamza Namira",2405,https://open.spotify.com/track/3qRGs7H1bPfshHh19syRKQ
34,Agans,Shehab,2367,https://open.spotify.com/track/5biDlrBER5BUecUfzsCf1E
35,"Save Your Tears","The Weeknd",2362,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
36,شيراتون,"Marwan Moussa",2358,https://open.spotify.com/track/3S2aU4rUZXbVOxyVzgzXQ5
37,"Kiss Me More (feat. SZA)","Doja Cat",2336,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
38,Monafqeen,"DJ Totti",2335,https://open.spotify.com/track/4GW1BcvFF9mdvmsIHmDgnG
39,سكرتي,Wegz,2333,https://open.spotify.com/track/3pY3PPvp77FNQq01n4UrS1
40,"Blinding Lights","The Weeknd",2310,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
41,"مش مسيكب",Shehab,2265,https://open.spotify.com/track/53YaSCGeoisD1W1BrtoIeN
42,telepatía,"Kali Uchis",2251,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
43,Drogba,"Marwan Moussa",2191,https://open.spotify.com/track/5FJXK0vbQc8jebPYx0HIEq
44,"El Donia El Helwa","Amr Diab",2174,https://open.spotify.com/track/6W6lYqKuPScYWchL6bS7Ly
45,"Hattatack Battatack",Wegz,2140,https://open.spotify.com/track/3RzrCMppvv3cYLmAI1KdGp
46,RAPSTAR,"Polo G",2094,https://open.spotify.com/track/43PGPuHIlVOc04jrZVh9L6
