Position,"Track Name",Artist,Streams,URL
1,Fiel,"Los Legendarios",602966,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
2,"Pareja Del Año","Sebastian Yatra",559358,https://open.spotify.com/track/2rCbl9naJYhaxjLsfx88uM
3,911,Sech,426383,https://open.spotify.com/track/2p2Q23iaaPSEa1tI6TsCVX
4,"Flamenco y Bachata","Daviles de Novelda",405287,https://open.spotify.com/track/6ynErSDSlxqsxg0D3LJ8sK
5,Am,"Nio Garcia",366767,https://open.spotify.com/track/2dNhNlpZAtV4lwAFW45LIv
6,"Ella No Es Tuya - Remix","Rochy RD",346359,https://open.spotify.com/track/5YYW3yRktprLRr47WK219Y
7,"Travesuras - Remix","Nio Garcia",325909,https://open.spotify.com/track/0VWLId2RwPCno9s1cJm2Vy
8,"Me Fije","Alex Rose",301782,https://open.spotify.com/track/6Et5KimMg3IXwD6lJPGmQw
9,Bandido,"Myke Towers",295196,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
10,"EL MAKINON","KAROL G",275541,https://open.spotify.com/track/2FSGUA0gFgGeQdprjtGM2M
11,Ingobernable,"C. Tangana",259785,https://open.spotify.com/track/3SK45LddxlEkzI8OWO9Eyo
12,Aloha,Maluma,241943,https://open.spotify.com/track/5RAIMjdrCEjpjaR5tBATXU
13,"MONTERO (Call Me By Your Name)","Lil Nas X",239574,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
14,"Tú Me Dejaste De Querer","C. Tangana",224374,https://open.spotify.com/track/5ddFjrPG8NgQQ6xlOQIVd2
15,Solo,"Omar Montes",221700,https://open.spotify.com/track/1wPAOYQJcGSqvXkqcQHExr
16,DÁKITI,"Bad Bunny",212192,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
17,512,Mora,203146,https://open.spotify.com/track/5jzEwSyyymBlf1fa1o39T2
18,"Las Nenas (feat. La Duraca)","Natti Natasha",202663,https://open.spotify.com/track/2KTCXvWUbqfiinbFe7PJKP
19,"Juramento eterno de sal","Álvaro De Luna",197486,https://open.spotify.com/track/23E53f3C9SJ9MqBh1f6hEw
20,"Anda Suelta","Chema Rivas",189212,https://open.spotify.com/track/5vQwugZBbpQxqe5H0GN3AY
21,"Christian Dior","Jhay Cortez",178732,https://open.spotify.com/track/4jOBQxq4Ffd8DDrsN4wPOR
22,KESI,Camilo,177828,https://open.spotify.com/track/42lpuSQmnLUM1ZXJVzIVOi
23,"No Te Enamores - Remix",Milly,175406,https://open.spotify.com/track/2mM3gZ0BbPwPPMelbA8vgt
24,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",170578,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
25,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,170251,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
26,2/Catorce,"Rauw Alejandro",169916,https://open.spotify.com/track/71R8HJxQk5qMiRstrlXN9t
27,"Sudores fríos","Natos y Waor",167474,https://open.spotify.com/track/3fTPnf1cNtC8k6nrT0j9wm
28,"3G (feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers) - Remix",Wisin,167306,https://open.spotify.com/track/6dyUkkcyYuDiHOwIRXYOJm
29,"JOVEN PARA SIEMPRE","Funzo & Baby Loud",166737,https://open.spotify.com/track/2hSBhzE4hbWRWl4PLMiJsu
30,"Vida de Rico",Camilo,163955,https://open.spotify.com/track/4nTduFjaTmGysc9WKNuCcs
31,Explícito,"Myke Towers",159047,https://open.spotify.com/track/6qraVL4IJaIj0IuEexYJNa
32,"Mala Costumbre","Manuel Turizo",157815,https://open.spotify.com/track/09WuqcTbf8iMRn8W4N8xBX
33,"Hecha Pa' Mi",Boza,157604,https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx
34,"Machu Picchu",Camilo,155784,https://open.spotify.com/track/6RV9pRLIQiXm3qTGeyQluf
35,"LA NOCHE DE ANOCHE","Bad Bunny",153434,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
36,"No te decides",Dudi,148361,https://open.spotify.com/track/7DqfZaGd7v0J0ISy92GTan
37,"Baila Conmigo (with Rauw Alejandro)","Selena Gomez",148338,https://open.spotify.com/track/079Ey5uxL04AKPQgVQwx5h
