,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"MONTERO (Call Me By Your Name)","Lil Nas X",57367,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
2,"Piilotan mun kyyneleet","Haloo Helsinki!",41787,https://open.spotify.com/track/6nU4btGccMwMywAAl6cNSD
3,"Steppasin Partyy",YB026,40437,https://open.spotify.com/track/0Fr0Y0IQNWPYziFcqqkEc9
4,"Astronaut In The Ocean","Masked Wolf",38831,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
5,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",35172,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
6,"Wellerman - Sea Shanty / 220 KID x Billen Ted Remix","Nathan Evans",32855,https://open.spotify.com/track/3iw6V4LH7yPj1ESORX9RIN
7,"Dark Side","Blind Channel",32756,https://open.spotify.com/track/6A8B1kJ9ZNHbl2uFPN6Wtm
8,Prinsessa,Etta,31255,https://open.spotify.com/track/4mwELaCYyTINsKPzWe9jwd
9,"Sateenkaari pimeessä","Kaija Koo",30909,https://open.spotify.com/track/14CyT6n2eKYUpqXyMOzLAc
10,Flyys,william,30881,https://open.spotify.com/track/07xQchUaGKsOSxfHa4c7b7
11,"Life (Sun luo)",Cledos,30422,https://open.spotify.com/track/3qw9rbM22j7TauihIva5Js
12,"Kiss Me More (feat. SZA)","Doja Cat",30294,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
13,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,28638,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
14,"Täältä tullaan","Samu Haber",28485,https://open.spotify.com/track/6NENSRK9vTSTZPGnh7uwj3
15,RAPSTAR,"Polo G",28174,https://open.spotify.com/track/43PGPuHIlVOc04jrZVh9L6
16,"Kaipaan sua (feat. Boyat & Samuli Heimo)","Keko Salata",27624,https://open.spotify.com/track/5hvCBCSDWD0eWnBMOLJA4S
