,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"MONTERO (Call Me By Your Name)","Lil Nas X",399726,https://open.spotify.com/track/3BZEcbdtXQSo7OrvKRJ6mb
2,"Vroum Vroum","Moha K",318855,https://open.spotify.com/track/6sRPU30pj9A6G1pBXqzQkM
3,"La kiffance",Naps,304476,https://open.spotify.com/track/1bwhDrXcAtqePp8mNJ0pTe
4,"Le temps",Tayc,270372,https://open.spotify.com/track/360oH1CqXe9XXzbbi6hvyr
5,"Je t’aime de ouf",Wejdene,247257,https://open.spotify.com/track/5BUl0EBl4tOmPtT9IN0UUP
6,HAINE&SEX,Gazo,242336,https://open.spotify.com/track/6Vcxzw4ifKqYxVrp3ckpVF
7,"Mon poto - Extrait de la BO de « En Passant Pécho »",Kore,237688,https://open.spotify.com/track/1SelxYHPb04GjUy0oYV1Jw
8,"Mona Lisa",Booba,218230,https://open.spotify.com/track/5LYRIyhmlrDAQsYdHEvP0f
9,"Mode Akimbo (feat. Jul)",SCH,192444,https://open.spotify.com/track/7qezIDRM0E3WTW1lWxItug
10,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",187246,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
11,"Mannschaft (feat. Freeze Corleone)",SCH,178875,https://open.spotify.com/track/03cOUvF1fyW60AuUfUNiDc
12,"La danse des bandits",Naps,174094,https://open.spotify.com/track/3bGGvbwbhq9kIMhHaXBdYL
13,Champion,"Serge Ibaka",161819,https://open.spotify.com/track/7moGDROshDKDpuQxtQ3q4m
14,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,154400,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
15,"GIRL LIKE ME","Black Eyed Peas",151678,https://open.spotify.com/track/2vBET2pmrQqafaS6zIaYta
16,"La Seleçao",Alonzo,147694,https://open.spotify.com/track/2vd2HEhrkafOi2uveHjzzh
17,DÁKITI,"Bad Bunny",147679,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
18,Fever,"Dua Lipa",142824,https://open.spotify.com/track/3F1P0QzdXtBz0MXy7KIO5w
19,"Marché noir",SCH,141577,https://open.spotify.com/track/3BDHFeYIrqGpL8HNkuI6zv
20,Allo,"Marwa Loud",140158,https://open.spotify.com/track/3IWsDAFAwPNVnnTeQyUj7w
21,"Goosebumps - Remix","Travis Scott",139933,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
22,"Bande organisée","13 Organisé",139107,https://open.spotify.com/track/717QGTmZdkemDaCo1vQHG0
23,"Astronaut In The Ocean","Masked Wolf",137594,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
24,"Save Your Tears","The Weeknd",137481,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
25,Casanova,Were-vana,137248,https://open.spotify.com/track/5xriTc82DdSAGToWcixBKf
26,Crack,SCH,135716,https://open.spotify.com/track/52yZydTRNmxinmjt5hjk95
27,"KASSAV (feat. Tiakola)",Gazo,135106,https://open.spotify.com/track/25PVU9aowaP69bSYRBe3sj
28,"Elles ont trop joué avec mon cœur",Jok'air,131260,https://open.spotify.com/track/5SqR7dxbJiTSadTaVEhZ04
