Position,"Track Name",Artist,Streams,URL
1,"MONTERO (Call Me By Your Name)","Lil Nas X",391408,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
2,"La kiffance",Naps,387932,https://open.spotify.com/track/1bwhDrXcAtqePp8mNJ0pTe
3,HAINE&SEX,Gazo,368898,https://open.spotify.com/track/6Vcxzw4ifKqYxVrp3ckpVF
4,"Vroum Vroum","Moha K",277290,https://open.spotify.com/track/6sRPU30pj9A6G1pBXqzQkM
5,"Le temps",Tayc,268723,https://open.spotify.com/track/360oH1CqXe9XXzbbi6hvyr
6,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",252606,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
7,"Mona Lisa",Booba,212926,https://open.spotify.com/track/5LYRIyhmlrDAQsYdHEvP0f
8,"Mon poto - Extrait de la BO de « En Passant Pécho »",Kore,206229,https://open.spotify.com/track/5qFOdxS3v8Dny9T4p2CUIy
9,"Mode Akimbo (feat. Jul)",SCH,195179,https://open.spotify.com/track/7qezIDRM0E3WTW1lWxItug
10,Casanova,Were-vana,186967,https://open.spotify.com/track/5xriTc82DdSAGToWcixBKf
11,"Je t’aime de ouf",Wejdene,183934,https://open.spotify.com/track/5BUl0EBl4tOmPtT9IN0UUP
12,"Goosebumps - Remix","Travis Scott",179284,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
13,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,179218,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
14,"La danse des bandits",Naps,178388,https://open.spotify.com/track/3bGGvbwbhq9kIMhHaXBdYL
15,Fever,"Dua Lipa",175266,https://open.spotify.com/track/3F1P0QzdXtBz0MXy7KIO5w
16,DÁKITI,"Bad Bunny",172791,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
17,Champion,"Serge Ibaka",172768,https://open.spotify.com/track/7moGDROshDKDpuQxtQ3q4m
18,"GIRL LIKE ME","Black Eyed Peas",169470,https://open.spotify.com/track/2vBET2pmrQqafaS6zIaYta
19,"La Seleçao",Alonzo,164925,https://open.spotify.com/track/2vd2HEhrkafOi2uveHjzzh
20,"Bande organisée","13 Organisé",161926,https://open.spotify.com/track/717QGTmZdkemDaCo1vQHG0
21,"Wasted Love (feat. Lagique)",Ofenbach,157317,https://open.spotify.com/track/2pPO9YecZimmuVQfIzfV6U
22,"Save Your Tears","The Weeknd",152132,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
23,"Eté 90","Therapie TAXI",148820,https://open.spotify.com/track/1p9dxTMtG4gZpLp7yzvT54
24,"Astronaut In The Ocean","Masked Wolf",145795,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
