,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"MONTERO (Call Me By Your Name)","Lil Nas X",558434,https://open.spotify.com/track/3BZEcbdtXQSo7OrvKRJ6mb
2,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",431173,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
3,"drivers license","Olivia Rodrigo",252722,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
4,"Calling My Phone","Lil Tjay",241572,https://open.spotify.com/track/3J8EOeKLTLXORtWPpOU5bE
5,BED,"Joel Corry",234091,https://open.spotify.com/track/0siYMEsGrzzzlWLXK5zJfS
6,Body,"Russ Millions",232680,https://open.spotify.com/track/3CVb6hkMrlF7eHhXi5B3PZ
7,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,229774,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
8,"The Business",Tiësto,227237,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
9,"Latest Trends","A1 x J1",220821,https://open.spotify.com/track/7pnQ23WgZca9jEfMts9qsR
10,"Mr. Perfectly Fine (Taylor’s Version) (From The Vault)","Taylor Swift",210056,https://open.spotify.com/track/7l2tmgUhV7Y2aJHjiszifg
11,"Don't Play",Anne-Marie,192762,https://open.spotify.com/track/4I5bvu2KDsrCg0EWHIcvul
12,"Commitment Issues","Central Cee",192001,https://open.spotify.com/track/0UCKUJU94sx8XBQnaNsRkB
13,"Heat Waves","Glass Animals",190943,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
14,"WITHOUT YOU","The Kid LAROI",190189,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
15,"Astronaut In The Ocean","Masked Wolf",189960,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
16,"Ferrari Horses","D-Block Europe",188866,https://open.spotify.com/track/5erCwioOcRwP59NJUAtEK3
