,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"MONTERO (Call Me By Your Name)","Lil Nas X",575107,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
2,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",448294,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
3,RAPSTAR,"Polo G",388136,https://open.spotify.com/track/43PGPuHIlVOc04jrZVh9L6
4,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,364274,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
5,BED,"Joel Corry",342998,https://open.spotify.com/track/0siYMEsGrzzzlWLXK5zJfS
6,"Kiss Me More (feat. SZA)","Doja Cat",339457,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
7,"The Business",Tiësto,306569,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
8,"Levitating (feat. DaBaby)","Dua Lipa",289265,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
9,"Your Love (9PM)",ATB,271921,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
10,"Little Bit of Love","Tom Grennan",253717,https://open.spotify.com/track/3Iba59sFmGhQ4kbCY5L8AX
11,Body,"Russ Millions",248798,https://open.spotify.com/track/3CVb6hkMrlF7eHhXi5B3PZ
12,"Heat Waves","Glass Animals",246543,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
13,"deja vu","Olivia Rodrigo",242075,https://open.spotify.com/track/61KpQadow081I2AsbeLcsb
14,"Don't Play",Anne-Marie,229492,https://open.spotify.com/track/4I5bvu2KDsrCg0EWHIcvul
15,"Head & Heart (feat. MNEK)","Joel Corry",228754,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
16,"Ferrari Horses","D-Block Europe",224949,https://open.spotify.com/track/5erCwioOcRwP59NJUAtEK3
17,Titanium,Dave,222308,https://open.spotify.com/track/2qzW5AK8ldKUOWUETwAkZY
18,"drivers license","Olivia Rodrigo",218872,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
19,"Astronaut In The Ocean","Masked Wolf",213396,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
20,"Latest Trends","A1 x J1",206801,https://open.spotify.com/track/7pnQ23WgZca9jEfMts9qsR
21,"Calling My Phone","Lil Tjay",203889,https://open.spotify.com/track/3J8EOeKLTLXORtWPpOU5bE
22,"Believe Me",Navos,200810,https://open.spotify.com/track/44xO8889yUQHn70P73NILS
23,"My Head & My Heart","Ava Max",198994,https://open.spotify.com/track/1KixkQVDUHggZMU9dUobgm
24,"WITHOUT YOU","The Kid LAROI",198668,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
25,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",196809,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
26,"Blinding Lights","The Weeknd",192860,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
27,Rasputin,Majestic,192159,https://open.spotify.com/track/0b18g3G5spr4ZCkz7Y6Q0Q
28,Up,"Cardi B",190993,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
29,"Hold On","Justin Bieber",187898,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
30,"Let’s Go Home Together","Ella Henderson",180519,https://open.spotify.com/track/4CH0dVylkeBPydRM7AaG8g
31,"Good Without","Mimi Webb",174856,https://open.spotify.com/track/15OCqNPYoLziEAsbVnqRj5
32,"Paradise (feat. Dermot Kennedy)",MEDUZA,172969,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
33,"Wellerman - Sea Shanty / 220 KID x Billen Ted Remix","Nathan Evans",170613,https://open.spotify.com/track/3iw6V4LH7yPj1ESORX9RIN
34,"Leave The Door Open","Bruno Mars",170591,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
