,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Anexartita,Light,84719,https://open.spotify.com/track/61G0ze9vR455Cdze3XSWqT
2,Diamanti,SNIK,67871,https://open.spotify.com/track/6qPU5i85Wh5UBy9MaaGIuJ
3,Diamantia,"Sin Laurent",57892,https://open.spotify.com/track/3dQasgX8yPD2OxGsEyvBWs
4,"Full Press",Bossikan,34057,https://open.spotify.com/track/1AJrznrjCng2wX8dy4LGXk
5,"Dokimase Ton",Saske,33801,https://open.spotify.com/track/2Jr5Z8VTNa3bPAlbBk6n6k
6,"MONTERO (Call Me By Your Name)","Lil Nas X",32396,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
7,Baby,"Mad Clip",26203,https://open.spotify.com/track/7goj1fS7fV4dvc91RvuoBw
8,Xeimwnes,SNIK,19966,https://open.spotify.com/track/1GwHMf0Opo8nNxFLCoPI4X
9,Ring,Fy,19027,https://open.spotify.com/track/5g5GOBG3mTODUxegwjK4VL
10,"Astronaut In The Ocean","Masked Wolf",18880,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
11,Voodoo,Light,18425,https://open.spotify.com/track/6tGl1mj5CyoB1hUtOKyhkQ
12,"Louis Vuitton","Mike G",17707,https://open.spotify.com/track/1ej0sDQLcgyf8aeWOfzw4l
13,Dolce,Trannos,16269,https://open.spotify.com/track/75BOTSbHZuBTnDrA69arj6
14,"Levitating (feat. DaBaby)","Dua Lipa",14224,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
15,XILIOMETRA,"Mad Clip",14188,https://open.spotify.com/track/0Az2D1ByNU09je0ZtzDcHm
16,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",13759,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
17,"Mia Zoi","Mike G",13255,https://open.spotify.com/track/0iP2NME41Inz2Hb2tS6sKJ
18,Davay,Rack,13182,https://open.spotify.com/track/54EXZcuRYIFW75Y5Bxenxt
19,Gymni,Light,13174,https://open.spotify.com/track/0Vo6x7xCIqQlnm2XbLZ6mF
20,RAPSTAR,"Polo G",12250,https://open.spotify.com/track/43PGPuHIlVOc04jrZVh9L6
21,DEMODE,RICTA,12234,https://open.spotify.com/track/6zFIf7W0pKa9HO50dw5E8u
22,"Street Values",VLOSPA,12202,https://open.spotify.com/track/5008Rz0J8beglZBqnvSUCn
23,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",11960,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
24,Professor,IAMSTRONG,11381,https://open.spotify.com/track/7p735bl8nXf0Dg1EHNU0Ci
25,Patites,FANN,11342,https://open.spotify.com/track/3yLQd4YworFlK148uaWTge
26,Alitis,"Mad Clip",11155,https://open.spotify.com/track/3zCUHfPi1kl8EUUamLxaJ0
27,Millionaire,SNIK,10801,https://open.spotify.com/track/01Y0KGT7VzixtLyOj44x56
28,Morocco,"FLY LO",10477,https://open.spotify.com/track/4Bzee1IYWlqVHKdksLjGeo
29,"Allo Class","Mike G",10406,https://open.spotify.com/track/6BRcfiMW72tcTFde2gsPUZ
30,"CARLOS TEVEZ","Dani Gambino",10194,https://open.spotify.com/track/7sqV5wrcZH0B4q8X9uHKFJ
31,Hoodstars,GAMEBOY,10182,https://open.spotify.com/track/3F8ZuhmuIIIYkks2cqBiXZ
32,KHFISOS,"FLY LO",9856,https://open.spotify.com/track/6m9mAgw4rMkGUkHuSAFdDB
33,"The Business",Tiësto,9706,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
34,"Kiss Me More (feat. SZA)","Doja Cat",9607,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
35,"City Don't Love Me",Light,9540,https://open.spotify.com/track/7AZ8APzmxt0McQXnEXBq44
36,Bosses,SNIK,9429,https://open.spotify.com/track/4lRQP4PC7ZHQnkPuq8N52N
37,Lockdown,Mef,9425,https://open.spotify.com/track/0LgIHffVhGleMeHORs7dUl
38,Prince,Fy,9385,https://open.spotify.com/track/4M8I7zcnQYsGH5thn1J0sC
39,Barcode,Rack,9286,https://open.spotify.com/track/42mmyfhNOjoLBdAYirszzB
40,Apatewn,"Dani Gambino",8875,https://open.spotify.com/track/1gK70fcr4UnSDmP7KXtH0F
41,Etsi,SNIK,8858,https://open.spotify.com/track/73d7q3kVVIgfCUK07bVIVH
42,BALACLAVA,RICTA,8750,https://open.spotify.com/track/23QiG2QFsriAivFabPDHh5
43,"Gucci, Cartier","DJ Stephan",8714,https://open.spotify.com/track/1IdEyyAndnZmMO0nTPrZEP
44,Pistoli,"Sin Laurent",8670,https://open.spotify.com/track/1m0N54Nrd76muGR1nynZgZ
45,Up,"Cardi B",8640,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
46,"ELA PARTO","Dani Gambino",8580,https://open.spotify.com/track/1VYv1xH7yUl0b43UVR6yA9
47,Neymar,Light,8319,https://open.spotify.com/track/2GOnF9OwX7CSCHzinCr3VY
48,Streets,"Doja Cat",8238,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
49,"Blinding Lights","The Weeknd",8237,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
50,Tipota,"Giorgos Sabanis",8171,https://open.spotify.com/track/7xCer4RU565CQ9FrtxDAq8
51,Whoopty,CJ,7886,https://open.spotify.com/track/1t9WgS8FN0534tLBRwbaxO
52,Ligi,Light,7783,https://open.spotify.com/track/4iWDvVZZgRVgVnTtHOkHXp
53,Fendi,"Dirty Harry",7760,https://open.spotify.com/track/5CZbxKM8Ibh3RmfB7xFAzm
54,Moneydance,Mef,7548,https://open.spotify.com/track/43jNdiqx0wOS8m5r1FccGQ
55,210,Strat,7513,https://open.spotify.com/track/5AsNGwVP7bix0nae8y95kc
56,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,7314,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
57,Elpida,"Mad Clip",7308,https://open.spotify.com/track/1JaBJC3gj7jSsNxsnYTzhj
58,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",7300,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
59,Runaway,AURORA,7219,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6
