Position,"Track Name",Artist,Streams,URL
1,"Botella Tras Botella","Gera MX",164902,https://open.spotify.com/track/2MnLkFqY9Rpg9s3Zv6ZJdK
2,Fiel,"Los Legendarios",53967,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
3,DÁKITI,"Bad Bunny",36096,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
4,Bandido,"Myke Towers",35175,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
5,"Aquí Abajo","Christian Nodal",34328,https://open.spotify.com/track/16ONd70tvWAaLIc6hcLzaG
6,Am,"Nio Garcia",34281,https://open.spotify.com/track/2dNhNlpZAtV4lwAFW45LIv
7,"EL MAKINON","KAROL G",29169,https://open.spotify.com/track/2FSGUA0gFgGeQdprjtGM2M
8,"LA NOCHE DE ANOCHE","Bad Bunny",29018,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
9,"Pa' Olvidarme De Ella","Piso 21",28234,https://open.spotify.com/track/3lR4O0vtkhCAvVEUEWUL0S
10,911,Sech,26876,https://open.spotify.com/track/2p2Q23iaaPSEa1tI6TsCVX
