,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Botella Tras Botella","Gera MX",31080,https://open.spotify.com/track/2MnLkFqY9Rpg9s3Zv6ZJdK
2,Fiel,"Los Legendarios",20710,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
3,DÁKITI,"Bad Bunny",14929,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
4,Bandido,"Myke Towers",12700,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
5,Am,"Nio Garcia",12453,https://open.spotify.com/track/2dNhNlpZAtV4lwAFW45LIv
6,"LA NOCHE DE ANOCHE","Bad Bunny",11698,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
7,"EL MAKINON","KAROL G",11235,https://open.spotify.com/track/2FSGUA0gFgGeQdprjtGM2M
8,911,Sech,10950,https://open.spotify.com/track/2p2Q23iaaPSEa1tI6TsCVX
9,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",9470,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
10,"TE MUDASTE","Bad Bunny",9021,https://open.spotify.com/track/5RubKOuDoPn5Kj5TLVxSxY
11,Reloj,"Rauw Alejandro",8508,https://open.spotify.com/track/4loQgPwJHocL3dFwLfjb1J
12,"Pareja Del Año","Sebastian Yatra",8294,https://open.spotify.com/track/2rCbl9naJYhaxjLsfx88uM
13,"Aquí Abajo","Christian Nodal",8238,https://open.spotify.com/track/16ONd70tvWAaLIc6hcLzaG
14,telepatía,"Kali Uchis",8199,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
15,"Ella No Es Tuya - Remix","Rochy RD",7332,https://open.spotify.com/track/5YYW3yRktprLRr47WK219Y
16,"Hecha Pa' Mi",Boza,7108,https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx
17,"Hasta Abajo","Kevin Roldan",6890,https://open.spotify.com/track/4PEfJZpVjdclfzZ9XO8uDw
18,"La Tóxica",Farruko,6595,https://open.spotify.com/track/15OjBeqNX3bShsGYQbteRv
19,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",6553,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
20,"No Te Enamores - Remix",Milly,6481,https://open.spotify.com/track/2mM3gZ0BbPwPPMelbA8vgt
21,"MONTERO (Call Me By Your Name)","Lil Nas X",6471,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
22,"La Nota","Manuel Turizo",6366,https://open.spotify.com/track/5VzNsUnLmYcRfRfxpQsusa
23,"CÓMO SE SIENTE - Remix","Jhay Cortez",6359,https://open.spotify.com/track/2tFwfmceQa1Y6nRPhYbEtC
24,"Pa' Olvidarme De Ella","Piso 21",6351,https://open.spotify.com/track/3lR4O0vtkhCAvVEUEWUL0S
25,"Mi Niña",Wisin,6312,https://open.spotify.com/track/2bgcUk2A3jjKbCJ7KPquTi
26,Hawái,Maluma,6249,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
27,"Levitating (feat. DaBaby)","Dua Lipa",6177,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
28,BICHOTA,"KAROL G",6028,https://open.spotify.com/track/1WvrDdouh6C51In1SdATbq
29,"BOOKER T","Bad Bunny",5978,https://open.spotify.com/track/26w9NTiE9NGjW1ZvIOd1So
30,"LA CANCIÓN","J Balvin",5978,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
31,"La Curiosidad","Jay Wheeler",5977,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
32,"Una Locura",Ozuna,5743,https://open.spotify.com/track/5y7DaS3jAc9eZzcSOoUIwU
33,"Chica Ideal","Sebastian Yatra",5465,https://open.spotify.com/track/21N4Buj4xsyLb218lYle61
34,"Baila Conmigo (with Rauw Alejandro)","Selena Gomez",5310,https://open.spotify.com/track/079Ey5uxL04AKPQgVQwx5h
35,"Save Your Tears","The Weeknd",5257,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
36,"Blinding Lights","The Weeknd",5108,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
37,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",5080,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
38,"Leave The Door Open","Bruno Mars",5003,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
39,"Fan de Tus Fotos","Nicky Jam",4922,https://open.spotify.com/track/1mauYRwbpoGQX6itP2FAJC
40,LOCATION,"KAROL G",4816,https://open.spotify.com/track/478g4LSkyMB1PMkVOVmIaE
41,"La Santa","Bad Bunny",4747,https://open.spotify.com/track/69vlMrzHwATKzupwNcUPyK
42,Polvo,"Nicky Jam",4715,https://open.spotify.com/track/68mrW6gXHgupgSiDHgaDi5
43,"Parce (feat. Justin Quiles)",Maluma,4594,https://open.spotify.com/track/4RJz8NfIe09gpKMiRUWKhJ
44,"Dime Cómo Quieres","Christian Nodal",4531,https://open.spotify.com/track/4jcxBTrNvyqMJdMDyyjdYV
45,"La Forma en Que Me Miras","Super Yei",4391,https://open.spotify.com/track/57Ba26w9eoXx8BBUNgRNLV
46,"La Jeepeta - Remix","Nio Garcia",4367,https://open.spotify.com/track/6bvfJf4KjonPMuPfGfy3S2
47,"No Me Conoce - Remix","Jhay Cortez",4351,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
48,"Machu Picchu",Camilo,4326,https://open.spotify.com/track/6RV9pRLIQiXm3qTGeyQluf
49,"De Los Besos Que Te Di","Christian Nodal",4253,https://open.spotify.com/track/1qfoq1qvZT7VwDVeekCJ97
50,"Si Estuviésemos Juntos","Bad Bunny",4154,https://open.spotify.com/track/35wvL50xvKpCHEJPxLOLPI
51,"HACIENDO QUE ME AMAS","Bad Bunny",4066,https://open.spotify.com/track/26QApq0cuO9brJigr0C0W4
52,BEBÉ,Camilo,4044,https://open.spotify.com/track/3Zf4GutWZ7Hv3wsVQsSQPs
53,"Cabrón y Vago - En Vivo","El Fantasma",4023,https://open.spotify.com/track/4nbWX2HzrOEnX4xxvYRCyU
54,"Relación - Remix",Sech,3930,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl
55,PROBLEMA,"Daddy Yankee",3885,https://open.spotify.com/track/2dl5K2ScW7jYhAhuem06cm
56,Explícito,"Myke Towers",3826,https://open.spotify.com/track/6qraVL4IJaIj0IuEexYJNa
57,Aloha,Maluma,3804,https://open.spotify.com/track/5RAIMjdrCEjpjaR5tBATXU
58,"Hasta Que Me Olvides","Luis Miguel",3741,https://open.spotify.com/track/6vPAmoERUMRoTZaCCSWQ12
59,"No Te Contaron Mal","Christian Nodal",3724,https://open.spotify.com/track/7hbk4BaF66O09R1gq0bKwj
60,Callaita,"Bad Bunny",3645,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
61,"EL PONY","Daddy Yankee",3541,https://open.spotify.com/track/3ymdUMzgylwrSfpxdlCUWV
62,"El Tóxico","Grupo Firme",3501,https://open.spotify.com/track/7E9GeFGfjXw9LAI4ay6rsw
63,Vete,"Bad Bunny",3483,https://open.spotify.com/track/2n7ohqg1s68ToAHh4u9mcW
64,"Tattoo - Remix with Camilo","Rauw Alejandro",3466,https://open.spotify.com/track/4G3PTss3mU33Tau7t4KbwE
65,"Don't Start Now","Dua Lipa",3466,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
66,"Yo Ya No Vuelvo Contigo - En Vivo","Lenin Ramírez",3419,https://open.spotify.com/track/1s59X35jDULAyOGmBuTAnd
67,"Si Veo a Tu Mamá","Bad Bunny",3388,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
68,"Se Me Olvidó","Christian Nodal",3344,https://open.spotify.com/track/7paFC3FEu1WtPVP4Do6VZN
69,Safaera,"Bad Bunny",3316,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
70,"A Tu Merced","Bad Bunny",3259,https://open.spotify.com/track/4r9jkMEnArtWGH2rL2FZl0
71,"Mi Cuarto","Jerry Di",3255,https://open.spotify.com/track/6fmQjRuo7XvRFCK2qex5hQ
72,"MÍRENME AHORA","Myke Towers",3247,https://open.spotify.com/track/1QigNNcv8c5X2iL294bZev
73,"La Curiosidad (feat. Dj Nelson, Jhay Cortez, Lunay & Kendo Kaponi) - Blue Grand Prix Remix","Jay Wheeler",3234,https://open.spotify.com/track/7LE1K0lZyRFZjSlrnm7lfD
74,"Una Vez","Bad Bunny",3233,https://open.spotify.com/track/5J7teKIJGtqVypgYI6sqXj
75,"Vida de Rico",Camilo,3210,https://open.spotify.com/track/4nTduFjaTmGysc9WKNuCcs
76,"Travesuras - Remix","Nio Garcia",3199,https://open.spotify.com/track/0VWLId2RwPCno9s1cJm2Vy
77,"Heartbreak Anniversary",Giveon,3170,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
78,"Nace Un Borracho","Christian Nodal",3142,https://open.spotify.com/track/6SnO4yCCYtz2rffMpEAlro
79,Ignorantes,"Bad Bunny",3109,https://open.spotify.com/track/38RIEav39FGi86jppxO0du
80,"Ay, DiOs Mío!","KAROL G",3103,https://open.spotify.com/track/1beTDCe7sT7fzm8WIKXicz
81,Jeans,"Justin Quiles",3077,https://open.spotify.com/track/3GtnId3Cm1Xa6joCj08nzW
82,"Watermelon Sugar","Harry Styles",3019,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
83,Despeinada,Ozuna,2990,https://open.spotify.com/track/0JAZWvvqttGFm4UMDsPQXC
84,Runaway,AURORA,2981,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6
85,"PIN PIN","Myke Towers",2943,https://open.spotify.com/track/51tMYALx6Lkrte41DoWIPq
86,"La Difícil","Bad Bunny",2911,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt
87,"Kiss Me More (feat. SZA)","Doja Cat",2872,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
88,"La Mitad",Camilo,2788,https://open.spotify.com/track/63Zaf8Rci6eOUPqDQ4fUFx
89,"Otra Noche Sin Ti","J Balvin",2765,https://open.spotify.com/track/2CdTLdDjwZdVcm0bresVWx
90,"Algo Mágico","Rauw Alejandro",2754,https://open.spotify.com/track/7D93pJcwymzaZx8WgBo2zG
91,"Agua de Jamaica",Maluma,2748,https://open.spotify.com/track/41BzKiCrKpUQHS3TP0jmdr
92,"Astronaut In The Ocean","Masked Wolf",2735,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
93,Tusa,"KAROL G",2668,https://open.spotify.com/track/0dKg2vGC1hFqcK5LGTaKzX
94,"drivers license","Olivia Rodrigo",2662,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
95,"Hasta Que Dios Diga","Anuel AA",2623,https://open.spotify.com/track/06s3QtMJVXw1AJX3UfvZG1
96,"Ahora Te Puedes Marchar","Luis Miguel",2600,https://open.spotify.com/track/1uKjQoh8JZj9ryuYRhpd7E
97,Probablemente,"Christian Nodal",2555,https://open.spotify.com/track/4prmUBle7TtAeeUgCnsc3Z
98,Dynamite,BTS,2501,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
99,"Más De La Una","Piso 21",2447,https://open.spotify.com/track/00szcRmgqJGtqrfIUYkM1h
100,"Yo Perreo Sola","Bad Bunny",2441,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
101,"Ropa Cara",Camilo,2431,https://open.spotify.com/track/2zY1iTaEgs8ROkkWtWLe7l
102,"deja vu","Olivia Rodrigo",2427,https://open.spotify.com/track/61KpQadow081I2AsbeLcsb
103,"Se Te Nota (with Guaynaa)","Lele Pons",2403,https://open.spotify.com/track/11EnQRgRMJwMAesfkB5pnu
104,"La Incondicional","Luis Miguel",2395,https://open.spotify.com/track/6F9yAYUaNbUhdlQyt5uZ3b
105,BURBERRY,"Myke Towers",2393,https://open.spotify.com/track/1cH9JMgvzkOXGKPiegrBjw
106,"Hola - Remix",Dalex,2389,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
107,512,Mora,2383,https://open.spotify.com/track/5jzEwSyyymBlf1fa1o39T2
108,Levitating,"Dua Lipa",2380,https://open.spotify.com/track/39LLxExYz6ewLAcYrzQQyP
109,Diosa,"Myke Towers",2372,https://open.spotify.com/track/3JHpk0DOTOzyh0777JFAky
110,"Palabra de Hombre","El Fantasma",2340,https://open.spotify.com/track/4CLkDJ4xLqkV4Vt2vPOny1
111,"Otra Noche en Miami","Bad Bunny",2335,https://open.spotify.com/track/4vCAzANUWDE24URV6wQ4ra
112,"Me Rehúso","Danny Ocean",2322,https://open.spotify.com/track/6ifUES3keWjwXgae8pXI3o
113,Rojo,"J Balvin",2315,https://open.spotify.com/track/380HmhwTE2NJgawn1NwkXi
114,Caramelo,Ozuna,2289,https://open.spotify.com/track/5Jm4w8jmPEBTLjI9vH4fXo
115,"YO VISTO ASÍ","Bad Bunny",2286,https://open.spotify.com/track/5fROvzNghPid8mbKNDYvpJ
116,"Adiós Amor","Christian Nodal",2283,https://open.spotify.com/track/63bmZnBN1CiJ9sA4qTEe8y
117,"Tu Veneno","J Balvin",2281,https://open.spotify.com/track/5KFHrrBMyGj5MhVbZMM3ts
118,Azul,"J Balvin",2235,https://open.spotify.com/track/2lCkncy6bIB0LTMT7kvrD1
119,"Sigues Con El","Dímelo Flow",2233,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
120,Millones,Camilo,2216,https://open.spotify.com/track/3YAnNBdk0uHyakXXzMbNJq
121,"2 Veces","Los Plebes del Rancho de Ariel Camacho",2194,https://open.spotify.com/track/2G5kj8gYNAVM4pQ0IBBaGA
122,Up,"Cardi B",2189,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
123,"Lamento Boliviano","Los Enanitos Verdes",2176,https://open.spotify.com/track/6Pur3hWy6Nzc27ilmsp5HA
124,Streets,"Doja Cat",2173,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
125,"Christian Dior","Jhay Cortez",2162,https://open.spotify.com/track/4jOBQxq4Ffd8DDrsN4wPOR
126,Tú,"Carin Leon",2161,https://open.spotify.com/track/1nLs8r6K4YN0avBwUmmTnr
127,"En Tu Cuerpo - Remix",Lyanno,2142,https://open.spotify.com/track/3dEtfTtCXWW7N8WQ9FD29z
128,"CANCIÓN CON YANDEL",Yandel,2139,https://open.spotify.com/track/3pm4XtcsRIFFtH2UErk62R
129,"Te Vi","Piso 21",2134,https://open.spotify.com/track/059bcIhyc2SBwm6sw2AZzd
130,"3G (feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers) - Remix",Wisin,2112,https://open.spotify.com/track/6dyUkkcyYuDiHOwIRXYOJm
131,Dile,"Don Omar",2103,https://open.spotify.com/track/69Ej1xrGjOcHvIMtMKxK0G
132,"Amor Tóxico","Christian Nodal",2097,https://open.spotify.com/track/5LPlvbxA6bJQHvUW12Mr22
133,"Ponte Pa' Mi","Justin Quiles",2096,https://open.spotify.com/track/4C6BlqqMwjFzOXzqpTeoWR
134,Bichiyal,"Bad Bunny",2089,https://open.spotify.com/track/4j4w4CXm6BSr0s25wAWrrX
135,"EL BARCO","KAROL G",2089,https://open.spotify.com/track/0MT6qJd7wKlWjH7tP7oWHi
136,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]","Anuel AA",2086,https://open.spotify.com/track/5q2JbCNi4FcnglgPfxcV65
137,Favorito,Camilo,2074,https://open.spotify.com/track/0jT8Nl0shPS8115is0wD2Q
138,"Fuentes de Ortiz","Ed Maverick",2074,https://open.spotify.com/track/0akyEssGRVHstqCSWXusJL
139,"QUE PRETENDES","J Balvin",2066,https://open.spotify.com/track/25ZAibhr3bdlMCLmubZDVt
140,"Si Se Da - Remix","Myke Towers",2061,https://open.spotify.com/track/6K5BsR04ijf3FHNzjbaagD
