,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"MONTERO (Call Me By Your Name)","Lil Nas X",29748,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
2,"Mokambo Gang",Bsw,23758,https://open.spotify.com/track/0VcZUeaVzBil5tN3LCzkFm
3,"Astronaut In The Ocean","Masked Wolf",20155,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
4,"The Business",Tiësto,18252,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
5,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,18069,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
6,"Levitating (feat. DaBaby)","Dua Lipa",15782,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
7,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",14858,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
8,Polizei,"LMEN PRALA",14109,https://open.spotify.com/track/2WDRZdUzRYiv3JkdaMXU9p
9,"Head & Heart (feat. MNEK)","Joel Corry",13114,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
10,"Paradise (feat. Dermot Kennedy)",MEDUZA,12955,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
11,"Your Love (9PM)",ATB,12110,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
12,"Head Shoulders Knees & Toes (feat. Norma Jean Martine)",Ofenbach,12042,https://open.spotify.com/track/6i7zAdNhzUN2k1HcrBxPHG
13,"Mood (feat. iann dior)",24kGoldn,11239,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
14,"Blinding Lights","The Weeknd",10869,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
15,Faszagyerek,"T. Danny",10487,https://open.spotify.com/track/0853L9QuAoYUkHIA4d8aDO
16,"Save Your Tears","The Weeknd",10285,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
17,"Kiss Me More (feat. SZA)","Doja Cat",10234,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
18,"Wasted Love (feat. Lagique)",Ofenbach,10003,https://open.spotify.com/track/2pPO9YecZimmuVQfIzfV6U
19,"Üres szívek",Nemazalány,9815,https://open.spotify.com/track/78Jj0xPR2y4KMAtYuWpRly
20,RAPSTAR,"Polo G",9467,https://open.spotify.com/track/43PGPuHIlVOc04jrZVh9L6
21,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",9454,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
22,"Wellerman - Sea Shanty / 220 KID x Billen Ted Remix","Nathan Evans",9025,https://open.spotify.com/track/3iw6V4LH7yPj1ESORX9RIN
23,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",8664,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
24,Runaway,AURORA,8478,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6
25,"Breaking Me",Topic,8474,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
26,RÉT,Azahriah,8428,https://open.spotify.com/track/7EQq2RCCbFOR7XnN5J1vTv
27,"My Head & My Heart","Ava Max",8289,https://open.spotify.com/track/1KixkQVDUHggZMU9dUobgm
28,"drivers license","Olivia Rodrigo",8053,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
29,"Kings & Queens","Ava Max",7966,https://open.spotify.com/track/7a53HqqArd4b9NF4XAmlbI
30,"Régi mese","Follow The Flow",7852,https://open.spotify.com/track/0jSIGeXBzed6V7437rRupd
31,Lovefool,twocolors,7841,https://open.spotify.com/track/51Of5p3lKZeOg6itfs4og4
32,"Prisoner (feat. Dua Lipa)","Miley Cyrus",7661,https://open.spotify.com/track/2Oycxb8QbPkpHTo8ZrmG0B
33,Lej,Dzsúdló,7632,https://open.spotify.com/track/3sUOONjFxjepoSXvKYrz5E
34,"Olyan Ő","Bagossy Brothers Company",7571,https://open.spotify.com/track/0GsltzHgCGCiQvskZggDDj
35,"Roses - Imanbek Remix","SAINt JHN",7544,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
