Position,"Track Name",Artist,Streams,URL
1,"To the Bone",Pamungkas,402709,https://open.spotify.com/track/3pCt2wRdBDa2kCisIdHWgF
2,"Leave The Door Open","Bruno Mars",263427,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
3,"After School",Weeekly,221916,https://open.spotify.com/track/52CBUrIdyf8tbZaUY9iawE
4,"Heartbreak Anniversary",Giveon,212394,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
5,"Blue Jeans",GANGGA,198445,https://open.spotify.com/track/4kfjA6WfgKBt7I7YKuDCkU
6,Bertaut,"Nadin Amizah",181732,https://open.spotify.com/track/630DpnzdfjdVqv2yLfPbAX
7,Lantas,"Juicy Luicy",176734,https://open.spotify.com/track/1ZPVEo8RfmrEz8YAD5n6rW
8,"At My Worst","Pink Sweat$",159289,https://open.spotify.com/track/2MJz8BxxMsERULatmBikDH
9,"Putus Atau Terus",Judika,144515,https://open.spotify.com/track/7HBW6yX8iRf81nn6NVOzHL
10,"MONTERO (Call Me By Your Name)","Lil Nas X",137302,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
