,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"MONTERO (Call Me By Your Name)","Lil Nas X",87781,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
2,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",66047,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
3,BED,"Joel Corry",63978,https://open.spotify.com/track/0siYMEsGrzzzlWLXK5zJfS
4,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,63853,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
5,"Levitating (feat. DaBaby)","Dua Lipa",58067,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
6,"Heat Waves","Glass Animals",58037,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
7,RAPSTAR,"Polo G",56987,https://open.spotify.com/track/43PGPuHIlVOc04jrZVh9L6
8,"The Business",Tiësto,54071,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
9,"Your Love (9PM)",ATB,48871,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
10,"Kiss Me More (feat. SZA)","Doja Cat",47806,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
11,"deja vu","Olivia Rodrigo",46367,https://open.spotify.com/track/61KpQadow081I2AsbeLcsb
12,"Little Bit of Love","Tom Grennan",39784,https://open.spotify.com/track/3Iba59sFmGhQ4kbCY5L8AX
13,"drivers license","Olivia Rodrigo",37445,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
14,"Paradise (feat. Dermot Kennedy)",MEDUZA,37266,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
15,"Head & Heart (feat. MNEK)","Joel Corry",36062,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
16,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",34702,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
17,"WITHOUT YOU","The Kid LAROI",33650,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
18,"My Head & My Heart","Ava Max",33255,https://open.spotify.com/track/1KixkQVDUHggZMU9dUobgm
19,"Hold On","Justin Bieber",32974,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
20,"Get Out My Head","Shane Codd",31923,https://open.spotify.com/track/055Mme9ReKK99jRFA5UJ55
21,Up,"Cardi B",31846,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
22,"Astronaut In The Ocean","Masked Wolf",31717,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
23,"Don't Play",Anne-Marie,30502,https://open.spotify.com/track/4I5bvu2KDsrCg0EWHIcvul
24,Giants,"Dermot Kennedy",28019,https://open.spotify.com/track/43CHdbHYdcbUWP10UFKyZ7
25,Titanium,Dave,27443,https://open.spotify.com/track/2qzW5AK8ldKUOWUETwAkZY
26,"Save Your Tears","The Weeknd",27101,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
27,"Let’s Go Home Together","Ella Henderson",26921,https://open.spotify.com/track/4CH0dVylkeBPydRM7AaG8g
28,"We're Good","Dua Lipa",26481,https://open.spotify.com/track/1diS6nkxMQc3wwC4G1j0bh
29,Rasputin,Majestic,26264,https://open.spotify.com/track/0b18g3G5spr4ZCkz7Y6Q0Q
30,"Believe Me",Navos,26220,https://open.spotify.com/track/44xO8889yUQHn70P73NILS
31,Body,"Russ Millions",26119,https://open.spotify.com/track/3CVb6hkMrlF7eHhXi5B3PZ
32,"Blinding Lights","The Weeknd",25559,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
33,"Good Without","Mimi Webb",25063,https://open.spotify.com/track/15OCqNPYoLziEAsbVnqRj5
34,"Wellerman - Sea Shanty / 220 KID x Billen Ted Remix","Nathan Evans",24355,https://open.spotify.com/track/3iw6V4LH7yPj1ESORX9RIN
35,Runaway,AURORA,24323,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6
36,"Dreams - 2004 Remaster","Fleetwood Mac",24257,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
37,"Leave The Door Open","Bruno Mars",24168,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
38,"Watermelon Sugar","Harry Styles",22251,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
39,"Another Love","Tom Odell",21882,https://open.spotify.com/track/7jtQIBanIiJOMS6RyCx6jZ
40,"Mood (feat. iann dior)",24kGoldn,21358,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
41,Goosebumps,HVME,20744,https://open.spotify.com/track/20McUFi8KCIVdNDLrkTDuZ
42,"Ferrari Horses","D-Block Europe",19325,https://open.spotify.com/track/5erCwioOcRwP59NJUAtEK3
43,"Latest Trends","A1 x J1",18943,https://open.spotify.com/track/7pnQ23WgZca9jEfMts9qsR
44,"Heartbreak Anniversary",Giveon,18788,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
45,Streets,"Doja Cat",18237,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
46,"Calling My Phone","Lil Tjay",17791,https://open.spotify.com/track/3J8EOeKLTLXORtWPpOU5bE
