Position,"Track Name",Artist,Streams,URL
1,"MONTERO (Call Me By Your Name)","Lil Nas X",25390,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
2,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",23924,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
3,"בית משוגעים","Ran Danker",23463,https://open.spotify.com/track/66iaD8MCoVnBtqUhuzdglT
4,"Astronaut In The Ocean","Masked Wolf",21317,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
5,"גדל לי קצת זקן","Eden Hason",19238,https://open.spotify.com/track/7kJ3RSCzrosxxkNgJtQ53v
6,"יהלומים - BLING BLING","Noa Kirel",18938,https://open.spotify.com/track/7v63pRo1RXcYzrCxaMkGc5
7,"פסקול חיי","Omer Adam",17375,https://open.spotify.com/track/2qmJ2h1UdncRMPI2DMRWvK
8,"End of the Road","Noga Erez",15728,https://open.spotify.com/track/5YSXUtpMFyztO3OFY3V4hc
9,"שושנים עצובות (ישראל בידור)","Eden Hason",15273,https://open.spotify.com/track/1rmxF8VNLZ2gXwwzqGJ9tJ
10,פרצופים,"Omer Adam",14450,https://open.spotify.com/track/09PZuKctf7D3RAdaegN7zu
