,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Runaway,AURORA,258766,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6
2,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",255462,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
3,"Lut Gaye","Jubin Nautiyal",243286,https://open.spotify.com/track/2ufLEVbzvEcJ3subW8jBUp
4,"MONTERO (Call Me By Your Name)","Lil Nas X",237890,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
5,"Brown Munde","AP Dhillon",235702,https://open.spotify.com/track/58f4twRnbZOOVUhMUpplJ4
6,"Astronaut In The Ocean","Masked Wolf",167287,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
7,"Nadiyon Paar (Let the Music Play Again) (From ""Roohi"")",Sachin-Jigar,156329,https://open.spotify.com/track/2PEo8JQ48mfEv8a2HLqDvt
8,Arcade,"Duncan Laurence",156265,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
9,"Baarish Ki Jaaye","B Praak",154714,https://open.spotify.com/track/4OQFlJOSID2AzpmOcuDlJl
10,"Tu Aake Dekhle",King,153332,https://open.spotify.com/track/0yCWDaAgOtg6TKlNCg9rwA
11,"Heartbreak Anniversary",Giveon,136449,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
12,"At My Worst","Pink Sweat$",135779,https://open.spotify.com/track/2MJz8BxxMsERULatmBikDH
13,"Thoda Thoda Pyaar","Stebin Ben",133262,https://open.spotify.com/track/5nsET7aVWXu017lsQjRFCV
14,SugarCrash!,ElyOtto,126573,https://open.spotify.com/track/2ePtv8MlBO9nuuXABqAfEX
15,"Agar Tum Saath Ho (From ""Tamasha"")","Alka Yagnik",123471,https://open.spotify.com/track/2FCXQHugkoHE1K3tiDu8pu
16,Shayad,Pritam,118464,https://open.spotify.com/track/1smFN2CLqGROu0J0UyvDfL
17,"Insane - Ap Dhillon & Gurinder Gill - Original",Ranvir,115876,https://open.spotify.com/track/0Iae4QQ25jYgFIXyVqxODl
18,Dynamite,BTS,113493,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
19,"Stereo Hearts (feat. Adam Levine)","Gym Class Heroes",112149,https://open.spotify.com/track/0qOnSQQF0yzuPWsXrQ9paz
20,"Enjoy Enjaami",Dhee,95930,https://open.spotify.com/track/1baHxgYktT8eDdmtTozJF9
21,"Levitating (feat. DaBaby)","Dua Lipa",91594,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
22,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",87857,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
23,"Blinding Lights","The Weeknd",87150,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
24,Khairiyat,Pritam,85178,https://open.spotify.com/track/5O932cZmzOZGOGZz9RHx20
25,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")","Arijit Singh",82338,https://open.spotify.com/track/2Fv2injs4qAm8mJBGaxVKU
26,"Mood (feat. iann dior)",24kGoldn,81956,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
27,Liggi,Ritviz,80888,https://open.spotify.com/track/4vwPirpSJCOiIsgxMV4Xcv
28,Believer,"Imagine Dragons",80280,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
29,Talja,"Jassa Dhillon",79204,https://open.spotify.com/track/1E4BrvZRKjcrfCkQS1iDfj
30,"Play Date","Melanie Martinez",79161,https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA
31,"drivers license","Olivia Rodrigo",78837,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
32,"lovely (with Khalid)","Billie Eilish",78620,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
33,Señorita,"Shawn Mendes",77694,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
34,"Pani Di Gal","Maninder Buttar",77238,https://open.spotify.com/track/410NHwz8mMvM0AYxKJooy3
35,Waalian,Harnoor,77003,https://open.spotify.com/track/4hOsYVSWKWP71u3yQbcqZB
36,"Hold On","Justin Bieber",75421,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
37,"Vaathi Coming","Anirudh Ravichander",75415,https://open.spotify.com/track/2BcPFQ7nrtUObgAs72xaac
