Position,"Track Name",Artist,Streams,URL
1,"MONTERO (Call Me By Your Name)","Lil Nas X",6220,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
2,RAPSTAR,"Polo G",5901,https://open.spotify.com/track/43PGPuHIlVOc04jrZVh9L6
3,"Ástrós (feat. BRÍET)","Bubbi Morthens",5495,https://open.spotify.com/track/7mGZklollA25HGdPh3jWeW
4,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",5016,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
5,"Dangerous Love","DJ Muscleboy",4962,https://open.spotify.com/track/5pwOxSHlMhrB3F4xsYJWe7
6,"Ef ástin er hrein (feat. GDRN)","Jón Jónsson",4710,https://open.spotify.com/track/5wGoaKvq8Vlst7ZqKyQbvn
7,"Spurningar (feat. Páll Óskar)",Birnir,4586,https://open.spotify.com/track/5VrbuzqAjCAFSa7MpGRXWI
8,"Rólegur Kúreki",BRÍET,4418,https://open.spotify.com/track/5qI0p2E7BxBxYRJknYr6Gg
9,"Gírinn (feat. Ingó Veðurguð & Gummi Tóta)","Doctor Victor",4079,https://open.spotify.com/track/75V8IaOr1aB0RiVD5CgfOV
10,"The Business",Tiësto,3760,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
11,"Kiss Me More (feat. SZA)","Doja Cat",3699,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
12,Skinny,KALEO,3690,https://open.spotify.com/track/2C4jYVZId6mxISa3HrBvGM
13,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,3307,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
14,"Segðu mér","Friðrik Dór",3278,https://open.spotify.com/track/04ZMCgKlsRcTDrxGMKCrAx
15,"Bassi Maraj","Bassi Maraj",3235,https://open.spotify.com/track/6lKpd6GlJzsPkXq73GnUW6
16,Esjan,BRÍET,3195,https://open.spotify.com/track/7DRDJ5ZzU7mj7CfRxGYzOY
17,"Levitating (feat. DaBaby)","Dua Lipa",3099,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
18,"Save Your Tears","The Weeknd",3077,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
19,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",3009,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
20,"drivers license","Olivia Rodrigo",2844,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
21,"Wellerman - Sea Shanty / 220 KID x Billen Ted Remix","Nathan Evans",2842,https://open.spotify.com/track/3iw6V4LH7yPj1ESORX9RIN
22,Fimm,BRÍET,2664,https://open.spotify.com/track/07pDiOE4MapRnzP6KdrRKX
23,"10 Years","Daði Freyr",2632,https://open.spotify.com/track/4O0LQKVT6hGmVGNwizmydg
24,Racks,Birnir,2543,https://open.spotify.com/track/4UclSbkRsKfFNNQcvWCRlA
25,"Goosebumps - Remix","Travis Scott",2527,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
26,Up,"Cardi B",2455,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
27,"Ég var að spá",RAKEL,2384,https://open.spotify.com/track/5hWSDV3aXFfW3OgtAOKOxp
28,"Astronaut In The Ocean","Masked Wolf",2341,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
29,"Leave The Door Open","Bruno Mars",2334,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
30,"Blinding Lights","The Weeknd",2322,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
31,"Fljúgðu burt dúfa",Auður,2135,https://open.spotify.com/track/215DAsePr8LKyzyF2sScV7
32,"Heartbreak Anniversary",Giveon,2128,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
33,"deja vu","Olivia Rodrigo",2106,https://open.spotify.com/track/61KpQadow081I2AsbeLcsb
34,"Rómeó og Júlía","Bubbi Morthens",2085,https://open.spotify.com/track/0IdsoEg5mjXNqlrskkzWjl
35,"Dvel ég í draumahöll","Hafdís Huld",2069,https://open.spotify.com/track/44APbTIWsNtA4lJivNJSQ6
36,"Að morgni til",Auður,2047,https://open.spotify.com/track/5DW3I3yjh2v8CXWCAz357s
37,"WITHOUT YOU","The Kid LAROI",2039,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
38,"Hey Gringo",KALEO,1957,https://open.spotify.com/track/4aPeeN8IYOCMNBGI0p7169
39,Runaway,AURORA,1928,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6
40,"Er þetta ást? - Live á RÚV",Unnsteinn,1852,https://open.spotify.com/track/1jnKjUwZG3X1LhqeVY09eN
41,"Calling My Phone","Lil Tjay",1771,https://open.spotify.com/track/3J8EOeKLTLXORtWPpOU5bE
42,Sólblóm,BRÍET,1752,https://open.spotify.com/track/1JErDzdamBvSZQr7xaDToq
43,Óskasteinar,"Hafdís Huld",1700,https://open.spotify.com/track/1EUZrgQT3KkJ5dBiYLAbVf
44,"Break My Baby",KALEO,1689,https://open.spotify.com/track/3BsoE7SgveujY2jeV2rVRw
45,"Litlar stjörnur","Hafdís Huld",1675,https://open.spotify.com/track/3P4DFoobXVSxBtjsvURSSP
46,"We're Good","Dua Lipa",1675,https://open.spotify.com/track/1diS6nkxMQc3wwC4G1j0bh
47,"Sumargleðin (feat. Gummi Tóta & Ingó Veðurguð)","Doctor Victor",1670,https://open.spotify.com/track/1fUYXOGNrIqYWwe9QLE3P1
48,"Djúp Sár Gróa Hægt",BRÍET,1626,https://open.spotify.com/track/1aPtR7RxPkPBL385B9FYEl
49,"Good Days",SZA,1623,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
50,"Sofðu unga ástin mín","Hafdís Huld",1587,https://open.spotify.com/track/0fF43Vtu2yuaixZViQN5yO
51,Afgan,"Bubbi Morthens",1562,https://open.spotify.com/track/3T7Dil6DmABypEgSrKrLnv
52,"Rangur Maður","Ingi Bauer",1549,https://open.spotify.com/track/55CSBM2ebqdGhLwpyZfl07
53,Body,"Russ Millions",1548,https://open.spotify.com/track/3CVb6hkMrlF7eHhXi5B3PZ
54,"Solid (feat. Drake)","Young Stoner Life",1542,https://open.spotify.com/track/6rTInqW3YECMkQsBEHw4sd
55,"Heat Waves","Glass Animals",1479,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
56,"Bíum bíum bambaló","Hafdís Huld",1459,https://open.spotify.com/track/5S2wLOfH1u9iSUQy8NtvRZ
57,"Það er gott að elska","Bubbi Morthens",1455,https://open.spotify.com/track/3KQYk6xCiUI6yKdxXlYA1C
