,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,lady,sangiovanni,368791,https://open.spotify.com/track/2uyQXAGGwHuQVsu04OTVsB
2,"Mi manchi","Aka 7even",349703,https://open.spotify.com/track/5Q47Vr7OH4XdXR6tqdwTE2
3,VOCE,Madame,319232,https://open.spotify.com/track/4ylL1oPx1rY1yFivslLFOR
4,"Musica leggerissima",Colapesce,272762,https://open.spotify.com/track/67qxSUoyng1ohzvfyOyNWW
5,"La genesi del tuo colore",Irama,271755,https://open.spotify.com/track/0HyDNYQmQ3obfA81D3y9tG
6,"MONTERO (Call Me By Your Name)","Lil Nas X",268891,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
7,"LA CANZONE NOSTRA ⟁ ︎(con BLANCO & SALMO)",MACE,266840,https://open.spotify.com/track/1uXJYnCsXy2v50y0fDEEiV
8,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,254808,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
9,"0 passi",Deddy,243657,https://open.spotify.com/track/7kbWJ8cCpn2IlsQTEagWi7
10,"Buongiorno vita",Ultimo,242115,https://open.spotify.com/track/0IxDw5m8XyFBnrCXAppF53
11,"Ti raggiungerò","Fred De Palma",237680,https://open.spotify.com/track/3Ks12KDKwrT1anFMW0tevG
12,"FANTASMI (feat. Geolier & Marracash)",TY1,232694,https://open.spotify.com/track/3uNEz1wYbu8s34jKDVVhMs
13,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",215433,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
14,"tutta la notte",sangiovanni,208191,https://open.spotify.com/track/32SclbEhaMKvlMbncpy8W2
15,"Yo No Sé",Rvfv,203020,https://open.spotify.com/track/43ic0un1f9Nak0ZCQgvKjY
16,"ZITTI E BUONI",Måneskin,196165,https://open.spotify.com/track/776AftMmFFAWUIEAb3lHhw
17,"CHIAMAMI PER NOME","Francesca Michielin",192916,https://open.spotify.com/track/0ZqHo6eTBHUcOVjZzPvftT
18,DUBAI,Rondodasosa,174861,https://open.spotify.com/track/57GZGMVY9ivqEqKIDPA1HK
19,"Las Vegas",Tancredi,169366,https://open.spotify.com/track/7jQjC63euHxAuB9ZEo8Bw1
20,"Ferma A Guardare (feat. Pinguini Tattici Nucleari)",Ernia,166977,https://open.spotify.com/track/1eDC4NiUYgQSKpKDIvXxi4
21,Parlami,Fasma,166022,https://open.spotify.com/track/00QN58Gx571pB1MEuBAcmL
22,"Your Love (9PM)",ATB,163938,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
23,"Smith & Wesson Freestyle (feat. Marracash)","Guè Pequeno",160178,https://open.spotify.com/track/596fQREtpVHWRl3xCmVhEM
24,"Fiamme negli occhi",Coma_Cose,153630,https://open.spotify.com/track/60nw7bwqYjVsrccNjF6TMO
25,"Hecha Pa' Mi",Boza,150708,https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx
26,Lifestyle,"Guè Pequeno",143922,https://open.spotify.com/track/20XT7TO32dN1s9xtowLPuR
27,Dieci,Annalisa,142810,https://open.spotify.com/track/3RqausOoS1TMLly9Q12JgT
28,"Envidioso (feat. Morad)","Capo Plaza",135159,https://open.spotify.com/track/4jEPGkpoaINmlOYGVs79Ok
29,"Il Cielo Contromano",Deddy,131503,https://open.spotify.com/track/2zE2D5b8xKpdsVyWM2vlTt
30,"Venere e Marte (feat. Marco Mengoni, Frah Quintale)","Takagi & Ketra",128365,https://open.spotify.com/track/4O3sAZoZDIhNRcfHNuU4Ps
31,"Astronaut In The Ocean","Masked Wolf",122520,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
32,"Alex (feat. Lazza & Salmo)","Guè Pequeno",119174,https://open.spotify.com/track/6VjVQnDH8wXVhVhGx2sF0r
33,"Champagne 4 The Pain (feat. Gemitaiz & Noyz Narcos)","Guè Pequeno",118158,https://open.spotify.com/track/3X2hj2FtEjHTYr6CMRO2my
34,Superclassico,Ernia,113717,https://open.spotify.com/track/6Ahg1hncxUdK0ICqU03BCu
35,"Save Your Tears","The Weeknd",113200,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
36,Glicine,Noemi,111133,https://open.spotify.com/track/3oTNtTmOOekaUDvDiqM4br
37,Meteoriti,Mr.Rain,110655,https://open.spotify.com/track/1Lf1F7qEOS4O4wl9l8lmUq
38,hype,sangiovanni,107207,https://open.spotify.com/track/5TpiEQwR25UTdvIGh6Zdz1
39,"L'urlo di Munch","Emanuele Aloia",103753,https://open.spotify.com/track/4pWFqZNa1THbgHcAo8u4p9
40,"Non Fare Così","Capo Plaza",103301,https://open.spotify.com/track/769M2rTiAoL7x2lKDHLjRa
41,"No Cap (feat. Geolier)","Emis Killa",101921,https://open.spotify.com/track/3uqFFmxrCv4nzkKFSNbXHv
42,"Scooby Doo","Pinguini Tattici Nucleari",101364,https://open.spotify.com/track/1P6TlFb8EVH2nCX3luVpZW
43,"HO SPENTO IL CIELO (con Tommaso Paradiso)",Rkomi,100458,https://open.spotify.com/track/12EGkByo0sY9oAhKve5EOj
44,"polka 2 :-/","Rosa Chemical",99272,https://open.spotify.com/track/5LWZA5aRYBdO7FqcrKjfVs
45,"A Un Passo Dalla Luna","Rocco Hunt",97934,https://open.spotify.com/track/3YNcQUeVOpM3SDmwBeGfMK
46,"Che senso ha",Franco126,97741,https://open.spotify.com/track/71mvjQrJ1erzNnVaSvXlaY
47,"Fireworks (feat. Moss Kena & The Knocks)","Purple Disco Machine",97013,https://open.spotify.com/track/1kTlT3phtU2yqTJYT1x6hb
48,"Mai Dire Mai (La Locura)","Willie Peyote",96901,https://open.spotify.com/track/4jmvkbDw0cuWD2Fi9VswFQ
49,Inuyasha,Mahmood,96002,https://open.spotify.com/track/361UCyu0eeQnfw2FCEy8tv
50,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",95871,https://open.spotify.com/track/6fRxMU4LWwyaSSowV441IU
