Position,"Track Name",Artist,Streams,URL
1,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",19194,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
2,LILAC,IU,11382,https://open.spotify.com/track/5xrtzzzikpG3BLbo4q1Yul
3,"Kiss Me More (feat. SZA)","Doja Cat",10266,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
4,Rollin',"Brave Girls",9491,https://open.spotify.com/track/2VJOpzv5sBpstCX9venJr5
5,ASAP,STAYC,8343,https://open.spotify.com/track/5BXr7hYZQOeRttkeWYTq5S
6,"Leave The Door Open","Bruno Mars",8211,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
7,Celebrity,IU,8172,https://open.spotify.com/track/5nCwjUUsmBuNZKn9Xu10Os
8,Dynamite,BTS,7357,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
9,"On The Ground",ROSÉ,7190,https://open.spotify.com/track/2pn8dNVSpYnAtlKFC8Q0DJ
10,"Hold On","Justin Bieber",6751,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
11,"MONTERO (Call Me By Your Name)","Lil Nas X",6730,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
12,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",6667,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
13,"We Ride","Brave Girls",6130,https://open.spotify.com/track/6kH1sKkvgN4Yikake52glq
14,"Heartbreak Anniversary",Giveon,5837,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
15,Coin,IU,5756,https://open.spotify.com/track/7CZRguMolNqIobnXxpV735
16,"Levitating (feat. DaBaby)","Dua Lipa",5654,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
17,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",5129,https://open.spotify.com/track/6fRxMU4LWwyaSSowV441IU
18,"Astronaut In The Ocean","Masked Wolf",4572,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
19,MELODY,"ASH ISLAND",4273,https://open.spotify.com/track/6JeleVHUHrdvgiFESE33ZU
20,"deja vu","Olivia Rodrigo",4269,https://open.spotify.com/track/61KpQadow081I2AsbeLcsb
21,"eight(Prod.&Feat. SUGA of BTS)",IU,4193,https://open.spotify.com/track/0pYacDCZuRhcrwGUA5nTBe
22,"Life Goes On",BTS,4163,https://open.spotify.com/track/249gnXrbfmV8NG6jTEMSwD
23,You,Regard,3960,https://open.spotify.com/track/2cc8Sw1OnCuA5bV8nqWqpE
24,"Lovesick Girls",BLACKPINK,3858,https://open.spotify.com/track/4Ws314Ylb27BVsvlZOy30C
25,"Ah puh",IU,3662,https://open.spotify.com/track/1IJxbEXfgiKuRx6oXMX87e
26,Up,"Cardi B",3603,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
27,RAPSTAR,"Polo G",3597,https://open.spotify.com/track/43PGPuHIlVOc04jrZVh9L6
28,Anyone,"Justin Bieber",3521,https://open.spotify.com/track/2WnAKZefdRHxtBEkRjFOHC
29,Blueming,IU,3484,https://open.spotify.com/track/4Dr2hJ3EnVh2Aaot6fRwDO
30,"Blinding Lights","The Weeknd",3439,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
31,Timeless,"SG Wannabe",3352,https://open.spotify.com/track/5nfb7IPrj9awskmLFSykWr
