,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"MONTERO (Call Me By Your Name)","Lil Nas X",8610,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
2,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",5682,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
3,"Astronaut In The Ocean","Masked Wolf",5652,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
4,"Kiss Me More (feat. SZA)","Doja Cat",5589,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
5,"Vaikai Po Lelijom",Bardachiokas,4910,https://open.spotify.com/track/7bqIGTUk7DV2YLHkra8F0o
6,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,4602,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
7,"Levitating (feat. DaBaby)","Dua Lipa",4506,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
8,"The Business",Tiësto,4449,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
9,"Leave The Door Open","Bruno Mars",3981,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
10,"Save Your Tears","The Weeknd",3885,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
11,"Your Love (9PM)",ATB,3862,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
12,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",3829,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
13,"Patogu ir Smagu","OG Version",3707,https://open.spotify.com/track/5OjNp0fejcQP97YdWPNVgg
14,RAPSTAR,"Polo G",3613,https://open.spotify.com/track/43PGPuHIlVOc04jrZVh9L6
15,"Heat Waves","Glass Animals",3483,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
16,telepatía,"Kali Uchis",3441,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
17,Streets,"Doja Cat",3262,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
18,"Blinding Lights","The Weeknd",3207,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
19,Runaway,AURORA,3128,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6
20,"Paradise (feat. Dermot Kennedy)",MEDUZA,3040,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
21,"deja vu","Olivia Rodrigo",2968,https://open.spotify.com/track/61KpQadow081I2AsbeLcsb
22,"Mėlyna Mėlyna","Sisters On Wire",2926,https://open.spotify.com/track/6n8I3K81Zfb54V7M96qwzm
23,"Patogu ir Smagu","7th Block",2877,https://open.spotify.com/track/30VaEPAdh6zaV8DjeFoFB4
24,"Goosebumps - Remix","Travis Scott",2678,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
25,"drivers license","Olivia Rodrigo",2674,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
26,Stabiliau,"OG Version",2610,https://open.spotify.com/track/17bZxSmRjn2HF3EX4jHcob
27,"Watermelon Sugar","Harry Styles",2589,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
28,Arcade,"Duncan Laurence",2535,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
29,Up,"Cardi B",2511,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
30,"Heartbreak Anniversary",Giveon,2508,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
31,Discoteque,"THE ROOP",2484,https://open.spotify.com/track/7dMOzsTZOUtOF7W5kLN0gf
32,"NIEKAM NESAKYK","OG Version",2405,https://open.spotify.com/track/5Uql8HVRaJP7ciV5lEz6DB
33,BED,"Joel Corry",2403,https://open.spotify.com/track/0siYMEsGrzzzlWLXK5zJfS
34,"Paskambink Man","Saulės Kliošas",2391,https://open.spotify.com/track/25xDvdW2KVCPaC7kCgVNQ3
35,"Head & Heart (feat. MNEK)","Joel Corry",2365,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
36,"Užmerk Man Akis","Jessica Shy",2358,https://open.spotify.com/track/1wCDWAJfieI0PZ9Z6jngw3
37,"Sweater Weather","The Neighbourhood",2274,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
38,"Hold On","Justin Bieber",2195,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
39,"WITHOUT YOU","The Kid LAROI",2093,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
40,"Taip Jau Gavosi","Sisters On Wire",2048,https://open.spotify.com/track/6lBIEqVATQY9RbEHl0uHCr
41,Freaks,"Surf Curse",2013,https://open.spotify.com/track/0HUTL8i4y4MiGCPId7M7wb
42,Rami,"Justinas Jarutis",1983,https://open.spotify.com/track/6p3kDqESgqdEuOUrPZLRJj
43,"We're Good","Dua Lipa",1977,https://open.spotify.com/track/1diS6nkxMQc3wwC4G1j0bh
44,"My Head & My Heart","Ava Max",1962,https://open.spotify.com/track/1KixkQVDUHggZMU9dUobgm
45,"Follow You","Imagine Dragons",1957,https://open.spotify.com/track/7FdUvDkaE24o3FPIWTvzv2
46,"Roses - Imanbek Remix","SAINt JHN",1942,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
47,"Tu Palauk","Justinas Jarutis",1925,https://open.spotify.com/track/2c5eTTdV570NOpoJ7CMAnw
48,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",1884,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
49,"Tik Tok",Sel,1876,https://open.spotify.com/track/6vbbR3jddnbgawiDY5LCmv
50,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",1826,https://open.spotify.com/track/6fRxMU4LWwyaSSowV441IU
51,"Mood (feat. iann dior)",24kGoldn,1825,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
52,You,Regard,1801,https://open.spotify.com/track/2cc8Sw1OnCuA5bV8nqWqpE
53,"TIESIOG NEGALIÚ","OG Version",1789,https://open.spotify.com/track/6evDsE1JN4CqOTuRgV3GqY
54,"Therefore I Am","Billie Eilish",1786,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha
55,"Best Friend (feat. Doja Cat)",Saweetie,1780,https://open.spotify.com/track/20BOju91NaEFK5Py4VJ2pp
56,"Cover Me In Sunshine",P!nk,1756,https://open.spotify.com/track/6Tio0ZoDeSQnI7EBAqWer2
57,Savęs,"Justinas Jarutis",1750,https://open.spotify.com/track/0R6ikR6rBn1x5a80dkXfLN
58,"Daddy Issues","The Neighbourhood",1697,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
59,Skrendu,Sel,1691,https://open.spotify.com/track/4nBnPP6dqA4gAyItYBGG5e
60,"Calling My Phone","Lil Tjay",1689,https://open.spotify.com/track/3J8EOeKLTLXORtWPpOU5bE
61,"Don't Start Now","Dua Lipa",1679,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
62,Protestas,"OG Version",1671,https://open.spotify.com/track/6xUYK6y0LUIgK1sJjB6Gci
63,"Cupid's Chokehold / Breakfast in America","Gym Class Heroes",1636,https://open.spotify.com/track/2Lhdl74nwwVGOE2Gv35QuK
64,"Wellerman - Sea Shanty / 220 KID x Billen Ted Remix","Nathan Evans",1629,https://open.spotify.com/track/3iw6V4LH7yPj1ESORX9RIN
65,Tavęs,"Justinas Jarutis",1624,https://open.spotify.com/track/442x4Lc7hdQD2gZoNdy7eW
66,HOLIDAY,"Lil Nas X",1615,https://open.spotify.com/track/6zFMeegAMYQo0mt8rXtrli
67,YES,"OG Version",1609,https://open.spotify.com/track/3SzwwAXlgx8CBinQpVf63F
68,"Wasted Love (feat. Lagique)",Ofenbach,1605,https://open.spotify.com/track/2pPO9YecZimmuVQfIzfV6U
69,"KAS IEŠKOJO","OG Version",1549,https://open.spotify.com/track/4B13sgCtwB50n6u1cloCFI
70,"Pressure (feat. Tove Lo)","Martin Garrix",1530,https://open.spotify.com/track/4ga4WvRNhMsIL38pkBbnIN
71,Golden,"Harry Styles",1496,https://open.spotify.com/track/45S5WTQEGOB1VHr1Q4FuPl
72,"Good Days",SZA,1496,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
73,"Another Love","Tom Odell",1457,https://open.spotify.com/track/7jtQIBanIiJOMS6RyCx6jZ
74,"Breaking Me",Topic,1443,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
75,Rasputin,Majestic,1437,https://open.spotify.com/track/0b18g3G5spr4ZCkz7Y6Q0Q
76,"Head Shoulders Knees & Toes (feat. Norma Jean Martine)",Ofenbach,1426,https://open.spotify.com/track/6i7zAdNhzUN2k1HcrBxPHG
77,Rožė,"Jessica Shy",1418,https://open.spotify.com/track/4F2JsHduN1Ow8CkyxsnLh1
78,"Slumber Party (feat. Princess Nokia)",Ashnikko,1415,https://open.spotify.com/track/11ZulcYY4lowvcQm4oe3VJ
79,Hayloft,"Mother Mother",1399,https://open.spotify.com/track/2kS6td1yvmpNgZTt1q5pQq
80,Savaip,"OG Version",1390,https://open.spotify.com/track/3QssxZWm3suKZ9djf2gSt5
81,"Why'd You Only Call Me When You're High?","Arctic Monkeys",1389,https://open.spotify.com/track/48q0vSHcJdhK3IiXH8C5WJ
82,"Prisoner (feat. Dua Lipa)","Miley Cyrus",1380,https://open.spotify.com/track/2Oycxb8QbPkpHTo8ZrmG0B
83,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,1373,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
84,Hypnotized,"Purple Disco Machine",1370,https://open.spotify.com/track/0vWUhCPxpJOJR5urYbZypB
85,"Do I Wanna Know?","Arctic Monkeys",1367,https://open.spotify.com/track/3rq5w4bQGigXOfdN30ATJt
86,"Shy Away","Twenty One Pilots",1366,https://open.spotify.com/track/2z0IupRlVRlDN5r2IVqHyN
87,"Ride It",Regard,1341,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
88,"A Lyga",Angelou,1331,https://open.spotify.com/track/6kD8R4UEqxLjjnQzTEnmZg
89,Jealous,Eyedress,1278,https://open.spotify.com/track/5KbTBSGUvgDg75gIVhUaAW
90,17,"Donny Montell",1227,https://open.spotify.com/track/7Gpl4rvyOI9rVcOz0wjwAZ
91,"Adore You","Harry Styles",1219,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
92,"Star Shopping","Lil Peep",1210,https://open.spotify.com/track/30bqVoKjX479ab90a8Pafp
93,"Bubblegum Bitch",MARINA,1205,https://open.spotify.com/track/1yOL7ZiXGx5ULeLoktAUAg
94,"In Your Eyes","The Weeknd",1196,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
95,"Someone You Loved","Lewis Capaldi",1194,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
96,Alright,"Justinas Jarutis",1193,https://open.spotify.com/track/5ddoeTBSTvwXagU2gbx4ei
97,"Your New Boyfriend","Wilbur Soot",1189,https://open.spotify.com/track/4vLBnQtece15fFhqWxZvJP
98,Levitating,"Dua Lipa",1181,https://open.spotify.com/track/39LLxExYz6ewLAcYrzQQyP
99,Goosebumps,HVME,1181,https://open.spotify.com/track/20McUFi8KCIVdNDLrkTDuZ
100,"Dreams - 2004 Remaster","Fleetwood Mac",1178,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
101,"HIGHEST IN THE ROOM","Travis Scott",1176,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
102,"Take You Dancing","Jason Derulo",1162,https://open.spotify.com/track/59qrUpoplZxbIZxk6X0Bm3
103,"Solid (feat. Drake)","Young Stoner Life",1130,https://open.spotify.com/track/6rTInqW3YECMkQsBEHw4sd
104,positions,"Ariana Grande",1127,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
105,"Another One Bites The Dust - Remastered 2011",Queen,1112,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7
106,"On My Mind",Diplo,1102,https://open.spotify.com/track/54hA0ldJYyT1huGfSeOjdQ
107,"Talking to the Moon","Bruno Mars",1101,https://open.spotify.com/track/161DnLWsx1i3u1JT05lzqU
108,Lovefool,twocolors,1093,https://open.spotify.com/track/51Of5p3lKZeOg6itfs4og4
109,"Lose Control",MEDUZA,1092,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
110,Whoopty,CJ,1088,https://open.spotify.com/track/1t9WgS8FN0534tLBRwbaxO
111,HOMÈRIS,"OG Version",1085,https://open.spotify.com/track/1biZYKvwP9aQevsrSWgCBJ
112,"Medžiai Melagiai",Velvet,1082,https://open.spotify.com/track/4iOlmElSFqCiralOB6moor
113,"Met Him Last Night (feat. Ariana Grande)","Demi Lovato",1081,https://open.spotify.com/track/4yyX2Iu4xJjW9xMvBZKSBi
114,DÁKITI,"Bad Bunny",1079,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
115,"GIRL LIKE ME","Black Eyed Peas",1071,https://open.spotify.com/track/2vBET2pmrQqafaS6zIaYta
116,Paranoja,2Kvėpavimas,1068,https://open.spotify.com/track/4TdQa4FR8DBrI4yvDOnGMb
117,Atvirai,Furytto,1064,https://open.spotify.com/track/6n2rLkVOK5sTxhnLNDdXZC
118,"No Role Modelz","J. Cole",1058,https://open.spotify.com/track/62vpWI1CHwFy7tMIcSStl8
119,"you broke me first","Tate McRae",1058,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
120,"Gimme More","Britney Spears",1056,https://open.spotify.com/track/6ic8OlLUNEATToEFU3xmaH
121,"Dance Monkey","Tones And I",1047,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
122,"Marea (We’ve Lost Dancing)","Fred again..",1045,https://open.spotify.com/track/5Z8Dj3LtbyCMiwE86rhg2f
123,SugarCrash!,ElyOtto,1043,https://open.spotify.com/track/2ePtv8MlBO9nuuXABqAfEX
124,34+35,"Ariana Grande",1041,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
125,"The Real Slim Shady",Eminem,1037,https://open.spotify.com/track/3yfqSUWxFvZELEM4PmlwIR
126,"The Hills","The Weeknd",1036,https://open.spotify.com/track/7fBv7CLKzipRk6EC6TWHOB
127,"Burning Pile","Mother Mother",1034,https://open.spotify.com/track/0zMAvsQmaQ4DGsmXtKixpn
128,"What’s Next",Drake,1033,https://open.spotify.com/track/3aQem4jVGdhtg116TmJnHz
129,"Love Again (feat. Alida)",Alok,1029,https://open.spotify.com/track/63bWXWGcWnRQvdS8bJWdkB
130,"Sako Meile Gydo (Remix)",Bäsello,1029,https://open.spotify.com/track/0zhJ4ywlDUYsxzrftbZWhP
131,Fiel,"Los Legendarios",1028,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
132,Dynamite,BTS,1023,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
133,"bad guy","Billie Eilish",1017,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
134,"The Less I Know The Better","Tame Impala",1015,https://open.spotify.com/track/6K4t31amVTZDgR3sKmwUJJ
135,Maneater,"Nelly Furtado",1014,https://open.spotify.com/track/4wH4dJgrsxONID6KS2tDQM
136,Circles,"Post Malone",1012,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
137,"Take Me To Church",Hozier,1011,https://open.spotify.com/track/3dYD57lRAUcMHufyqn9GcI
138,"everything i wanted","Billie Eilish",1010,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
139,Gauja,"Flying Saucer Gang",1010,https://open.spotify.com/track/1gBfUpzgCGEcHF6HlsfP4Q
140,"The Box","Roddy Ricch",1008,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
141,goosebumps,"Travis Scott",1004,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
