Position,"Track Name",Artist,Streams,URL
1,"MONTERO (Call Me By Your Name)","Lil Nas X",5091,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
2,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",4286,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
3,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,3500,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
4,"Astronaut In The Ocean","Masked Wolf",3169,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
5,RAPSTAR,"Polo G",2585,https://open.spotify.com/track/43PGPuHIlVOc04jrZVh9L6
6,"The Business",Tiësto,2299,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
7,"Levitating (feat. DaBaby)","Dua Lipa",2021,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
8,"Kiss Me More (feat. SZA)","Doja Cat",2016,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
9,"Your Love (9PM)",ATB,2002,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
10,"Save Your Tears","The Weeknd",1975,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
