Position,"Track Name",Artist,Streams,URL
1,"MONTERO (Call Me By Your Name)","Lil Nas X",5988,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
2,"Astronaut In The Ocean","Masked Wolf",4520,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
3,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,3756,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
4,"Kiss Me More (feat. SZA)","Doja Cat",3323,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
5,RAPSTAR,"Polo G",3301,https://open.spotify.com/track/43PGPuHIlVOc04jrZVh9L6
6,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",3287,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
7,"Levitating (feat. DaBaby)","Dua Lipa",3195,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
8,"Heat Waves","Glass Animals",3127,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
9,"The Business",Tiësto,2964,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
10,Feels,Brainstorm,2692,https://open.spotify.com/track/1itcZGDVhq59n9RSNHIhp9
11,Runaway,AURORA,2681,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6
12,"Blinding Lights","The Weeknd",2410,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
13,Streets,"Doja Cat",2400,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
14,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",2377,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
15,"Sweater Weather","The Neighbourhood",2343,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
16,"Cover Me In Sunshine",P!nk,2323,https://open.spotify.com/track/6Tio0ZoDeSQnI7EBAqWer2
17,"Save Your Tears","The Weeknd",2244,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
18,"Leave The Door Open","Bruno Mars",2237,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
19,Arcade,"Duncan Laurence",2216,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
20,"drivers license","Olivia Rodrigo",2193,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
21,"deja vu","Olivia Rodrigo",2187,https://open.spotify.com/track/61KpQadow081I2AsbeLcsb
22,"Your Love (9PM)",ATB,2156,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
23,Up,"Cardi B",2014,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
24,"ТЫ ГОРИШЬ КАК ОГОНЬ","SLAVA MARLOW",1978,https://open.spotify.com/track/12Kknh5NqqAukiyevjDQkT
25,"Нету интереса",10AGE,1949,https://open.spotify.com/track/1nINIHobpPWexRP8ABH8bT
26,"Paradise (feat. Dermot Kennedy)",MEDUZA,1945,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
27,(Не)идеальна,"Egor Kreed",1938,https://open.spotify.com/track/4td0GwMmapEdpV2g5C2l9K
28,"WITHOUT YOU","The Kid LAROI",1920,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
29,"Goosebumps - Remix","Travis Scott",1892,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
30,telepatía,"Kali Uchis",1874,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
31,"Head & Heart (feat. MNEK)","Joel Corry",1872,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
32,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",1841,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
33,"Another Love","Tom Odell",1821,https://open.spotify.com/track/7jtQIBanIiJOMS6RyCx6jZ
34,"Mood (feat. iann dior)",24kGoldn,1816,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
35,Piedošana,"Prāta Vētra",1711,https://open.spotify.com/track/3FIOLubzv26R6ql1MJllu0
36,"Снова я напиваюсь","SLAVA MARLOW",1691,https://open.spotify.com/track/18t2lAzaHW2bJomYeyzrpy
37,"Roses - Imanbek Remix","SAINt JHN",1689,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
38,"Cristal & МОЁТ",MORGENSHTERN,1652,https://open.spotify.com/track/4KfmruShP5zOi9hYjM76e6
39,"Slumber Party (feat. Princess Nokia)",Ashnikko,1582,https://open.spotify.com/track/11ZulcYY4lowvcQm4oe3VJ
40,"Watermelon Sugar","Harry Styles",1540,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
41,"Новая волна","DJ Smash",1536,https://open.spotify.com/track/7rRzijIIKQ8GntJ8IUwUyY
42,"Heartbreak Anniversary",Giveon,1517,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
43,"Daddy Issues","The Neighbourhood",1512,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
44,"Cupid's Chokehold / Breakfast in America","Gym Class Heroes",1506,https://open.spotify.com/track/2Lhdl74nwwVGOE2Gv35QuK
45,"No Role Modelz","J. Cole",1465,https://open.spotify.com/track/62vpWI1CHwFy7tMIcSStl8
46,Патрон,"Miyagi & Andy Panda",1464,https://open.spotify.com/track/3uCth4TIWyeQDnj3YbAVQB
47,BED,"Joel Corry",1451,https://open.spotify.com/track/0siYMEsGrzzzlWLXK5zJfS
48,"Best Friend (feat. Doja Cat)",Saweetie,1449,https://open.spotify.com/track/20BOju91NaEFK5Py4VJ2pp
49,"Calling My Phone","Lil Tjay",1422,https://open.spotify.com/track/3J8EOeKLTLXORtWPpOU5bE
50,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,1394,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
51,"Hold On","Justin Bieber",1359,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
52,Whoopty,CJ,1357,https://open.spotify.com/track/1t9WgS8FN0534tLBRwbaxO
53,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",1326,https://open.spotify.com/track/6fRxMU4LWwyaSSowV441IU
54,"I Got Love","MiyaGi & Endspiel",1308,https://open.spotify.com/track/4vPOGPHcjxdHZ1caxiHiQh
55,"Draugs mans",$ourJ,1285,https://open.spotify.com/track/1FqmwkFnvYjX9ss46J426T
56,"My Head & My Heart","Ava Max",1284,https://open.spotify.com/track/1KixkQVDUHggZMU9dUobgm
57,"Star Shopping","Lil Peep",1273,https://open.spotify.com/track/30bqVoKjX479ab90a8Pafp
58,Riptide,"Vance Joy",1268,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm
59,"Therefore I Am","Billie Eilish",1243,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha
60,HOLIDAY,"Lil Nas X",1230,https://open.spotify.com/track/6zFMeegAMYQo0mt8rXtrli
61,Окей,"Tima Belorusskih",1225,https://open.spotify.com/track/3MPFuEXwjdrR7yKua2wrUL
62,Freaks,"Surf Curse",1212,https://open.spotify.com/track/0HUTL8i4y4MiGCPId7M7wb
63,Голос,"Egor Kreed",1202,https://open.spotify.com/track/1F243xppsThmJaxnBuBfMA
64,"Wellerman - Sea Shanty / 220 KID x Billen Ted Remix","Nathan Evans",1193,https://open.spotify.com/track/3iw6V4LH7yPj1ESORX9RIN
