Position,"Track Name",Artist,Streams,URL
1,"Nadi Canadi",Tagne,20988,https://open.spotify.com/track/14WP9aPMpre8L1u0RcRO5Q
2,Mghayer,ElGrandeToto,16258,https://open.spotify.com/track/5QhnCB5kD34sYkvHviU0yz
3,Lili,Plylist,15213,https://open.spotify.com/track/7jXw9LPDWtOJO4cycQ9Wh1
4,ALOHA!,ElGrandeToto,13898,https://open.spotify.com/track/22YGEzwGJwqoFKJ0URX1cl
5,"MONTERO (Call Me By Your Name)","Lil Nas X",12381,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
6,"7ali Ya 7ali",Inkonnu,9656,https://open.spotify.com/track/0e7rIlMjTs8DsDxrWb5cGo
7,"love nwantiti (feat. ElGrande Toto) - North African Remix",CKay,9509,https://open.spotify.com/track/1EYeZGTMCjV7uVey5fNWXM
8,"Thezz (feat. Small X)",ElGrandeToto,9355,https://open.spotify.com/track/42ZwLbocS9q28SQgrM9C8s
9,Tango,ElGrandeToto,8997,https://open.spotify.com/track/1ktSlQqcgod7b4amYARarW
10,"Obscurité (feat. Hamza)",ElGrandeToto,8789,https://open.spotify.com/track/2FkCxMgyjqvKwV0wqKb3vF
