Position,"Track Name",Artist,Streams,URL
1,"Botella Tras Botella","Gera MX",3139603,https://open.spotify.com/track/2MnLkFqY9Rpg9s3Zv6ZJdK
2,Fiel,"Los Legendarios",870156,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
3,DÁKITI,"Bad Bunny",634762,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
4,Am,"Nio Garcia",601394,https://open.spotify.com/track/2dNhNlpZAtV4lwAFW45LIv
5,telepatía,"Kali Uchis",573811,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
6,Bandido,"Myke Towers",525606,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
7,"Aquí Abajo","Christian Nodal",455172,https://open.spotify.com/track/16ONd70tvWAaLIc6hcLzaG
8,"LA NOCHE DE ANOCHE","Bad Bunny",445239,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
9,BICHOTA,"KAROL G",427984,https://open.spotify.com/track/1WvrDdouh6C51In1SdATbq
10,"Hasta Que Me Olvides","Luis Miguel",421660,https://open.spotify.com/track/6vPAmoERUMRoTZaCCSWQ12
