,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Leave The Door Open","Bruno Mars",62954,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
2,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",59722,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
3,"Heartbreak Anniversary",Giveon,56623,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
4,"Kiss Me More (feat. SZA)","Doja Cat",42486,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
5,"drivers license","Olivia Rodrigo",38822,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
6,"MONTERO (Call Me By Your Name)","Lil Nas X",37120,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
7,"At My Worst","Pink Sweat$",37058,https://open.spotify.com/track/2MJz8BxxMsERULatmBikDH
8,"deja vu","Olivia Rodrigo",36738,https://open.spotify.com/track/61KpQadow081I2AsbeLcsb
9,"On The Ground",ROSÉ,35267,https://open.spotify.com/track/2pn8dNVSpYnAtlKFC8Q0DJ
10,Arcade,"Duncan Laurence",31961,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
11,"Astronaut In The Ocean","Masked Wolf",31232,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
12,"Hold On","Justin Bieber",30129,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
13,"Levitating (feat. DaBaby)","Dua Lipa",29558,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
14,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",28661,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
15,Gone,ROSÉ,28016,https://open.spotify.com/track/2dHoVW9AxJVSRebPRyV2aA
16,"Save Your Tears","The Weeknd",25830,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
17,"After School",Weeekly,25478,https://open.spotify.com/track/52CBUrIdyf8tbZaUY9iawE
18,"Love Is Gone - Acoustic",SLANDER,25166,https://open.spotify.com/track/7F1CiKqrY44kh5cDqwHOnx
19,"Life Goes On",BTS,22127,https://open.spotify.com/track/249gnXrbfmV8NG6jTEMSwD
20,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",21834,https://open.spotify.com/track/6fRxMU4LWwyaSSowV441IU
21,Heather,"Conan Gray",21426,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
22,telepatía,"Kali Uchis",20236,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
23,"Talking to the Moon","Bruno Mars",19350,https://open.spotify.com/track/161DnLWsx1i3u1JT05lzqU
24,"you broke me first","Tate McRae",19318,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
25,"Someone You Loved","Lewis Capaldi",18262,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
26,positions,"Ariana Grande",17805,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
27,Dynamite,BTS,17540,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
28,Runaway,AURORA,17061,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6
29,LOTUS,ForceParkBois,16929,https://open.spotify.com/track/4CdSVeRvrteDBAyHD4Cruc
30,"Film out",BTS,16529,https://open.spotify.com/track/3UHPGOkUcE4hE7sqBF4Snt
31,"this is how you fall in love","Jeremy Zucker",16451,https://open.spotify.com/track/1aEsTgCsv8nOjEgyEoRCpS
32,Grey,"Why Don't We",16112,https://open.spotify.com/track/2J4DpqJCIuuM9WjtWHbjvd
33,"Good Days",SZA,16051,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
34,34+35,"Ariana Grande",15037,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
35,"Before You Go","Lewis Capaldi",14632,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
36,"Lonely (with benny blanco)","Justin Bieber",14474,https://open.spotify.com/track/3S8jK1mGzQi24ilFb45DAZ
37,Mimpi,"Haqiem Rusli",14437,https://open.spotify.com/track/7ymW0G0fwclFDcik2TnUKP
38,"Cloud 9","Beach Bunny",14070,https://open.spotify.com/track/6vFsBXYczYsP0H3lgunZOm
39,"Mood (feat. iann dior)",24kGoldn,13985,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
40,Purnama,"Naim Daniel",13780,https://open.spotify.com/track/6uwnCniz3o97vni5DCMXdT
41,Weak,"Larissa Lambert",13582,https://open.spotify.com/track/07MW63ok3ptSKwaTWEN0o8
42,"Mungkin Hari Ini Esok Atau Nanti",Anneth,13397,https://open.spotify.com/track/7n5nvulc1oW1ErpeTrNezI
43,"Stuck with U (with Justin Bieber)","Ariana Grande",12950,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
44,Sofia,Clairo,12827,https://open.spotify.com/track/7B3z0ySL9Rr0XvZEAjWZzM
45,Anyone,"Justin Bieber",12811,https://open.spotify.com/track/2WnAKZefdRHxtBEkRjFOHC
46,Memories,"Maroon 5",12687,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
47,You,Regard,12473,https://open.spotify.com/track/2cc8Sw1OnCuA5bV8nqWqpE
48,Semalam,"Aina Abdul",12378,https://open.spotify.com/track/40xKUqawGB6TCTMgKDAIiG
49,"Mr. Perfectly Fine (Taylor’s Version) (From The Vault)","Taylor Swift",12278,https://open.spotify.com/track/2CYVETnhM9aytqrazYYwrK
50,Gila,"Kaka Azraff",12081,https://open.spotify.com/track/43qQhFkhKfHIB3I9gRXiJN
51,"It Will Rain","Bruno Mars",11887,https://open.spotify.com/track/4rMNgxEwGWoPHIUcvB5BrB
52,Dandelions,"Ruth B.",11841,https://open.spotify.com/track/2eAvDnpXP5W0cVtiI0PUxV
53,"Blinding Lights","The Weeknd",11741,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
54,"We're Good","Dua Lipa",11587,https://open.spotify.com/track/1diS6nkxMQc3wwC4G1j0bh
55,"How You Like That",BLACKPINK,11492,https://open.spotify.com/track/4SFknyjLcyTLJFPKD2m96o
56,LMLY,"Jackson Wang",11373,https://open.spotify.com/track/3Jbpo2slhW2bbVneiJnC9G
57,"Say You Won't Let Go","James Arthur",11221,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
58,"Monster (Shawn Mendes & Justin Bieber)","Shawn Mendes",11190,https://open.spotify.com/track/1HbA4N1MiOsPthALesGFR1
59,"Lovesick Girls",BLACKPINK,11137,https://open.spotify.com/track/4Ws314Ylb27BVsvlZOy30C
60,"Met Him Last Night (feat. Ariana Grande)","Demi Lovato",10885,https://open.spotify.com/track/4yyX2Iu4xJjW9xMvBZKSBi
61,"Suasana Di Hari Raya","Anuar & Ellina",10690,https://open.spotify.com/track/1IMsCuONQDaYYrgt4ehMbI
62,LILAC,IU,10679,https://open.spotify.com/track/5xrtzzzikpG3BLbo4q1Yul
63,"Follow You","Imagine Dragons",10673,https://open.spotify.com/track/7FdUvDkaE24o3FPIWTvzv2
64,Teman,"Iman Troye",10666,https://open.spotify.com/track/7GkU7gkhmocy1lVFSkoi95
65,RAPSTAR,"Polo G",10655,https://open.spotify.com/track/43PGPuHIlVOc04jrZVh9L6
66,Streets,"Doja Cat",10612,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
67,"Aku Tanpa CintaMu 2021","Faizal Tahir",10469,https://open.spotify.com/track/4Cs0QaqkLhjXTDUl5jbZc3
68,"As I Am (feat. Khalid)","Justin Bieber",10443,https://open.spotify.com/track/6F2r4HgpJnvKDmkN6JEN6J
69,Celebrity,IU,10402,https://open.spotify.com/track/5nCwjUUsmBuNZKn9Xu10Os
70,"Just the Way You Are","Bruno Mars",10262,https://open.spotify.com/track/7BqBn9nzAq8spo5e7cZ0dJ
71,"If the World Was Ending - feat. Julia Michaels","JP Saxe",9936,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
72,"Like I Want You",Giveon,9825,https://open.spotify.com/track/6qBFSepqLCuh5tehehc1bd
73,"Boy With Luv (feat. Halsey)",BTS,9766,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
74,Up,"Cardi B",9763,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
75,"WITHOUT YOU","The Kid LAROI",9712,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
76,"lovely (with Khalid)","Billie Eilish",9695,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
77,"I Like Me Better",Lauv,9562,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
78,"It's You","Ali Gatie",9327,https://open.spotify.com/track/5DqdesEfbRyOlSS3Tf6c29
79,Pulang,K-Clique,9250,https://open.spotify.com/track/4XIs2mOTfd5pzTw5zlCbJc
80,"Be Alright","Dean Lewis",9116,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy
81,"When I Was Your Man","Bruno Mars",9090,https://open.spotify.com/track/0B7wvvmu9EISAwZnOpjhNI
82,Gundah,"Ernie Zakri",8984,https://open.spotify.com/track/29KbW8VlYm7z1gbQo4Ysar
83,Señorita,"Shawn Mendes",8892,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
84,"Best Friend (feat. Doja Cat)",Saweetie,8863,https://open.spotify.com/track/20BOju91NaEFK5Py4VJ2pp
85,"Satu Hari Di Hari Raya","M. Nasir",8784,https://open.spotify.com/track/10Tjxc2yoqT9BPpezRDRLh
86,"Be Kind (with Halsey)",Marshmello,8762,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A
87,"beside you",keshi,8760,https://open.spotify.com/track/1Fhb9iJPufNMZSwupsXiRe
88,"Sesuci Lebaran","Dato' Sri Siti Nurhaliza",8630,https://open.spotify.com/track/20gz9dYTVbtnDUFV2YmJC0
89,"Holy (feat. Chance The Rapper)","Justin Bieber",8607,https://open.spotify.com/track/6Xgq7MvZiet0hVi3KaDSgJ
90,"Watermelon Sugar","Harry Styles",8603,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
91,Levitating,"Dua Lipa",8599,https://open.spotify.com/track/39LLxExYz6ewLAcYrzQQyP
92,"Don't Start Now","Dua Lipa",8593,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
93,"Selamat Hari Raya","Puan Sri Saloma",8587,https://open.spotify.com/track/7rGfXJN92ttB0FX0FWtHGR
94,"Without Me",Halsey,8522,https://open.spotify.com/track/6FZDfxM3a3UCqtzo5pxSLZ
95,Perfect,"Ed Sheeran",8495,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
96,"Train Wreck","James Arthur",8454,https://open.spotify.com/track/55Am8neGJkdj2ADaM3aw5H
97,"Pretty Savage",BLACKPINK,8437,https://open.spotify.com/track/1XnpzbOGptRwfJhZgLbmSr
98,comethru,"Jeremy Zucker",8403,https://open.spotify.com/track/18uwL0vNUanqZH0ro2QcOP
99,Tomboy,"Destiny Rogers",8344,https://open.spotify.com/track/5Ti3fqGTfjUsSdylFNy0Ng
100,Circles,"Post Malone",8323,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
101,"10,000 Hours (with Justin Bieber)","Dan + Shay",8259,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
102,2002,Anne-Marie,8146,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
103,"Dancing With Your Ghost","Sasha Sloan",8107,https://open.spotify.com/track/1TQXIltqoZ5XXyfCbAeSQQ
104,"Fallin’ (Adrenaline)","Why Don't We",8030,https://open.spotify.com/track/6nfqlFOMiWthaOEa53uU0v
105,"death bed (coffee for your head)",Powfu,8008,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
106,"Kaikai Kitan",Eve,8006,https://open.spotify.com/track/6y4GYuZszeXNOXuBFsJlos
107,"Ice Cream (with Selena Gomez)",BLACKPINK,8005,https://open.spotify.com/track/4JUPEh2DVSXFGExu4Uxevz
108,"Selamat Berhari Raya","Rahimah Rahim",7955,https://open.spotify.com/track/74SXA9SsaHeOXyg3NxRymf
109,Falling,"Harry Styles",7916,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
110,"Intentions (feat. Quavo)","Justin Bieber",7912,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
111,"Goosebumps - Remix","Travis Scott",7905,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
112,"You Are The Reason","Calum Scott",7884,https://open.spotify.com/track/69vToJ9BMbbLlFZo7k7A7B
113,Shallow,"Lady Gaga",7849,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
114,"Best Part (feat. Daniel Caesar)",H.E.R.,7847,https://open.spotify.com/track/4OBZT9EnhYIV17t4pGw7ig
115,"Menjelang Hari Raya","Dato' DJ Dave",7770,https://open.spotify.com/track/5VKesrhjbKQNfsI4NIxZCi
116,"Adakah Ini Mimpi",Reedzwann,7731,https://open.spotify.com/track/2CubeTRgT6wS31CEm2l6Gl
117,"Seloka Hari Raya","Uji Rashid",7654,https://open.spotify.com/track/1hqDHz3JOIMSVxW9pXoRiV
118,"Suasana Riang Di Hari Raya",Junainah,7583,https://open.spotify.com/track/7uvKupP8xo3uq17ObZvbZz
119,"Calling My Phone","Lil Tjay",7454,https://open.spotify.com/track/3J8EOeKLTLXORtWPpOU5bE
120,"Let Me Down Slowly","Alec Benjamin",7450,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
121,"Balik Kampung","Dato' Sudirman",7377,https://open.spotify.com/track/5GIyCpbdhQ5QC17jNUbWbn
122,"Pulang Di Hari Raya",Noorkumalasari,7375,https://open.spotify.com/track/63YwwfIXQr1FQRpPZXMkEk
123,Sakit,Zynakal,7288,https://open.spotify.com/track/2rAJy2WSlQOINaWi0kydkr
124,"SLOW DANCING IN THE DARK",Joji,7283,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d
125,"I CAN'T STOP ME",TWICE,7279,https://open.spotify.com/track/3apeXzypBMnUfYcZYNX6DH
126,"A Thousand Years","Christina Perri",7256,https://open.spotify.com/track/6lanRgr6wXibZr8KgzXxBl
127,Rollin',"Brave Girls",7201,https://open.spotify.com/track/2VJOpzv5sBpstCX9venJr5
128,Psycho,"Red Velvet",7193,https://open.spotify.com/track/3CYH422oy1cZNoo0GTG1TK
129,I.F.L.Y.,Bazzi,7174,https://open.spotify.com/track/4a6q8CR2hzLk2plDkSxkfD
130,"Night Changes","One Direction",7121,https://open.spotify.com/track/5O2P9iiztwhomNh8xkR9lJ
131,"Bedroom (feat. Anne-Marie)","JJ Lin",7105,https://open.spotify.com/track/1U6aNzlYxoCGGm7K6Nu9EE
132,CIAO,"Joe Flizzow",7074,https://open.spotify.com/track/19fRMLJnGAhrJ3IS5mvegr
133,"Sweater Weather","The Neighbourhood",7053,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
134,"Too Good At Goodbyes","Sam Smith",7046,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
135,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",6987,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
136,飞鸟和蝉,"Ren Ran",6951,https://open.spotify.com/track/0O7O4sssbFxoNoB4QRGra1
137,Maniac,"Conan Gray",6932,https://open.spotify.com/track/6KfoDhO4XUWSbnyKjNp9c4
138,Wonder,"Shawn Mendes",6927,https://open.spotify.com/track/6ZuahEctZD6w75peme58hm
139,"motive (with Doja Cat)","Ariana Grande",6915,https://open.spotify.com/track/5GkQIP5mWPi4KZLLXeuFTT
