,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Botella Tras Botella","Gera MX",15029,https://open.spotify.com/track/2MnLkFqY9Rpg9s3Zv6ZJdK
2,Fiel,"Los Legendarios",9034,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
3,DÁKITI,"Bad Bunny",8344,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
4,Bandido,"Myke Towers",6604,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
5,"LA NOCHE DE ANOCHE","Bad Bunny",6226,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
6,"EL MAKINON","KAROL G",5841,https://open.spotify.com/track/2FSGUA0gFgGeQdprjtGM2M
7,"Ella No Es Tuya - Remix","Rochy RD",4508,https://open.spotify.com/track/5YYW3yRktprLRr47WK219Y
8,"MONTERO (Call Me By Your Name)","Lil Nas X",4320,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
9,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",4303,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
10,"Pareja Del Año","Sebastian Yatra",4300,https://open.spotify.com/track/2rCbl9naJYhaxjLsfx88uM
11,"TE MUDASTE","Bad Bunny",4293,https://open.spotify.com/track/5RubKOuDoPn5Kj5TLVxSxY
12,"Hecha Pa' Mi",Boza,4168,https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx
13,"Aquí Abajo","Christian Nodal",4135,https://open.spotify.com/track/16ONd70tvWAaLIc6hcLzaG
14,Reloj,"Rauw Alejandro",4052,https://open.spotify.com/track/4loQgPwJHocL3dFwLfjb1J
15,Am,"Nio Garcia",4045,https://open.spotify.com/track/2dNhNlpZAtV4lwAFW45LIv
16,"No Te Enamores - Remix",Milly,4004,https://open.spotify.com/track/2mM3gZ0BbPwPPMelbA8vgt
17,911,Sech,3977,https://open.spotify.com/track/2p2Q23iaaPSEa1tI6TsCVX
18,"BOOKER T","Bad Bunny",3953,https://open.spotify.com/track/26w9NTiE9NGjW1ZvIOd1So
19,telepatía,"Kali Uchis",3877,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
20,Hawái,Maluma,3802,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
21,"Chica Ideal","Sebastian Yatra",3741,https://open.spotify.com/track/21N4Buj4xsyLb218lYle61
22,"La Tóxica",Farruko,3562,https://open.spotify.com/track/15OjBeqNX3bShsGYQbteRv
23,"La Curiosidad","Jay Wheeler",3452,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
24,"Mi Niña",Wisin,3361,https://open.spotify.com/track/2bgcUk2A3jjKbCJ7KPquTi
25,"Pa' Olvidarme De Ella","Piso 21",3356,https://open.spotify.com/track/3lR4O0vtkhCAvVEUEWUL0S
26,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",3277,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
27,"La Nota","Manuel Turizo",3267,https://open.spotify.com/track/5VzNsUnLmYcRfRfxpQsusa
28,"LA CANCIÓN","J Balvin",3197,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
29,BICHOTA,"KAROL G",3168,https://open.spotify.com/track/1WvrDdouh6C51In1SdATbq
30,LOCATION,"KAROL G",3117,https://open.spotify.com/track/478g4LSkyMB1PMkVOVmIaE
31,"CÓMO SE SIENTE - Remix","Jhay Cortez",2941,https://open.spotify.com/track/2tFwfmceQa1Y6nRPhYbEtC
