Position,"Track Name",Artist,Streams,URL
1,"Den fineste Chevy'n (feat. Maria Mena)","Halva Priset",129919,https://open.spotify.com/track/2Y7npn076wSZJgH8HVr2B2
2,"MONTERO (Call Me By Your Name)","Lil Nas X",115325,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
3,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",107361,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
4,"Wellerman - Sea Shanty / 220 KID x Billen Ted Remix","Nathan Evans",90018,https://open.spotify.com/track/3iw6V4LH7yPj1ESORX9RIN
5,Afterski,Soppgirobygget,84362,https://open.spotify.com/track/0UQvSOE0CgQ1gIHSfo73RS
6,"Kiss Me More (feat. SZA)","Doja Cat",78582,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
7,RAPSTAR,"Polo G",78374,https://open.spotify.com/track/43PGPuHIlVOc04jrZVh9L6
8,"Sju Fjell","El Papi",77773,https://open.spotify.com/track/04k0QThdHEp7kg3FpXVh0Q
9,"Gone Are The Days (feat. James Gillespie)",Kygo,74422,https://open.spotify.com/track/4olrSI30e4RN11Cz2SQgEv
10,Bøgda,Hagle,67950,https://open.spotify.com/track/1MpCvOlkM8VbH50AL7mAUm
