Position,"Track Name",Artist,Streams,URL
1,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",46592,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
2,"MONTERO (Call Me By Your Name)","Lil Nas X",40157,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
3,"Kiss Me More (feat. SZA)","Doja Cat",38742,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
4,"Heartbreak Anniversary",Giveon,38286,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
5,"Leave The Door Open","Bruno Mars",35493,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
6,"All She Wrote",SIX60,35487,https://open.spotify.com/track/2yI8xyHgyhCXyw0Vq98twb
7,RAPSTAR,"Polo G",34281,https://open.spotify.com/track/43PGPuHIlVOc04jrZVh9L6
8,"Astronaut In The Ocean","Masked Wolf",30440,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
9,"Heat Waves","Glass Animals",28715,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
10,"deja vu","Olivia Rodrigo",26740,https://open.spotify.com/track/61KpQadow081I2AsbeLcsb
11,Sundown,SIX60,26655,https://open.spotify.com/track/4WEAdAPGiyI6LIMlHGfhdZ
12,"Levitating (feat. DaBaby)","Dua Lipa",25720,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
13,"Why Oh Why",L.A.B.,23702,https://open.spotify.com/track/3TaGtHDHWQ7TfPpX0eJrtB
14,"In the Air",L.A.B.,22899,https://open.spotify.com/track/5v7h5vQgCJKZT5vB3I9s3o
15,"drivers license","Olivia Rodrigo",22449,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
16,"Fade Away",SIX60,21617,https://open.spotify.com/track/57fS5tDkIIsEhoBb8IcYF1
17,Controller,L.A.B.,21366,https://open.spotify.com/track/2DkxWMmdvS3f5hbz4UGQLO
18,"Don’t Forget Your Roots",SIX60,20755,https://open.spotify.com/track/5mUiad5pDU1wFvIbtKgJKB
19,"Catching Feelings (feat. SIX60)","Drax Project",20596,https://open.spotify.com/track/0gCNs3jCCDhObAK0MRghtv
20,"Dreams - 2004 Remaster","Fleetwood Mac",20210,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
21,"Long Gone",SIX60,20113,https://open.spotify.com/track/4PFAQAuJ9dEgamYO88Zp9P
22,Bang!,AJR,19814,https://open.spotify.com/track/5FQPpxOXsvkMN6v18gtpwY
23,"The Greatest",SIX60,19342,https://open.spotify.com/track/2OmbLtdHJn3u9haCQXODl6
24,Up,"Cardi B",19323,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
25,"WITHOUT YOU","The Kid LAROI",18810,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
26,"Hold On","Justin Bieber",18519,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
27,"Not My Neighbour","Niko Walters",18415,https://open.spotify.com/track/2Tf3a4gkBbrN2UbMNbwtdQ
28,"The Business",Tiësto,17824,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
29,"Help Me Out",Kings,17319,https://open.spotify.com/track/1tkkNjRgaKPO9OnE3jC6UP
30,"Good Days",SZA,17210,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
31,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",16828,https://open.spotify.com/track/6fRxMU4LWwyaSSowV441IU
32,Streets,"Doja Cat",16728,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
33,"Calling My Phone","Lil Tjay",16602,https://open.spotify.com/track/3J8EOeKLTLXORtWPpOU5bE
34,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,15900,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
35,Body,"Russ Millions",15369,https://open.spotify.com/track/3CVb6hkMrlF7eHhXi5B3PZ
36,"Please Don't Go",SIX60,14962,https://open.spotify.com/track/5caY6lIFeI2du0TpgCSRP1
37,"Blinding Lights","The Weeknd",14900,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
38,Raining,SIX60,14866,https://open.spotify.com/track/2FUFFJNRIr0XnWWlL3zfYb
39,"Mood (feat. iann dior)",24kGoldn,14457,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
40,Anyone,"Justin Bieber",14327,https://open.spotify.com/track/2WnAKZefdRHxtBEkRjFOHC
41,"Head & Heart (feat. MNEK)","Joel Corry",14019,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
42,"Someone You Loved","Lewis Capaldi",13749,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
43,Vibes,SIX60,13662,https://open.spotify.com/track/5EKITWJXROxWdc0bcRrMLy
44,"We're Good","Dua Lipa",13616,https://open.spotify.com/track/1diS6nkxMQc3wwC4G1j0bh
45,"Talking to the Moon","Bruno Mars",13300,https://open.spotify.com/track/161DnLWsx1i3u1JT05lzqU
46,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",13143,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
47,"Save Your Tears","The Weeknd",12929,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
48,"Goosebumps - Remix","Travis Scott",12754,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
49,"Cover Me In Sunshine",P!nk,12753,https://open.spotify.com/track/6Tio0ZoDeSQnI7EBAqWer2
50,"Holy (feat. Chance The Rapper)","Justin Bieber",12681,https://open.spotify.com/track/6Xgq7MvZiet0hVi3KaDSgJ
51,Arcade,"Duncan Laurence",12484,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
52,"Hold On",Netsky,12266,https://open.spotify.com/track/0ZE5BVCy5xVNsI4MaQRzUn
53,"Watermelon Sugar","Harry Styles",12242,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
54,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",12105,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
55,"Don’t Give It Up",SIX60,11758,https://open.spotify.com/track/5YOqfElMeshCt5oRk4yAgx
56,Runaway,AURORA,11326,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6
57,"Firefly (with Fetty Wap & AACACIA)","Drax Project",11140,https://open.spotify.com/track/0uP06c5w0SBKgIon8VkdPo
58,"What Other People Say","Sam Fischer",11016,https://open.spotify.com/track/2h9TDNEXRhcDIV3fsoEVq9
59,"Go Your Own Way - 2004 Remaster","Fleetwood Mac",11005,https://open.spotify.com/track/07GvNcU1WdyZJq3XxP0kZa
60,"Never Enough",SIX60,10937,https://open.spotify.com/track/0irgkspMpvzCCg9LSevt9i
61,"Best Friend (feat. Doja Cat)",Saweetie,10840,https://open.spotify.com/track/20BOju91NaEFK5Py4VJ2pp
62,"What You Know Bout Love","Pop Smoke",10748,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
63,"WAP (feat. Megan Thee Stallion)","Cardi B",10735,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
64,"Savage Love (Laxed - Siren Beat)","Jawsh 685",10594,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
65,"Dance Monkey","Tones And I",10524,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
66,"Only To Be",SIX60,10312,https://open.spotify.com/track/1yaFHifoHlN5MEtL5YEgA4
67,"Over It","Drax Project",10305,https://open.spotify.com/track/1I42QMyWviQKegiQRGim0S
68,"Martin & Gina","Polo G",10126,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ
69,"Slice of Heaven","Dave Dobbyn",10044,https://open.spotify.com/track/4qVIORNqKvlFvE4HMgnvVC
70,"White Lines",SIX60,10032,https://open.spotify.com/track/5H2avIx356wQpgG7HnPEHM
71,"Lasting Lover",Sigala,9916,https://open.spotify.com/track/0DmAvNCAK08oCi7miSZUIY
72,Shallow,"Lady Gaga",9879,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
73,Special,SIX60,9872,https://open.spotify.com/track/0IM7W9Uj3tDepqO2Ey042W
74,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,9785,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
75,Afterglow,"Ed Sheeran",9784,https://open.spotify.com/track/0E4Y1XIbs8GrAT1YqVy6dq
76,Closer,SIX60,9736,https://open.spotify.com/track/1kpSmoMmNm3pcCU7MTTpoJ
77,"Mr. Brightside","The Killers",9590,https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B
78,"No Role Modelz","J. Cole",9412,https://open.spotify.com/track/62vpWI1CHwFy7tMIcSStl8
79,telepatía,"Kali Uchis",9360,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
80,"Hotel California - 2013 Remaster",Eagles,9173,https://open.spotify.com/track/40riOy7x9W7GXjyGp4pjAv
81,"The Chain - 2004 Remaster","Fleetwood Mac",9169,https://open.spotify.com/track/5e9TFTbltYBg2xThimr0rU
82,"Go Crazy","Chris Brown",9130,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK
83,"Paradise (feat. Dermot Kennedy)",MEDUZA,9100,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
84,"Don't Start Now","Dua Lipa",9059,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
85,"Rocket Man (I Think It's Going To Be A Long, Long Time)","Elton John",8999,https://open.spotify.com/track/3gdewACMIVMEWVbyb8O9sY
86,Whoopty,CJ,8948,https://open.spotify.com/track/1t9WgS8FN0534tLBRwbaxO
87,"Yes I Do",L.A.B.,8913,https://open.spotify.com/track/6oTbxrszNWRsLdwFkGeHy6
