Position,"Track Name",Artist,Streams,URL
1,Ella,Boza,37801,https://open.spotify.com/track/66S2z95FN3nUAr9S1gUIsp
2,Fiel,"Los Legendarios",26876,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
3,911,Sech,24620,https://open.spotify.com/track/2p2Q23iaaPSEa1tI6TsCVX
4,Bandido,"Myke Towers",21088,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
5,"Hecha Pa' Mi",Boza,19584,https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx
6,"EL MAKINON","KAROL G",19370,https://open.spotify.com/track/2FSGUA0gFgGeQdprjtGM2M
7,DÁKITI,"Bad Bunny",17304,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
8,"No Se Que",Boza,16236,https://open.spotify.com/track/6IXx1EoraLU3mFBYCXh1av
9,"Por Ti",Boza,15178,https://open.spotify.com/track/360ubWJkgLmqdSABhQZvjx
10,"LA NOCHE DE ANOCHE","Bad Bunny",14949,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
