Position,"Track Name",Artist,Streams,URL
1,"Pareja Del Año","Sebastian Yatra",191385,https://open.spotify.com/track/2rCbl9naJYhaxjLsfx88uM
2,Fiel,"Los Legendarios",157995,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
3,Bandido,"Myke Towers",104026,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
4,Am,"Nio Garcia",95610,https://open.spotify.com/track/2dNhNlpZAtV4lwAFW45LIv
5,"EL MAKINON","KAROL G",90266,https://open.spotify.com/track/2FSGUA0gFgGeQdprjtGM2M
6,911,Sech,83531,https://open.spotify.com/track/2p2Q23iaaPSEa1tI6TsCVX
7,"Ella No Es Tuya - Remix","Rochy RD",81873,https://open.spotify.com/track/5YYW3yRktprLRr47WK219Y
8,"No Sé","Explosión De Iquitos",79906,https://open.spotify.com/track/6u5f7X2vWaQFdez1UImzOf
9,DÁKITI,"Bad Bunny",79616,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
10,"LA NOCHE DE ANOCHE","Bad Bunny",75295,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
11,"Botella Tras Botella","Gera MX",72606,https://open.spotify.com/track/2MnLkFqY9Rpg9s3Zv6ZJdK
12,Aloha,Maluma,69606,https://open.spotify.com/track/5RAIMjdrCEjpjaR5tBATXU
13,telepatía,"Kali Uchis",65691,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
14,"No Te Enamores - Remix",Milly,63049,https://open.spotify.com/track/2mM3gZ0BbPwPPMelbA8vgt
15,"Hecha Pa' Mi",Boza,62311,https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx
16,"Travesuras - Remix","Nio Garcia",61196,https://open.spotify.com/track/0VWLId2RwPCno9s1cJm2Vy
17,Reloj,"Rauw Alejandro",60129,https://open.spotify.com/track/4loQgPwJHocL3dFwLfjb1J
18,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",57388,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
