,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Binibini,"Zack Tabudlo",363692,https://open.spotify.com/track/2X5AFygz5SDYlXagyPw8kX
2,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",259437,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
3,"Leave The Door Open","Bruno Mars",252787,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
4,"Heartbreak Anniversary",Giveon,209767,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
5,Nangangamba,"Zack Tabudlo",166132,https://open.spotify.com/track/1dcNEEtODRVZEevQ20Cgmy
6,"At My Worst","Pink Sweat$",161914,https://open.spotify.com/track/2MJz8BxxMsERULatmBikDH
7,"drivers license","Olivia Rodrigo",151949,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
8,"deja vu","Olivia Rodrigo",149858,https://open.spotify.com/track/61KpQadow081I2AsbeLcsb
9,Byahe,"John Roa",141974,https://open.spotify.com/track/4v2yxWNY3WCzB0YS9QJZP4
10,"Ako Naman Muna","Angela Ken",139604,https://open.spotify.com/track/35yw6wTQcItHtyrbCAQV9L
11,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",131861,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
12,"Love Is Gone - Acoustic",SLANDER,120686,https://open.spotify.com/track/7F1CiKqrY44kh5cDqwHOnx
13,"Kiss Me More (feat. SZA)","Doja Cat",119677,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
14,Dynamite,BTS,116717,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
15,Paubaya,"Moira Dela Torre",114682,https://open.spotify.com/track/1NUw61RX4Wtmxw7CLiP4kP
16,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",113828,https://open.spotify.com/track/6fRxMU4LWwyaSSowV441IU
17,"Hold On","Justin Bieber",112893,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
18,"this is how you fall in love","Jeremy Zucker",111909,https://open.spotify.com/track/1aEsTgCsv8nOjEgyEoRCpS
19,"Levitating (feat. DaBaby)","Dua Lipa",110675,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
20,"Dance With You","Skusta Clee",107448,https://open.spotify.com/track/7bUvgvAf0tdQIty95lV5wf
21,"MONTERO (Call Me By Your Name)","Lil Nas X",106081,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
22,"Mood (Remix) feat. Justin Bieber, J Balvin & iann dior",24kGoldn,102166,https://open.spotify.com/track/6FuGJB290AQMAHTfjOYVaK
23,"On The Ground",ROSÉ,98922,https://open.spotify.com/track/2pn8dNVSpYnAtlKFC8Q0DJ
24,Anyone,"Justin Bieber",95337,https://open.spotify.com/track/2WnAKZefdRHxtBEkRjFOHC
25,Copines,"Aya Nakamura",93621,https://open.spotify.com/track/1Bhm5HNO1cq8olDbBmokyL
26,34+35,"Ariana Grande",92839,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
27,"Put Your Records On","Ritt Momney",89897,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9
28,"Life Goes On",BTS,88268,https://open.spotify.com/track/249gnXrbfmV8NG6jTEMSwD
29,Weak,"Larissa Lambert",87903,https://open.spotify.com/track/07MW63ok3ptSKwaTWEN0o8
30,"Beautiful Scars (Maximillian x Moira Dela Torre) - Acoustic",Maximillian,86752,https://open.spotify.com/track/2vcDl2SLudnltyDEos3v6E
31,Up,"Cardi B",82911,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
32,"Astronaut In The Ocean","Masked Wolf",78154,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
33,"Samahan Mo Ako",Je,73917,https://open.spotify.com/track/1mXxolyhAm7eP91K48L57k
34,"Kathang Isip",Ben&Ben,73819,https://open.spotify.com/track/3WUEs51GpcvlgU7lehLgLh
35,telepatía,"Kali Uchis",73726,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
36,"Mr. Perfectly Fine (Taylor’s Version) (From The Vault)","Taylor Swift",73681,https://open.spotify.com/track/2CYVETnhM9aytqrazYYwrK
37,Ulap,"Rob Deniel",70569,https://open.spotify.com/track/0en1kxNAvVQxLpbteRTG7L
38,"Kiss (Never Let Me Go)",Thyro,69311,https://open.spotify.com/track/6nQYJuqhIW2zKWAv1rZPM6
39,"Cloud 9","Beach Bunny",69071,https://open.spotify.com/track/6vFsBXYczYsP0H3lgunZOm
40,"Maybe The Night",Ben&Ben,67845,https://open.spotify.com/track/1yDiru08Q6omDOGkZMPnei
41,"Talking to the Moon","Bruno Mars",66871,https://open.spotify.com/track/161DnLWsx1i3u1JT05lzqU
42,KLWKN,"Music Hero",66401,https://open.spotify.com/track/1pi3VCMlGVaXvrjlVOkBPN
43,"Film out",BTS,64505,https://open.spotify.com/track/3UHPGOkUcE4hE7sqBF4Snt
44,Leaves,Ben&Ben,64190,https://open.spotify.com/track/6wdCelHrPh7UfliNjwRTUv
45,"We're Good","Dua Lipa",63542,https://open.spotify.com/track/1diS6nkxMQc3wwC4G1j0bh
46,"Love Story (Taylor’s Version)","Taylor Swift",63206,https://open.spotify.com/track/6YvqWjhGD8mB5QXcbcUKtx
47,"10,000 Hours (with Justin Bieber)","Dan + Shay",61800,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
48,"Someone You Loved","Lewis Capaldi",61760,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
49,Imahe,"Magnus Haven",61484,https://open.spotify.com/track/65sEZZaxTjLMD8vNgPoMz5
50,"I Like Me Better",Lauv,58452,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
51,"Your Song","Parokya Ni Edgar",56219,https://open.spotify.com/track/3OpGUlDmRUXh0NkIYWoIlD
52,"Save Your Tears","The Weeknd",56043,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
53,Streets,"Doja Cat",55321,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
54,2002,Anne-Marie,54166,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
55,"Say You Won't Let Go","James Arthur",52660,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
56,"Stuck with U (with Justin Bieber)","Ariana Grande",51715,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
57,"Sana'y Di Nalang","Bandang Lapis",51174,https://open.spotify.com/track/5X0rdNMk9xtQ5dNVMfZA6x
58,"Just the Way You Are","Bruno Mars",51072,https://open.spotify.com/track/7BqBn9nzAq8spo5e7cZ0dJ
59,positions,"Ariana Grande",50939,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
60,Sulyap,"Jr Crown",50614,https://open.spotify.com/track/3a22L5P9cix1HFNzjb3SpB
61,"Beautiful Scars",Maximillian,50337,https://open.spotify.com/track/1Hu42ZLWG9dHaVOPiWyEmE
62,"Umaaraw, Umuulan","December Avenue",49389,https://open.spotify.com/track/5S5M1oItQTUjJHtliGK3T6
63,"Holy (feat. Chance The Rapper)","Justin Bieber",49378,https://open.spotify.com/track/6Xgq7MvZiet0hVi3KaDSgJ
64,"Make It With You",Ben&Ben,48414,https://open.spotify.com/track/2Mo4pOpCYXOu33856sMQLh
65,Higa,"Arthur Nery",47927,https://open.spotify.com/track/63qA4ydokzNOFpsaNlsYsC
66,"Wag Na Lang","MC Einstein",47866,https://open.spotify.com/track/4Qs3DkTFVG1QiOwd0BUa9o
67,Pagtingin,Ben&Ben,47456,https://open.spotify.com/track/5l9g7py8RCblcvbZgGQgSd
68,"Magandang Dilag","JM Bales",46780,https://open.spotify.com/track/3us3yACYidjyZwm9to0czY
69,Tomboy,"Destiny Rogers",46353,https://open.spotify.com/track/5Ti3fqGTfjUsSdylFNy0Ng
70,Sana,"I Belong to the Zoo",46170,https://open.spotify.com/track/1X4l4i472kW5ofFP8Xo0x0
71,"Best Part (feat. Daniel Caesar)",H.E.R.,46040,https://open.spotify.com/track/4OBZT9EnhYIV17t4pGw7ig
72,"You Got It",Vedo,45383,https://open.spotify.com/track/4lsHZ92XCFOQfzJFBTluk8
73,Araw-Araw,Ben&Ben,45096,https://open.spotify.com/track/4rG3h1QwgjSSWz8EIjCFrm
74,Rainbow,"South Border",43976,https://open.spotify.com/track/3ueq4reab02CypseErxvwS
75,"When I Met You","APO Hiking Society",43942,https://open.spotify.com/track/1t7AA4xxqEseapeIJCiQ5l
76,"Kung 'Di Rin Lang Ikaw","December Avenue",43237,https://open.spotify.com/track/2BgD4nRyx9EZ5o8YEnjRSV
77,"Don't Start Now","Dua Lipa",43217,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
78,Memories,"Maroon 5",42507,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
79,"Malibu Nights",LANY,42360,https://open.spotify.com/track/0Eqg0CQ7bK3RQIMPw1A7pl
80,"Beginning Middle End - From The Netflix Film ""To All The Boys: Always and Forever""","Leah Nobel",42273,https://open.spotify.com/track/2kFHjWko1il6O9L3eK9IzG
81,Heather,"Conan Gray",41087,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
82,Mundo,"IV Of Spades",40967,https://open.spotify.com/track/4u8RkgV6P4TLi89SmlUtv8
83,"Boy With Luv (feat. Halsey)",BTS,40731,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
84,"Sa Susunod na Habang Buhay",Ben&Ben,40616,https://open.spotify.com/track/3PgjBOoA5OytNGkglObpOd
85,comethru,"Jeremy Zucker",40116,https://open.spotify.com/track/18uwL0vNUanqZH0ro2QcOP
86,"Ikaw Lamang","Silent Sanctuary",39610,https://open.spotify.com/track/2v5VIWMjZxeiG52KckiXxS
87,"Good Days",SZA,39564,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
88,"Pajama Party (Cypher1)","1096 Gang",39507,https://open.spotify.com/track/1K3qfNiMOzI5cbILMuWnRN
89,Circles,"Post Malone",39392,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
90,"How You Like That",BLACKPINK,38791,https://open.spotify.com/track/4SFknyjLcyTLJFPKD2m96o
