Position,"Track Name",Artist,Streams,URL
1,"Fiołkowe Pole",Sobel,320043,https://open.spotify.com/track/5bQFAKQF1mhcPPThw97kjw
2,Patoreakcja,Mata,202300,https://open.spotify.com/track/5RYqeL42n0Ta7OvSuc36ZJ
3,Bandyta,Sobel,193634,https://open.spotify.com/track/4SCKjcOBEHYu7EKKOdQBXJ
4,"Ale jazz!",sanah,124310,https://open.spotify.com/track/7fuvhZxxLou4qRRo4Z63wE
5,Przypadkiem,Oki,116038,https://open.spotify.com/track/5vteuuQ7C2pAqPF8Bnx5Nr
6,2:00,sanah,107450,https://open.spotify.com/track/2qcMsA3iyaDAELRijqwKcg
7,"MONTERO (Call Me By Your Name)","Lil Nas X",94626,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
8,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,94278,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
9,Alien,Sobel,93994,https://open.spotify.com/track/3mCr3EZ4QNgTEFdkNTNSLr
10,Kinol,Sobel,86791,https://open.spotify.com/track/6ALzx0Gppfh8B9mTMoF0BV
