Position,"Track Name",Artist,Streams,URL
1,Fiel,"Los Legendarios",57859,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
2,Am,"Nio Garcia",51688,https://open.spotify.com/track/2dNhNlpZAtV4lwAFW45LIv
3,911,Sech,41288,https://open.spotify.com/track/2p2Q23iaaPSEa1tI6TsCVX
4,Bandido,"Myke Towers",38996,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
5,"LA NOCHE DE ANOCHE","Bad Bunny",31689,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
6,"Pareja Del Año","Sebastian Yatra",30912,https://open.spotify.com/track/2rCbl9naJYhaxjLsfx88uM
7,DÁKITI,"Bad Bunny",29389,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
8,"Baila Conmigo (with Rauw Alejandro)","Selena Gomez",27980,https://open.spotify.com/track/079Ey5uxL04AKPQgVQwx5h
9,"L-Gante: Bzrp Music Sessions, Vol.38",Bizarrap,26149,https://open.spotify.com/track/1Crj1zkRMpsEjb9NOR6Zof
10,"Ella No Es Tuya - Remix","Rochy RD",25922,https://open.spotify.com/track/5YYW3yRktprLRr47WK219Y
11,"Hasta Abajo","Kevin Roldan",23434,https://open.spotify.com/track/4PEfJZpVjdclfzZ9XO8uDw
12,"No Te Enamores - Remix",Milly,23317,https://open.spotify.com/track/2mM3gZ0BbPwPPMelbA8vgt
13,"Hecha Pa' Mi",Boza,22923,https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx
14,Reloj,"Rauw Alejandro",22527,https://open.spotify.com/track/4loQgPwJHocL3dFwLfjb1J
15,"EL MAKINON","KAROL G",22358,https://open.spotify.com/track/2FSGUA0gFgGeQdprjtGM2M
16,"Además de Mí - Remix",Rusherking,22152,https://open.spotify.com/track/7I8L3vYCLThw2FDrE6LuzE
17,"Fan de Tus Fotos","Nicky Jam",21852,https://open.spotify.com/track/1mauYRwbpoGQX6itP2FAJC
18,"La Nota","Manuel Turizo",19892,https://open.spotify.com/track/5VzNsUnLmYcRfRfxpQsusa
19,"Esquema Preferido (feat. Tarcísio do Acordeon)","DJ Ivis",19577,https://open.spotify.com/track/0e6NlGJxYlHvAN8SKxad7N
20,"Botella Tras Botella","Gera MX",19350,https://open.spotify.com/track/2MnLkFqY9Rpg9s3Zv6ZJdK
21,Polvo,"Nicky Jam",18593,https://open.spotify.com/track/68mrW6gXHgupgSiDHgaDi5
22,"Tapão Na Raba","Raí Saia Rodada",17970,https://open.spotify.com/track/58pgi1RpcU2fVJsxhm7BIr
23,"Una Locura",Ozuna,17442,https://open.spotify.com/track/5y7DaS3jAc9eZzcSOoUIwU
24,"TE MUDASTE","Bad Bunny",16916,https://open.spotify.com/track/5RubKOuDoPn5Kj5TLVxSxY
25,"Mi Niña",Wisin,16310,https://open.spotify.com/track/2bgcUk2A3jjKbCJ7KPquTi
26,WACHA,KHEA,14961,https://open.spotify.com/track/5RmSunLqeDqNWww8LWhAiK
27,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",14208,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
28,"Ponte Pa' Mi","Justin Quiles",14168,https://open.spotify.com/track/4C6BlqqMwjFzOXzqpTeoWR
29,"La Tóxica",Farruko,14159,https://open.spotify.com/track/15OjBeqNX3bShsGYQbteRv
30,"MONTERO (Call Me By Your Name)","Lil Nas X",13774,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
31,Aloha,Maluma,13634,https://open.spotify.com/track/5RAIMjdrCEjpjaR5tBATXU
32,telepatía,"Kali Uchis",13583,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
33,"En Tu Cuerpo - Remix",Lyanno,13361,https://open.spotify.com/track/3dEtfTtCXWW7N8WQ9FD29z
34,"L-Gante Rkt","Papu DJ",13337,https://open.spotify.com/track/4A9u8OrzFYbxdjiydkNdUi
35,Explícito,"Myke Towers",13097,https://open.spotify.com/track/6qraVL4IJaIj0IuEexYJNa
36,BICHOTA,"KAROL G",12855,https://open.spotify.com/track/1WvrDdouh6C51In1SdATbq
37,"La Curiosidad (feat. Dj Nelson, Jhay Cortez, Lunay & Kendo Kaponi) - Blue Grand Prix Remix","Jay Wheeler",12546,https://open.spotify.com/track/7LE1K0lZyRFZjSlrnm7lfD
38,"Parce (feat. Justin Quiles)",Maluma,12209,https://open.spotify.com/track/4RJz8NfIe09gpKMiRUWKhJ
39,"Travesuras - Remix","Nio Garcia",12011,https://open.spotify.com/track/0VWLId2RwPCno9s1cJm2Vy
40,"Más De La Una","Piso 21",11800,https://open.spotify.com/track/00szcRmgqJGtqrfIUYkM1h
41,Bonita,Jeeiph,11434,https://open.spotify.com/track/2Q7KYjCv7XaLc0KRGY9m50
42,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",11382,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
43,"Chica Ideal","Sebastian Yatra",11367,https://open.spotify.com/track/21N4Buj4xsyLb218lYle61
44,"Si Me Tomo Una Cerveza",Migrantes,11283,https://open.spotify.com/track/3lCbsHaN1wCxyDzcNN2x4N
45,"Volta Bebê, Volta Neném","Dj Guuga",11245,https://open.spotify.com/track/4wQUopWk9Ed7Ng5qpKN5qd
46,PROBLEMA,"Daddy Yankee",11171,https://open.spotify.com/track/2dl5K2ScW7jYhAhuem06cm
47,"La Curiosidad","Jay Wheeler",10050,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
48,"Mi Cuarto","Jerry Di",10036,https://open.spotify.com/track/6fmQjRuo7XvRFCK2qex5hQ
49,"Agua de Jamaica",Maluma,10011,https://open.spotify.com/track/41BzKiCrKpUQHS3TP0jmdr
50,Hawái,Maluma,9796,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
51,"Tu Veneno","J Balvin",8655,https://open.spotify.com/track/5KFHrrBMyGj5MhVbZMM3ts
52,"De Cora <3","Rauw Alejandro",7686,https://open.spotify.com/track/22Sh5dlwbERqJAq1fZk5b2
53,"La Forma en Que Me Miras","Super Yei",7482,https://open.spotify.com/track/57Ba26w9eoXx8BBUNgRNLV
54,"Batom de Cereja - Ao Vivo","Israel & Rodolffo",7403,https://open.spotify.com/track/2MZQAvsA7aZDssppBLRxYp
55,"Mala Costumbre","Manuel Turizo",7343,https://open.spotify.com/track/09WuqcTbf8iMRn8W4N8xBX
56,"Disco Arranhado - Funk Remix",Malu,7061,https://open.spotify.com/track/2Gjt4rUHBUH0rMKpBg0hF4
57,"EL PONY","Daddy Yankee",6862,https://open.spotify.com/track/3ymdUMzgylwrSfpxdlCUWV
58,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]","Anuel AA",6719,https://open.spotify.com/track/5q2JbCNi4FcnglgPfxcV65
59,LOCATION,"KAROL G",6550,https://open.spotify.com/track/478g4LSkyMB1PMkVOVmIaE
60,"LA CANCIÓN","J Balvin",6527,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
61,"CÓMO SE SIENTE - Remix","Jhay Cortez",6254,https://open.spotify.com/track/2tFwfmceQa1Y6nRPhYbEtC
62,"Machu Picchu",Camilo,6195,https://open.spotify.com/track/6RV9pRLIQiXm3qTGeyQluf
63,"Te voy Amar","Jorge Acosta",6166,https://open.spotify.com/track/5p41ySoDAykLWGxoFYZiZF
64,Malbec,Bizarrap,6124,https://open.spotify.com/track/6KEb17S00Inf0v1qYDgUAj
65,"Me Fije","Alex Rose",6052,https://open.spotify.com/track/6Et5KimMg3IXwD6lJPGmQw
66,"Toda Remix - Remix","Alex Rose",6017,https://open.spotify.com/track/47ZS1OjnJpJVfGN9yHXfMn
67,BEBÉ,Camilo,5992,https://open.spotify.com/track/3Zf4GutWZ7Hv3wsVQsSQPs
68,"Si Estuviésemos Juntos","Bad Bunny",5961,https://open.spotify.com/track/35wvL50xvKpCHEJPxLOLPI
69,"Amor en Coma","Manuel Turizo",5754,https://open.spotify.com/track/0kRU83ecI57Iw1kPTeUwK5
70,"Ele É Ele, Eu Sou Eu","Wesley Safadão",5739,https://open.spotify.com/track/7EWXP47VlXKO3r7mNxuWHw
71,Despeinada,Ozuna,5739,https://open.spotify.com/track/0JAZWvvqttGFm4UMDsPQXC
72,"Levitating (feat. DaBaby)","Dua Lipa",5734,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
73,Jeans,"Justin Quiles",5730,https://open.spotify.com/track/3GtnId3Cm1Xa6joCj08nzW
74,"Tu Traición","Grupo Bryndis",5685,https://open.spotify.com/track/2ObbqCZZgwK8VowFYf0RPh
75,"Relación - Remix",Sech,5667,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl
76,Olvidala,"Binomio de Oro de América",5560,https://open.spotify.com/track/6BW62Zz1o1hdB92EUEcxE8
77,"Chico Estrella",Duki,5480,https://open.spotify.com/track/1XadOBWghF0LhMuXI4GJ6M
