Position,"Track Name",Artist,Streams,URL
1,"MONTERO (Call Me By Your Name)","Lil Nas X",23977,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
2,"Astronaut In The Ocean","Masked Wolf",13563,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
3,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",12561,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
4,"ÎN RAI",Nane,9497,https://open.spotify.com/track/1HWGnsNTDgkmefYwMcMSqi
5,"The Business",Tiësto,9382,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
6,"Levitating (feat. DaBaby)","Dua Lipa",9270,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
7,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,8871,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
8,RAPSTAR,"Polo G",8009,https://open.spotify.com/track/43PGPuHIlVOc04jrZVh9L6
9,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",7882,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
10,"Kiss Me More (feat. SZA)","Doja Cat",7618,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
11,Up,"Cardi B",6916,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
12,"Your Love (9PM)",ATB,6716,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
13,telepatía,"Kali Uchis",6644,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
14,Streets,"Doja Cat",6505,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
15,Runaway,AURORA,6417,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6
16,"Blinding Lights","The Weeknd",6357,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
17,"Save Your Tears","The Weeknd",6245,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
18,Arcade,"Duncan Laurence",6092,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
19,"Leave The Door Open","Bruno Mars",5981,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
20,"Paradise (feat. Dermot Kennedy)",MEDUZA,5584,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
21,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",5581,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
22,"Head & Heart (feat. MNEK)","Joel Corry",5549,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
23,"Goosebumps - Remix","Travis Scott",5463,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
24,"Sweater Weather","The Neighbourhood",5194,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
25,"Mood (feat. iann dior)",24kGoldn,5181,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
26,"deja vu","Olivia Rodrigo",5091,https://open.spotify.com/track/61KpQadow081I2AsbeLcsb
27,"drivers license","Olivia Rodrigo",5045,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
28,Whoopty,CJ,5006,https://open.spotify.com/track/1t9WgS8FN0534tLBRwbaxO
29,Savana,"Marko Glass",4986,https://open.spotify.com/track/4BJsV9Iu4sJphgvAyDxfkp
30,"Wasted Love (feat. Lagique)",Ofenbach,4918,https://open.spotify.com/track/2pPO9YecZimmuVQfIzfV6U
31,"Heartbreak Anniversary",Giveon,4595,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
32,"Manca-Ti-as Hazu","Tzanca Uraganu",4582,https://open.spotify.com/track/27M5JDWYLUVuxyMF0ek7SU
33,"Calling My Phone","Lil Tjay",4563,https://open.spotify.com/track/3J8EOeKLTLXORtWPpOU5bE
34,"Slumber Party (feat. Princess Nokia)",Ashnikko,4541,https://open.spotify.com/track/11ZulcYY4lowvcQm4oe3VJ
35,"Hold On","Justin Bieber",4517,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
36,"Jumătatea mea mai bună","3 Sud Est",4399,https://open.spotify.com/track/26ej7ltkDI0a5CX7wZSZNf
37,"Beto 2",AlbertNbn,4395,https://open.spotify.com/track/6uD4lL8kCk8HcGTHRoDbkD
38,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",4381,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
39,"you broke me first","Tate McRae",4323,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
40,"Watermelon Sugar","Harry Styles",4299,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
41,"Best Friend (feat. Doja Cat)",Saweetie,4278,https://open.spotify.com/track/20BOju91NaEFK5Py4VJ2pp
42,"Heat Waves","Glass Animals",4234,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
43,HOLIDAY,"Lil Nas X",4201,https://open.spotify.com/track/6zFMeegAMYQo0mt8rXtrli
44,"Rup Topurile","Tzanca Uraganu",4026,https://open.spotify.com/track/2cYVKVMiWzJM0lGxBQDjOC
45,"HIGHEST IN THE ROOM","Travis Scott",4014,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
46,"WITHOUT YOU","The Kid LAROI",3970,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
47,"Head Shoulders Knees & Toes (feat. Norma Jean Martine)",Ofenbach,3931,https://open.spotify.com/track/6i7zAdNhzUN2k1HcrBxPHG
48,"Another Love","Tom Odell",3905,https://open.spotify.com/track/7jtQIBanIiJOMS6RyCx6jZ
49,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,3858,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
50,sugar,Zubi,3852,https://open.spotify.com/track/5IjIbGO7lih9CVDBFLCtTT
51,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",3831,https://open.spotify.com/track/6fRxMU4LWwyaSSowV441IU
52,"Bagabond Asa Ma Vrea","Tzanca Uraganu",3828,https://open.spotify.com/track/5US5tR5X3kgNzqm3HqrqNS
53,"Cum Era (feat. NANE)",Delia,3802,https://open.spotify.com/track/4vdpMmpHsaG0YoyHseym5n
54,"Dragostea Ta",Nane,3769,https://open.spotify.com/track/2ZhMraqx6eOMFMb9gtzkCj
55,"Your Love","Irina Rimes",3720,https://open.spotify.com/track/2HcTnAKvEmTEi4zOD9XW6z
56,"We're Good","Dua Lipa",3715,https://open.spotify.com/track/1diS6nkxMQc3wwC4G1j0bh
57,goosebumps,"Travis Scott",3704,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
