Position,"Track Name",Artist,Streams,URL
1,"MONTERO (Call Me By Your Name)","Lil Nas X",83365,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
2,"Нету интереса",10AGE,68138,https://open.spotify.com/track/1nINIHobpPWexRP8ABH8bT
3,"Astronaut In The Ocean","Masked Wolf",61773,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
4,Патрон,"Miyagi & Andy Panda",60239,https://open.spotify.com/track/3uCth4TIWyeQDnj3YbAVQB
5,(Не)идеальна,"Egor Kreed",53588,https://open.spotify.com/track/4td0GwMmapEdpV2g5C2l9K
6,"Мальчик на девятке","DEAD BLONDE",52896,https://open.spotify.com/track/1tzTlRMcw9xDqrNRzj3H2g
7,Миллионы,"THRILL PILL",48435,https://open.spotify.com/track/3F3bEnE5mney9PyuFU7LS8
8,"Голодный пёс [prod. by Pretty Scream]",SEEMEE,46698,https://open.spotify.com/track/4KiFqaxjnmVm0gyIPIRRgH
9,"Новая волна","DJ Smash",46635,https://open.spotify.com/track/7rRzijIIKQ8GntJ8IUwUyY
10,"ТЫ ГОРИШЬ КАК ОГОНЬ","SLAVA MARLOW",45591,https://open.spotify.com/track/12Kknh5NqqAukiyevjDQkT
