Position,"Track Name",Artist,Streams,URL
1,"Astronaut In The Ocean","Masked Wolf",14013,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
2,"ليه الجفا","Abdullah Al Farwan",13486,https://open.spotify.com/track/21redrQKfqom4LJarOQtQS
3,Runaway,AURORA,12552,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6
4,"MONTERO (Call Me By Your Name)","Lil Nas X",10755,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
5,"Wasl Al Mahabah","Mohammed Bin Grman",10365,https://open.spotify.com/track/6hdRHwO3HVpXqZKmmZQXbb
6,"Sawb Al Riyadh",Mashael,8416,https://open.spotify.com/track/2zRFrCapormSMSKfWh7Hu4
7,"شيلة طرب حماسية",غنوة,7307,https://open.spotify.com/track/67pgW0LyrChcjli8XyjT9U
8,"اشكر جمالك","Abdullah Al Mukhles",7081,https://open.spotify.com/track/2gFZxR3Fur5t6fUzKgo7Y9
9,Arcade,"Duncan Laurence",6801,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
10,"Shalaa Balahon","Fawaz Ben Awad",6764,https://open.spotify.com/track/0Ec98JWxzVe7eoTzQ28sat
