Position,"Track Name",Artist,Streams,URL
1,Gamora,Hov1,185112,https://open.spotify.com/track/4tGPi30jgutml0z5QgNd8Q
2,"tystnar i luren","Miriam Bryant",182186,https://open.spotify.com/track/4dxeRrYgeAQ1F0uH9g04lN
3,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",156214,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
4,"MONTERO (Call Me By Your Name)","Lil Nas X",135551,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
5,FÖRSENT,1.Cuz,126692,https://open.spotify.com/track/6mDcLPGVCmdhMN4gBzNb7s
6,Voices,Tusse,122084,https://open.spotify.com/track/5zxZ7M4RgWZUHlMEwac8vt
7,RAPSTAR,"Polo G",119094,https://open.spotify.com/track/43PGPuHIlVOc04jrZVh9L6
8,"Nån annan nu","Molly Sandén",116630,https://open.spotify.com/track/5lsvS3ENLMRBNuDG4fn9Ki
9,"Du måste finnas",Newkid,100319,https://open.spotify.com/track/32z2QHVJTOPzzczl4MjmHo
10,Svag,"Victor Leksell",99778,https://open.spotify.com/track/4SS4YfDAEQG0fZAe1xfgn3
