Position,"Track Name",Artist,Streams,URL
1,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",66546,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
2,"แปะหัวใจ (14th Feb)",Jaonaay,64493,https://open.spotify.com/track/6GDI4Y8fOsptYwSW2iIUbe
3,"Leave The Door Open","Bruno Mars",64464,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
4,"วัดปะหล่ะ? (Test Me)",4EVE,58162,https://open.spotify.com/track/0gEewSHZqPiNQa9DqeeUXj
5,"หยอก หยอก",LUSS,54187,https://open.spotify.com/track/6tkhy9Be0jO98dyeJtlX8s
6,"สองใจ - เพลงประกอบละคร วันทอง","Da Endorphine",51079,https://open.spotify.com/track/5sXuqzLmT1z6Gnf3S2TzSz
7,"สายตาหลอกกันไม่ได้ (Eyes don't lie)","Ink Waruntorn",50557,https://open.spotify.com/track/4CTgPJbgNQ031q8HzhTtq2
8,"จำเลยรัก - Defendant Of Love",F.HERO,45776,https://open.spotify.com/track/0AGhwXsWpVOwjHY5yf4dtD
9,Extraordinary,"Anatomy Rabbit",43002,https://open.spotify.com/track/19CoWVqDyUbiqxoyMf4HkJ
10,ถ้าเธอรักฉันจริง,"Three Man Down",42585,https://open.spotify.com/track/3kVApGWaoR48GzDagnY55b
11,"On The Ground",ROSÉ,39401,https://open.spotify.com/track/2pn8dNVSpYnAtlKFC8Q0DJ
12,"deja vu","Olivia Rodrigo",39266,https://open.spotify.com/track/61KpQadow081I2AsbeLcsb
13,คิดไม่ออก,TangBadVoice,38934,https://open.spotify.com/track/1I9oRSMpN2K0xYivVr0AhF
14,"Heartbreak Anniversary",Giveon,38075,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
15,"Kiss Me More (feat. SZA)","Doja Cat",37026,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
16,น้ำลาย,Txrbo,35918,https://open.spotify.com/track/6oBGKAEqVgvljmFMwMUAXX
17,ไวน์ลดา,"The Toys",35522,https://open.spotify.com/track/1RVYucT3tc32YzRDsP30t3
18,"โคตรพิเศษ - (Ost. แปลรักฉันด้วยใจเธอ)",Billkin,33400,https://open.spotify.com/track/6MVbuOWvXHbPHtVwScK6M1
19,เดาไม่เก่ง,"Three Man Down",33376,https://open.spotify.com/track/0FQuyJ6MTsvGcXQur2EPgk
20,"Friend Zone","Three Man Down",33354,https://open.spotify.com/track/70gE5odAgYvmx0qB1bWDHz
21,"ดอกไม้ไฟ - Firework",Mirrr,33021,https://open.spotify.com/track/5SolgEp0EAXjruwQdszykB
22,จีบ,Qler,32950,https://open.spotify.com/track/5bvgLLWn7IFu6mOa46XaoV
23,เผลอหรือตั้งใจ,"Ink Waruntorn",32817,https://open.spotify.com/track/0mt8i1U8mZsptqKxEc4ScO
24,"MONTERO (Call Me By Your Name)","Lil Nas X",32793,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
25,"1001 (You're Lovely)","SERIOUS BACON",31530,https://open.spotify.com/track/7ip4DUtdpLH4TkHfKgFbpf
26,Gone,ROSÉ,30246,https://open.spotify.com/track/2dHoVW9AxJVSRebPRyV2aA
27,ช่วยไม่ได้,UrboyTJ,30021,https://open.spotify.com/track/4GGNl8jiANylTJj4hfzqP7
28,"คิด(แต่ไม่)ถึง (Same Page?)","Tilly Birds",28290,https://open.spotify.com/track/0JStm1Ns9Ya2zQhbqMDYEU
29,"At My Worst","Pink Sweat$",28061,https://open.spotify.com/track/2MJz8BxxMsERULatmBikDH
30,247,LUSS,26993,https://open.spotify.com/track/7AQFhodzN09DtXGiIDtFrd
31,ซับ,BOWKYLION,26892,https://open.spotify.com/track/0Qk8RUwooCGKghG9yClG3O
32,เก็บไว้ในใจไม่พอ,Maiyarap,26521,https://open.spotify.com/track/0hdVaCnCS5d5puPAN2tQ25
33,Melbourne,Morvasu,26372,https://open.spotify.com/track/0nYZ6GR0fCPmxqjPOaPGjJ
34,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",25975,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
35,แฟนใหม่หน้าคุ้น,Maiyarap,25694,https://open.spotify.com/track/29E8BUUDQbc5S7jMPOj9wW
36,"อยากเริ่มต้นใหม่กับคนเดิม (repeat)","Ink Waruntorn",25386,https://open.spotify.com/track/1E0waZD9GmD0SkbEhk19J4
37,"Sad Movie",F.HERO,24823,https://open.spotify.com/track/1nenRWbemVvsxnxg296eFB
38,"แปลไม่ออก - (Ost. แปลรักฉันด้วยใจเธอ)",Billkin,24339,https://open.spotify.com/track/3ADD6eZhJPHrRKAQ2MWBD5
39,"ลบไม่ได้ช่วยให้ลืม (Erase)","Ink Waruntorn",24327,https://open.spotify.com/track/5AMYykC6sdveY7NfwHNUm4
40,ไม่อยากฟัง,"SERIOUS BACON",23655,https://open.spotify.com/track/5NHUdpYUEHL8fDLmR1qFd8
41,นิโคติน,Mirrr,23050,https://open.spotify.com/track/6R9YzJHkfYoN6PianPhTdB
42,"กีดกัน (Skyline) - Ost. แปลรักฉันด้วยใจเธอ",Billkin,23044,https://open.spotify.com/track/4D6f8Y7qiOvmFbm3TIab22
43,ฝนตกไหม,"Three Man Down",22608,https://open.spotify.com/track/2pB3TJsSleiRiL0NP6rtCw
44,"พี่ๆ ตัดแว่นให้หน่อย","SERIOUS BACON",22339,https://open.spotify.com/track/0MejzQMW0yfpwfZwIjNaAH
