,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Krvn,UZI,445739,https://open.spotify.com/track/4a1WLOoydq7u011UG9jjC9
2,Martılar,EDIS,330458,https://open.spotify.com/track/5KfEZIfXixRmVadOEMfzum
3,"Umrumda Değil",UZI,247894,https://open.spotify.com/track/72t3CRd8YEFrlc3x0OVaob
4,Makina,UZI,213512,https://open.spotify.com/track/5jvhTc0g18kwYQNUJM5C4e
5,Dua,Güneş,212549,https://open.spotify.com/track/3HEfzQob3O16TIDMPC8PTx
6,"Perros Blancos Freestyle",Reckol,197933,https://open.spotify.com/track/5SrPeOqm3SBecyiAsI9HTT
7,Barbar,"Kaan Boşnak",185235,https://open.spotify.com/track/0UN0qSJUnWWvIOgv3nYY2A
8,"Seni Dert Etmeler",Madrigal,183780,https://open.spotify.com/track/10n66m41IGjA2ZulKPK7Ew
9,"MONTERO (Call Me By Your Name)","Lil Nas X",173196,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
10,Sakatat,Ezhel,144702,https://open.spotify.com/track/1r56JjG9mRobTXWfb7UGvO
11,"Ah Ellerim Kırılaydı","Tuğçe Kandemir",144515,https://open.spotify.com/track/4D36ZNHfLE3joglWbDLn5X
12,"Kusura Bakma",Tuğkan,121173,https://open.spotify.com/track/7ng3MkDXpSUVFQEhN6vtqG
13,"Astronaut In The Ocean","Masked Wolf",115164,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
14,Memur,"Emir Can İğrek",111181,https://open.spotify.com/track/3fYaXsoqjyXl23azMihWBZ
15,"Alaz Alaz",Buray,111119,https://open.spotify.com/track/3lJOIGsFylH947nMpYzfGO
16,"Uzak Ol","Diyar Pala",110576,https://open.spotify.com/track/3UtxLgkmTZZkPr6scOEglC
17,"ıslak kum",Contra,107072,https://open.spotify.com/track/3XeMdSHi48X0XsDHckDhIM
18,"Gece Gündüz",Murda,90162,https://open.spotify.com/track/032ncNwownsax2RsiC5iCN
19,Kafeste,Murda,85685,https://open.spotify.com/track/6R4VTadPfb4GaYAMFg9lSl
20,Güya,"Irmak Arıcı",81402,https://open.spotify.com/track/45psv4nJ95oCkdkp8UCkQk
21,"Uzunlar - V1","Evdeki Saat",79524,https://open.spotify.com/track/1vLkBVAy8ZWrqcQjYTPP3a
22,Runaway,AURORA,78809,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6
23,NERDESİN,Ati242,78382,https://open.spotify.com/track/3YHvDD4kOmU0aNyq9QH5tW
24,"Ne Zamandır Sendeyim",Madrigal,76832,https://open.spotify.com/track/7L45rxBLaeRsyVZWCC6CXs
25,Glock,cakal,76774,https://open.spotify.com/track/1m5zdKxtqhzg3S4WdiHJeo
26,Sharingan,Reckol,76685,https://open.spotify.com/track/6R76MbXJLUU3a2srbwjZHr
27,"Bi Bedeli Var",Heijan,74496,https://open.spotify.com/track/1Yp69wntPFZYy5AokQC6Yz
28,"Dumanı Pasla",Batuflex,73043,https://open.spotify.com/track/3kMcV1es4HbWcWBhcteJ8Z
