,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"愛情你比我想的閣較偉大 -《當男人戀愛時》電影主題曲",EggPlantEgg,105789,https://open.spotify.com/track/4fJlSLYLiu5trFCMZdSQDC
2,"在這座城市遺失了你 (戲劇《他們創業的那些鳥事》插曲)",告五人,53182,https://open.spotify.com/track/1Ytgo9ipdlTsf6wlg6sXf3
3,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",49749,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
4,"刻在我心底的名字 (Your Name Engraved Herein) - 電影<刻在你心底的名字>主題曲","Crowd Lu",48815,https://open.spotify.com/track/3OC84eKMxRJ4x0Hcwl9i4i
5,飞鸟和蝉,"Ren Ran",44302,https://open.spotify.com/track/0O7O4sssbFxoNoB4QRGra1
6,"最美的風景 (feat. 莫宰羊)",Marz23,34657,https://open.spotify.com/track/3LkITiONSVW8eWhruHhiDJ
7,"想見你想見你想見你(電視劇""想見你""片尾曲)",831,33257,https://open.spotify.com/track/69zgyr5HVKdInjeKpq1qHa
8,"寫一條歌,寫你我爾爾","Ricky Hsiao",32175,https://open.spotify.com/track/3EohByRFmkLh1Upve1UpSC
9,怎麼了,"Eric Chou",31176,https://open.spotify.com/track/5cU1O9P0EDA0rPkPDykhIm
10,我很好騙,"Power Station",30464,https://open.spotify.com/track/69AvckyixY1AIGRYDZ1QnO
11,"Stars Align (with Jolin Tsai)",R3HAB,28979,https://open.spotify.com/track/0xDQPgYdTQZCn92Ee1W0WW
12,"Leave The Door Open","Bruno Mars",27445,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
13,"Hold On","Justin Bieber",27221,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
14,"Kiss Me More (feat. SZA)","Doja Cat",27143,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
15,四季予你,程響,26669,https://open.spotify.com/track/0upiMcFbQHH51etgz4xK0l
16,"天黑請閉眼 (feat. 邱鋒澤)","Nine Chen",26155,https://open.spotify.com/track/0bIbgooxvBkww2ZGeu8VMR
17,嚣张,En,25100,https://open.spotify.com/track/3t8M86tiO0aKMMTXzRrFn8
18,"On The Ground",ROSÉ,25008,https://open.spotify.com/track/2pn8dNVSpYnAtlKFC8Q0DJ
19,浪流連,EggPlantEgg,23856,https://open.spotify.com/track/7a6VJHMS9ttKsj55cKC51G
20,"唯一 (三立/台視戲劇《戀愛是科學》插曲)",告五人,23530,https://open.spotify.com/track/19fp9nI0tq0lcBl7XoCHAb
21,CHANGE,E.SO,22745,https://open.spotify.com/track/4E5PyVOBH25CICgTURwGXM
22,"MONTERO (Call Me By Your Name)","Lil Nas X",22475,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
