,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"MONTERO (Call Me By Your Name)","Lil Nas X",16520,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
2,"Astronaut In The Ocean","Masked Wolf",14587,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
3,"Нету интереса",10AGE,11581,https://open.spotify.com/track/1nINIHobpPWexRP8ABH8bT
4,"Мальчик на девятке","DEAD BLONDE",10598,https://open.spotify.com/track/1tzTlRMcw9xDqrNRzj3H2g
5,"Голодный пёс [prod. by Pretty Scream]",SEEMEE,9082,https://open.spotify.com/track/4KiFqaxjnmVm0gyIPIRRgH
6,"The Business",Tiësto,8926,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
7,Патрон,"Miyagi & Andy Panda",8750,https://open.spotify.com/track/3uCth4TIWyeQDnj3YbAVQB
8,"Новая волна","DJ Smash",8652,https://open.spotify.com/track/7rRzijIIKQ8GntJ8IUwUyY
9,Миллионы,"THRILL PILL",8548,https://open.spotify.com/track/3F3bEnE5mney9PyuFU7LS8
10,Дежавю,kizaru,8239,https://open.spotify.com/track/1GOiMxQXZUzjzH0Sxpck0B
11,Бигасс,"SODA LUV",8150,https://open.spotify.com/track/3euwIpljAgZ47S6XnOWaA9
12,"Фотографирую закат",fem.love,7944,https://open.spotify.com/track/6rUMS0EHW924XLGp6Q3xtF
13,toxin,Benedixhion,7724,https://open.spotify.com/track/79i617mqpQLwUs3WTokYX9
14,"Blinding Lights","The Weeknd",7089,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
15,Dior,"ЕГОР ШИП",7055,https://open.spotify.com/track/3JZonG7YkHKY20LJ3QoYrQ
16,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",7033,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
17,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",7002,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
18,"ТЫ ГОРИШЬ КАК ОГОНЬ","SLAVA MARLOW",6857,https://open.spotify.com/track/12Kknh5NqqAukiyevjDQkT
19,Франция,JAMIK,6825,https://open.spotify.com/track/2ig9i7fHMdqXQREpMlO9y7
20,"Кукла колдуна","Korol i Shut",6665,https://open.spotify.com/track/2DYzsMQpO7xOw7b3JwyIWP
21,"Cristal & МОЁТ",MORGENSHTERN,6639,https://open.spotify.com/track/4KfmruShP5zOi9hYjM76e6
22,"Kiss Me More (feat. SZA)","Doja Cat",6623,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
23,"Чистый - OST «Псих»",Scriptonite,6438,https://open.spotify.com/track/2Z0OcpA4i1KayJbXn800le
24,Положение,Scriptonite,6367,https://open.spotify.com/track/1hfISzdAwnywAKxaSpfloo
25,"ХОТБОКС (prod. by Young Royce)","SODA LUV",6352,https://open.spotify.com/track/3LiyBbbo5Negbgq9RV9qJa
26,Коми,"SODA LUV",6037,https://open.spotify.com/track/6ugYbXPyqfpYTtG9z6YRvH
27,(Не)идеальна,"Egor Kreed",5946,https://open.spotify.com/track/4td0GwMmapEdpV2g5C2l9K
28,Контракт,"Poshlaya Molly",5902,https://open.spotify.com/track/2bqS0QtnXGjOYs3z6VtSyW
29,"Skamming Shit",uglystephan,5862,https://open.spotify.com/track/4M2O9at0fryRSQYVh3MgdK
