Position,"Track Name",Artist,Streams,URL
1,RAPSTAR,"Polo G",1901614,https://open.spotify.com/track/43PGPuHIlVOc04jrZVh9L6
2,"Kiss Me More (feat. SZA)","Doja Cat",1577920,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
3,"MONTERO (Call Me By Your Name)","Lil Nas X",1525156,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
4,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",1408074,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
5,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",1271188,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
6,"Levitating (feat. DaBaby)","Dua Lipa",1193075,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
7,"deja vu","Olivia Rodrigo",1068874,https://open.spotify.com/track/61KpQadow081I2AsbeLcsb
8,"Astronaut In The Ocean","Masked Wolf",975848,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
9,"Leave The Door Open","Bruno Mars",881830,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
10,"Heartbreak Anniversary",Giveon,876383,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
11,Up,"Cardi B",872543,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
12,"Wants and Needs (feat. Lil Baby)",Drake,739760,https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b
13,"Solid (feat. Drake)","Young Stoner Life",738751,https://open.spotify.com/track/6rTInqW3YECMkQsBEHw4sd
14,"Best Friend (feat. Doja Cat)",Saweetie,715482,https://open.spotify.com/track/20BOju91NaEFK5Py4VJ2pp
15,"Calling My Phone","Lil Tjay",709551,https://open.spotify.com/track/3J8EOeKLTLXORtWPpOU5bE
16,"Heat Waves","Glass Animals",708482,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
17,telepatía,"Kali Uchis",701411,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
18,"drivers license","Olivia Rodrigo",670464,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
19,"Good Days",SZA,654489,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
20,Streets,"Doja Cat",649417,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
21,DÁKITI,"Bad Bunny",633259,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
22,"What’s Next",Drake,612630,https://open.spotify.com/track/3aQem4jVGdhtg116TmJnHz
23,"Blinding Lights","The Weeknd",595659,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
24,"Back In Blood (feat. Lil Durk)","Pooh Shiesty",542711,https://open.spotify.com/track/7FGdjbZ32vMybPuP0IuE7d
25,"Hold On","Justin Bieber",527659,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
26,"Mood (feat. iann dior)",24kGoldn,512276,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
27,"WITHOUT YOU","The Kid LAROI",511444,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
28,"Save Your Tears","The Weeknd",511227,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
29,"Headshot (feat. Polo G & Fivio Foreign)","Lil Tjay",510180,https://open.spotify.com/track/4eNOLmx8r2IJAVKvBBL1jv
30,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",499884,https://open.spotify.com/track/6fRxMU4LWwyaSSowV441IU
31,"Martin & Gina","Polo G",488137,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ
32,"Goosebumps - Remix","Travis Scott",448447,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
33,"Run It Up (feat. Offset & Moneybagg Yo)","Lil Tjay",444001,https://open.spotify.com/track/1dg3qy5DjoJodawfOCgrTP
34,Runaway,AURORA,433615,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6
35,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,429481,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
36,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",427707,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
37,"my ex's best friend (with blackbear)","Machine Gun Kelly",426934,https://open.spotify.com/track/7kDUspsoYfLkWnZR7qwHZl
38,"On Me","Lil Baby",412893,https://open.spotify.com/track/4Iedi94TIaB2GGb1nMB68v
39,Ski,"Young Stoner Life",410083,https://open.spotify.com/track/6755DFiZ7CWe2WMdTGW5C1
40,"Sweater Weather","The Neighbourhood",409965,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
41,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",404013,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
42,"WAP (feat. Megan Thee Stallion)","Cardi B",403033,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
43,"Mr. Perfectly Fine (Taylor’s Version) (From The Vault)","Taylor Swift",402954,https://open.spotify.com/track/2CYVETnhM9aytqrazYYwrK
44,"Shottas (Lala)","Moneybagg Yo",401560,https://open.spotify.com/track/2Ox2c1WEJDeQCHTXPE3YKM
45,"Big Gangsta","Kevin Gates",395484,https://open.spotify.com/track/03ERnTvSV5fy8WAyvA4uNP
46,"Laugh Now Cry Later (feat. Lil Durk)",Drake,390646,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
47,"What You Know Bout Love","Pop Smoke",390240,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
