Position,"Track Name",Artist,Streams,URL
1,Am,"Nio Garcia",19859,https://open.spotify.com/track/2dNhNlpZAtV4lwAFW45LIv
2,Fiel,"Los Legendarios",19851,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
3,"L-Gante: Bzrp Music Sessions, Vol.38",Bizarrap,18741,https://open.spotify.com/track/1Crj1zkRMpsEjb9NOR6Zof
4,WACHA,KHEA,17424,https://open.spotify.com/track/5RmSunLqeDqNWww8LWhAiK
5,"Pareja Del Año","Sebastian Yatra",16750,https://open.spotify.com/track/2rCbl9naJYhaxjLsfx88uM
6,Bandido,"Myke Towers",16055,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
7,911,Sech,15958,https://open.spotify.com/track/2p2Q23iaaPSEa1tI6TsCVX
8,"Además de Mí - Remix",Rusherking,14709,https://open.spotify.com/track/7I8L3vYCLThw2FDrE6LuzE
9,"Ella No Es Tuya - Remix","Rochy RD",14145,https://open.spotify.com/track/5YYW3yRktprLRr47WK219Y
10,"Baila Conmigo (with Rauw Alejandro)","Selena Gomez",12308,https://open.spotify.com/track/079Ey5uxL04AKPQgVQwx5h
