Position,"Track Name",Artist,Streams,URL
1,"Sài Gòn Đau Lòng Quá","Hứa Kim Tuyền",41484,https://open.spotify.com/track/6TD5xfffOnYHliuF1wzL6U
2,"Tháng Mấy Em Nhớ Anh?","Ha Anh Tuan",30145,https://open.spotify.com/track/6Fbsn9471Xd0vVsMWwhePh
3,"Leave The Door Open","Bruno Mars",30082,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
4,"Phải Chăng Em Đã Yêu?","Juky San",29864,https://open.spotify.com/track/3wGx3gYPjECKZazGNuPEX2
5,"Nàng Thơ","Hoang Dung",29192,https://open.spotify.com/track/6rVaOdWvFaNyVVXda0NPJy
6,"Chúng Ta Của Hiện Tại","Sơn Tùng M-TP",28893,https://open.spotify.com/track/17iGUekw5nFt5mIRJcUm3R
7,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",26535,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
8,"Kiss Me More (feat. SZA)","Doja Cat",25533,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
9,"Dù Cho Mai Về Sau",buitruonglinh,24318,https://open.spotify.com/track/5SUXc3Xe4GaWyDo45v6Lea
10,"Xin Đừng Nhấc Máy","B Ray",24186,https://open.spotify.com/track/4Rbnxa7kFSpCHNPJ3uZhtR
