,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"John Wick","De Mthuda",20487,https://open.spotify.com/track/4nLJnkaFq9VNYVz1SxJsXi
2,"Vula Mlomo","Musa Keys",20079,https://open.spotify.com/track/4ckpR1gCb3PuoDAbEA9a66
3,"Khuza Gogo","DBN Gogo",20054,https://open.spotify.com/track/7zJYbquljYLkTShkGhiBTX
4,"Umsebenzi Wethu","Busta 929",18872,https://open.spotify.com/track/2H1hYPeKgIQAp439cx7GsX
5,"LiYoshona - Main Mix","Kwiish SA",17579,https://open.spotify.com/track/32dzOvkFzmjEPjPidQRxU4
6,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",17283,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
7,Woza,"Mr JazziQ",16606,https://open.spotify.com/track/3830LcxTUk1zTWA51f5xfF
8,"MONTERO (Call Me By Your Name)","Lil Nas X",15913,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
9,RAPSTAR,"Polo G",14335,https://open.spotify.com/track/43PGPuHIlVOc04jrZVh9L6
10,"Idlozi Lami","Dj Obza",14044,https://open.spotify.com/track/1shPobG6XTGg5ryUEtSkzK
11,"Leave The Door Open","Bruno Mars",12642,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
12,"Heartbreak Anniversary",Giveon,12600,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
13,"The Business",Tiësto,12470,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
14,Isingisi,"Semi Tee",11920,https://open.spotify.com/track/661C89rRG5698Nr7CzODjv
15,"Astronaut In The Ocean","Masked Wolf",11785,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
16,Nkulunkulu,"Kamo Mphela",11014,https://open.spotify.com/track/0RBHBDEbEJiNBOHCUJvc2H
17,"Kiss Me More (feat. SZA)","Doja Cat",10881,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
18,Catalia,"Junior De Rocka",10808,https://open.spotify.com/track/2PgDbeuhqT2vY6fOe15PDf
19,"Picture JunkPark","Mr JazziQ",10665,https://open.spotify.com/track/1Atp6aKAyCYjM8zPFUULak
20,"Abekho Ready - Maplankeng Reshuffle","De Mthuda",10594,https://open.spotify.com/track/5hMRPijl4hm6jOnDhT5EbY
21,Dakiwe,"Lady Du",10309,https://open.spotify.com/track/0SZtkfDkXwoZshG9hv98WR
22,"Blinding Lights","The Weeknd",9953,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
23,"Levitating (feat. DaBaby)","Dua Lipa",9772,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
24,Up,"Cardi B",9563,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
